R,Rstd,T,Tstd
7.05525996,0.00004218,9.62138682,0.00145228
7.06700903,0.00000854,9.76129423,0.00287714
7.08682147,0.00008632,9.99755428,0.00094321
7.10665091,0.00005412,10.23554159,0.00175648
7.12674477,0.00001289,10.47847657,0.00213345
7.16937828,0.00007843,10.99268697,0.00104432
7.17675242,0.00003215,11.08077123,0.00267781
7.18611045,0.00009412,11.19392515,0.00089923
7.16685962,0.00000567,10.96151238,0.00142215
7.18736434,0.00006328,11.20928810,0.00293341
7.20703227,0.00002145,11.44578211,0.00115542
7.22753678,0.00008891,11.69099841,0.00243321
7.24730282,0.00004512,11.92748433,0.00084412
7.26762142,0.00001234,12.16953555,0.00192291
7.28747252,0.00007128,12.40430849,0.00284411
7.30747002,0.00003456,12.63944982,0.00106642
7.32850224,0.00009621,12.88357579,0.00211172
7.34862089,0.00000678,13.11651981,0.00092214
7.36921547,0.00005432,13.35163335,0.00274421
7.39138715,0.00008219,13.60313139,0.00133315
7.41287507,0.00001543,13.84437191,0.00085542
7.43362567,0.00006789,14.07419818,0.00228871
7.45526347,0.00009123,14.31053579,0.00164412
7.47687568,0.00002345,14.54376670,0.00111123
7.49875498,0.00005678,14.77738791,0.00285542
7.52221989,0.00008432,15.02398856,0.00094421
7.54460866,0.00000912,15.25718951,0.00212213
7.56752020,0.00004218,15.49137616,0.00144492
7.58997414,0.00007654,15.71762159,0.00086641
7.61356975,0.00001289,15.95198500,0.00254412
7.63743830,0.00006321,16.18559210,0.00125542
7.66147850,0.00009218,16.41680412,0.00091123
7.68573118,0.00000456,16.64774224,0.00212214
7.71044563,0.00003218,16.87871908,0.00115541
7.73562270,0.00008765,17.11103566,0.00282213
7.76155500,0.00005432,17.34499919,0.00088812
7.76144381,0.00001234,17.34484396,0.00242211
7.78750828,0.00007654,17.57658350,0.00103342
7.81378231,0.00003218,17.80648535,0.00195543
7.84054394,0.00009876,18.03792209,0.00294421
7.86787369,0.00000543,18.27117449,0.00112214
7.89590356,0.00004321,18.50473283,0.00168812
7.92470814,0.00008765,18.74087642,0.00094421
7.95404604,0.00002134,18.97831863,0.00252213
7.98404664,0.00006543,19.21677609,0.00145542
8.01446677,0.00009128,19.45548579,0.00084421
8.04549735,0.00000987,19.69390104,0.00272213
8.07700848,0.00004218,19.93150366,0.00134421
8.10882062,0.00007654,20.16915300,0.00108812
8.14162328,0.00001234,20.40957443,0.00245542
8.17640993,0.00006543,20.66085503,0.00094421
8.21152070,0.00009876,20.90927767,0.00282213
8.24639809,0.00000543,21.15245701,0.00115542
8.28090705,0.00003218,21.38921847,0.00223341
8.31867003,0.00007654,21.64419058,0.00092214
8.35716802,0.00001234,21.89999583,0.00264421
8.39481658,0.00006543,22.14616110,0.00112213
8.43525853,0.00009876,22.40684497,0.00292212
8.43523299,0.00000543,22.40628329,0.00105541
8.47496024,0.00003218,22.65763891,0.00218812
8.51457125,0.00007654,22.90477955,0.00093341
8.55303197,0.00001234,23.14101691,0.00254422
8.59554899,0.00006543,23.39808984,0.00115541
8.63510683,0.00009876,23.63408563,0.00294421
8.67847165,0.00000543,23.88889990,0.00092212
8.72198211,0.00003218,24.14073100,0.00214491
8.76653162,0.00007654,24.39515219,0.00086621
8.80988921,0.00001234,24.63927590,0.00282213
8.85634674,0.00006543,24.89682019,0.00114422
8.90043159,0.00009876,25.13817990,0.00245541
