T,R
13.80481313,0.033714218784699455
17.01057985,0.06245608822100083
20.26916436,0.1083767945655871
24.57927591,0.21798748
54.35162005,2.282227087
83.8058,5.363481133
234.3156,20.95511153
273.16,24.82283964
