m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;p17;p17_err;p18;p18_err;p19;p19_err;p20;p20_err;p21;p21_err;p22;p22_err;p23;p23_err;p24;p24_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err
2;4.38532126e+00;1.34559094e-03;-2.17283284e+01;1.47477871e+00;-3.73789535e+01;5.98498517e+00;-1.91331755e+01;9.99496108e+01;2.33243523e+03;1.10380327e+03;-1.30211362e+04;7.25406610e+03;5.26117904e+04;3.10842433e+04;-1.12587730e+05;8.57824507e+04;1.00441896e+05;1.51879461e+05;7.96292306e+03;1.97954848e+05;-8.44257230e+03;2.51355875e+05;-1.22634221e+05;5.89579226e+05;4.26395100e+04;1.27340965e+06;1.20034872e+05;1.36826602e+06;5.33573017e+04;1.22122002e+06;-1.44543228e+05;1.20801221e+06;-6.00367170e+04;8.48359570e+05;-6.46897813e+04;1.39128956e+06;2.15178131e+05;1.95797964e+06;1.25144570e+05;2.92042303e+06;-2.12476790e+05;3.87611071e+06;-1.50670216e+05;3.45812148e+06;2.44372706e+05;1.68757934e+06;-7.35686536e+04;3.49072309e+05;-1.02563425e+03;1.43898471e+04;-8.94084093e+00;3.27242716e-01;2.00977373e+01;1.46983396e+00;;;;;;;;
3;4.38520023e+00;1.32902154e-03;-2.18757401e+01;1.37540310e+01;-3.60354667e+01;6.85841259e+01;-1.44071023e+00;1.37449854e+02;2.14453503e+03;1.45215114e+03;-1.20991382e+04;1.48273668e+04;4.90142092e+04;7.81680018e+04;-1.03838585e+05;2.86916288e+05;8.23101751e+04;6.47609331e+05;4.95785121e+04;9.48117050e+05;-8.48606670e+04;1.33024259e+06;-5.46906278e+04;1.55600589e+06;5.27241157e+04;1.26745483e+06;8.39957748e+04;1.04775223e+06;4.48756601e+03;1.92885854e+05;-9.47287824e+04;7.51063810e+05;-2.12336529e+04;6.00166964e+05;-6.45254369e+03;1.19205966e+05;4.27183175e+04;8.45753288e+05;9.59761957e+04;9.88661848e+05;-3.14481829e+04;3.17121886e+05;-9.96293723e+04;8.60391450e+05;-1.60223938e+04;5.50749365e+05;1.01787855e+05;4.08620318e+05;-3.94134109e+04;1.27097986e+05;-8.97964161e+00;3.12695986e+00;2.07709379e+01;2.76116579e+01;-2.25219599e+00;6.15314702e+01;;;;;;
4;4.38400975e+00;1.41088621e-03;-1.04398704e+01;3.96266017e+01;-3.56448396e+01;1.03241317e+02;1.46085752e+02;2.20749986e+02;-1.90873583e+02;2.01722292e+03;4.76905302e+02;1.20224400e+04;8.42079375e+02;5.37155824e+04;-1.00038384e+04;1.57719936e+05;1.37406907e+04;2.95010144e+05;3.04618585e+03;4.61411792e+05;-1.26506032e+04;7.47750455e+05;-6.16373161e+03;7.56159595e+05;9.40077079e+03;8.69647104e+05;8.34284481e+03;8.93149238e+05;1.28846592e+03;1.89626696e+05;-8.66283921e+03;9.99077945e+05;-7.75880578e+03;8.89871991e+05;-1.33801236e+03;1.40409441e+05;1.09573488e+04;6.45746596e+05;4.94916822e+03;6.06821095e+05;1.25488962e+03;1.86893251e+05;-1.29253374e+04;3.97146462e+05;-2.22021007e+03;2.42912859e+05;1.11357368e+04;2.23939804e+05;-4.03690894e+03;7.60544596e+04;-6.42747416e+00;9.03371944e+00;1.30517539e+01;5.95992049e+01;1.33376798e+00;1.51333557e+02;-2.53351513e+01;1.31620949e+02;;;;
5;4.38494656e+00;1.42112714e-03;-3.55063999e+01;1.22167104e+02;5.66047192e+01;9.47062599e+02;9.49604494e+01;1.43523918e+03;-1.22848683e+02;4.51053754e+03;-1.52341372e+03;1.85063290e+04;7.34967610e+03;2.46186177e+04;2.93622051e-01;1.06641808e+02;-7.72187559e+03;2.11698735e+05;1.62184929e+03;4.33027592e+05;5.43503333e+03;5.70756827e+05;1.61259413e+03;2.79710286e+05;-5.13702057e+03;3.26890823e+05;-6.46018869e+01;2.03044065e+04;1.41333127e+03;3.40584465e+05;-6.96784808e+03;1.23418230e+06;7.32850301e+03;1.11516945e+06;3.76044711e+03;9.87576805e+05;-1.48425768e+03;8.33054954e+05;-2.10290365e+03;1.05953405e+06;-2.60483987e+03;1.64969180e+06;-2.64341864e+03;1.35574252e+06;3.61825564e+03;1.71994458e+06;3.37287053e+03;1.33429849e+06;-2.66527725e+03;3.50416707e+05;-1.21069080e+01;2.78860791e+01;5.55633041e+01;3.29101966e+02;-1.29100942e+02;1.51091873e+03;1.40612360e+02;3.53842813e+03;4.72619160e+01;3.91408726e+03;;
6;4.38437803e+00;1.39180161e-03;-3.05282670e+01;3.62025626e+02;1.50089511e+01;2.32926281e+03;1.85067541e+02;2.37996184e+03;-2.34332257e+02;1.17310634e+04;-3.63618184e+02;2.88756720e+04;3.16094517e+03;5.94053306e+04;1.65767185e+03;2.21078755e+05;-5.50248967e+02;1.30486257e+05;-8.07568212e+02;1.54083433e+05;-3.07665499e+02;1.18445272e+05;-2.55410970e+02;1.07558020e+05;9.95870371e+02;1.11802354e+05;3.93317373e+02;1.14059894e+05;3.85254670e+02;1.61257544e+05;-6.48474739e+02;2.46926330e+05;-6.36050973e+02;2.36247395e+05;-4.13099627e+02;2.01211091e+05;3.84286749e+02;1.88180898e+05;2.68334169e+02;1.62026272e+05;6.05130839e+02;2.21572613e+05;-2.70774543e+02;1.73453062e+05;-5.56733080e+00;3.39857730e+03;-4.82951114e+02;1.21754233e+05;2.69871639e+02;5.16593809e+04;-1.09913587e+01;8.25675037e+01;4.22802580e+01;8.62973293e+02;-7.18455659e+01;3.45680603e+03;3.92903008e+01;7.18856098e+03;8.03260150e+01;7.96240875e+03;5.19654819e+01;7.23653758e+03
