m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;8;0.9999999874250989;3.958209078460476;0.10995025217945767;-688.2674556958996;-673.9939386245535;3.327151787963051;1.0551421820643725;0.01009171854183677;1.9249409458470998;7.765776341193935;0.1696253462203337
3;9;0.9999999877704697;3.4047899133825923;0.0972797118109312;-687.4928254747878;-671.4351187695235;3.327151787963051;1.0874065808756939;0.009788991688624904;1.9310154561542705;8.086319324793891;0.1515421248278935
4;10;0.9999999892938523;3.4832847510826883;0.10244955150243201;-691.3463834432213;-673.5044871040386;3.327151787963051;1.0222283498855234;0.00858558430783063;2.0469676445238925;9.840642790563297;0.07987855550626584
5;11;0.9999999893314672;3.4115908585466395;0.10338154116807999;-689.5012450262141;-669.8751590531132;3.327151787963051;1.0163019271907103;0.008893333545971771;2.0524339207408984;10.344207953806446;0.06604944796426976
6;12;0.9999999892735808;2.6718399705613907;0.08349499908004346;-687.2631510433141;-665.852875436295;3.327151787963051;1.0241614069030902;0.00964230866296134;1.8715987281615982;8.637794482034105;0.12441310600741941
7;13;0.9999999908515607;2.239888325758907;0.07225446212125507;-692.2647160317282;-669.0702507907909;3.327151787963051;0.9067968245801694;0.008357383117422401;2.2226269499263855;7.642311451512974;0.17708154140530918
8;14;0.9999999891672905;3.317377041359722;0.11057923471199073;-682.829291636203;-657.8506367613473;3.327151787963051;0.9418051895551116;0.009149704441030693;2.0390565101193405;11.345745097190925;0.04493981885707629
9;15;0.999999989916442;2.3494500745008597;0.08101551981037447;-683.9825096312497;-657.2196651224758;3.327151787963051;0.8650651553487876;0.00849608508801758;2.119746993486699;13.140591110696063;0.02209630137692749
10;16;0.9999999894521208;2.8595259105477444;0.10212592537670516;-680.0016893661907;-651.4546552234985;3.327151787963051;0.9080634369880158;0.008792082567717685;2.4550735302183035;11.015593756267357;0.051071680327207734
11;17;0.9999999899407712;2.2873867225206115;0.08471802676002264;-680.0887994950693;-649.7575757184588;3.327151787963051;0.8812615353122055;0.00846388597249792;2.1341167362897933;12.937357633183336;0.023972920157966007
