m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err
2;1.50239889e+01;1.34419646e-03;3.59487795e+04;8.27958288e+06;2.83294614e+04;6.75745361e+06;-2.15537826e+04;4.79150208e+06;1.90676483e+04;4.44212416e+06;-9.46558348e+04;2.25211393e+07;3.86444599e+05;9.14010338e+07;-9.01700222e+05;2.12450868e+08;1.25879649e+06;2.95943205e+08;-1.04753965e+06;2.45948705e+08;4.80259025e+05;1.12659391e+08;-9.34772634e+04;2.19144956e+07;2.39164319e+03;5.51056239e+05;-4.06245763e+02;8.39540949e+04;;;;;;
3;1.50239900e+01;1.34412915e-03;1.25463639e+03;1.68416073e+04;1.41866229e+03;1.22457163e+04;-2.78928114e+03;3.58686874e+04;-2.80149673e+03;5.20875774e+04;2.02129631e+03;2.32617135e+04;1.59556674e+00;1.20882421e+03;-5.31262607e+03;4.64910718e+04;1.05559929e+04;9.29705717e+04;-1.01854513e+04;9.12986016e+04;5.06056064e+03;4.66595042e+04;-1.03478938e+03;9.90714020e+03;8.25371687e+01;1.12087713e+03;1.60720578e+01;1.16840822e+03;-1.71049412e+02;3.13707922e+03;;;;
4;1.50240205e+01;1.32713248e-03;6.78335410e+02;5.29784658e+03;-3.67322451e+03;2.21712578e+04;4.20372273e+03;3.45471452e+03;4.54110258e+03;5.12757626e+04;-8.55721055e+03;5.02085022e+03;1.15572634e+03;8.23364665e+03;3.12294524e+03;1.20852777e+04;-3.77091636e+03;7.58108009e+03;1.91990998e+03;5.64712019e+03;-3.71551533e+02;2.69309362e+03;-1.07338188e+01;5.05031595e+02;4.41846295e+01;3.52598784e+02;-2.86281385e+02;1.81320944e+03;5.71045850e+02;2.10934545e+03;-3.59659346e+02;6.26293477e+02;;
5;1.50240354e+01;1.33924102e-03;5.99781198e+02;6.68472799e+03;-1.81308910e+03;6.07288993e+04;-9.45290924e+02;5.91790935e+04;3.22919540e+03;1.19797495e+05;2.37368654e+03;5.61996925e+04;-1.69253705e+03;1.91586736e+05;3.08237393e+03;1.05682364e+05;-1.98137557e+03;7.98049082e+04;2.29765935e+02;5.78705064e+04;3.82077584e+02;3.36218249e+04;-1.49429315e+02;8.66195553e+03;3.89555534e+01;4.44899126e+02;-1.57413434e+02;4.45337852e+03;1.01726263e+02;7.85526264e+03;6.44072625e+01;7.93743050e+03;8.37996454e+01;9.43840565e+03
