n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;4;-229.60303212;-225.12963082;18.57136902;0.00180411
3;3;-236.72379074;-232.25038943;7.61098071;0.00112694
4;2;-236.97474532;-232.50134401;7.53810247;0.00111610
