m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err
2;1.50245440e+01;1.08698112e-03;5.86854142e+01;7.31600394e+01;6.54533275e+01;1.14655132e+02;9.00958237e+00;7.26873872e+00;-2.80690049e-01;1.41398025e+00;2.94768457e+00;4.87252050e+00;1.93548995e+00;2.91696986e+00;;;;;;;;;;;;;;;;;;;;
3;1.50245967e+01;1.03336650e-03;4.71780237e+01;3.45229616e+01;-2.63504902e+01;5.43932804e+01;-1.20362537e+02;1.18419627e+02;-1.50413024e+01;1.34791030e+01;2.18212619e+00;2.30054936e+00;-3.44856135e+00;3.86846126e+00;-3.69373329e+00;3.48422136e+00;;;;;;;;;;;;;;;;;;
4;1.50245662e+01;1.09146871e-03;2.52009401e+01;7.25802250e+01;-5.60151194e+01;4.44317849e+01;-1.27763936e+02;2.29062621e+02;-2.79215388e+01;2.11830389e+01;7.19122779e-01;4.83406149e+00;-4.01441229e+00;7.59760498e+00;-4.30254577e+00;5.59609219e+00;-2.23486449e-01;7.22981819e-01;;;;;;;;;;;;;;;;
5;1.50240105e+01;1.33181951e-03;6.51826132e+01;7.16977066e+02;3.11175292e+03;1.16025092e+04;2.34540166e+02;8.41725392e+02;-6.85848573e+03;2.57986678e+04;3.37344668e+00;4.77109789e+01;2.04519663e+02;7.34461415e+02;-1.82142902e+02;7.10229837e+02;-1.77950469e+02;6.68938392e+02;1.46763109e+01;5.57233409e+01;;;;;;;;;;;;;;
6;1.50239869e+01;1.34345412e-03;3.63897687e+02;3.40826448e+03;4.93216542e+03;2.60308471e+04;1.80633188e+03;8.38209523e+03;-7.92847285e+03;4.02964355e+04;2.32533629e+01;2.26823214e+02;3.06709144e+02;1.53634388e+03;-1.68413707e+02;8.67900783e+02;-2.13715219e+02;1.10161537e+03;1.94937141e+01;1.09448622e+02;-5.91033575e-01;6.55721734e+00;;;;;;;;;;;;
7;1.50239885e+01;1.34419068e-03;1.40145899e+04;1.55105739e+06;-1.19439809e+04;1.74962371e+06;6.34160801e+04;7.10695546e+06;1.19159065e+05;1.42331725e+07;9.31774177e+02;1.03230426e+05;-1.68604683e+03;2.14444502e+05;6.20580470e+03;7.19189423e+05;1.29103253e+03;1.68344144e+05;1.19384117e+03;1.32261319e+05;-7.77938008e+02;8.74339791e+04;1.86387589e+02;2.09750609e+04;;;;;;;;;;
8;1.50240049e+01;1.34272536e-03;5.65822732e+03;9.64585585e+04;-2.11853070e+04;2.63666217e+05;3.67828758e+03;8.24281141e+05;3.45980753e+04;1.04988740e+06;3.75629174e+02;6.41993991e+03;-1.76944862e+03;1.13972586e+04;2.09475718e+03;6.31210611e+04;-4.55652242e+02;5.25274324e+03;1.30833967e+03;2.32441974e+04;-1.00410964e+03;2.25738247e+04;4.42276020e+02;1.18116931e+04;-8.72292751e+01;2.68322424e+03;;;;;;;;
9;1.50239989e+01;1.34200155e-03;3.91099951e+03;5.07926681e+04;-1.55497068e+04;2.16005345e+05;6.76213658e+03;6.08727455e+05;1.88467955e+04;5.85197448e+05;2.59336543e+02;3.38055317e+03;-1.28275753e+03;1.11438089e+04;1.78279825e+03;4.97958538e+04;-9.75309878e+02;1.37134557e+04;1.58338815e+03;3.37434623e+04;-1.37673570e+03;3.46486543e+04;7.98918738e+02;2.32875638e+04;-2.77224403e+02;9.20606867e+03;4.29194696e+01;1.59822673e+03;;;;;;
10;1.50239918e+01;1.34390611e-03;8.93302411e+02;1.22421113e+04;1.68286806e+03;5.46806094e+04;4.27758324e+02;1.07537691e+05;-3.49698883e+03;1.55217048e+05;5.84882148e+01;8.14760369e+02;5.67085349e+01;3.58736858e+03;-6.39604865e+00;4.35077504e+03;-1.77082877e+02;7.09775357e+03;4.91648095e+01;4.34296893e+03;6.08278087e+01;3.69857715e+03;-1.50371931e+02;3.51971878e+03;1.44315843e+02;3.62745408e+03;-6.93099257e+01;2.18545867e+03;1.36392312e+01;5.31146413e+02;;;;
11;1.50240643e+01;1.33307357e-03;6.38220819e+02;4.69093079e+03;-2.15829624e+03;7.87402756e+04;-3.98717968e+02;3.03468715e+04;4.22167916e+03;2.86336556e+05;4.15149674e+01;3.12200684e+02;-1.82888291e+02;5.53589853e+03;1.64299754e+02;6.71543539e+03;5.42073438e+01;1.13773868e+04;-1.20606892e+01;8.97395145e+03;1.28013113e+02;1.44420396e+04;-2.37680649e+02;1.89236133e+04;2.27355844e+02;1.65559157e+04;-1.19581784e+02;8.68776571e+03;3.00134208e+01;2.31911515e+03;-1.98607539e+00;2.22648544e+02;;
12;1.50240383e+01;1.33859287e-03;1.24290623e+03;8.30375224e+03;-4.02282633e+03;1.15784669e+05;-9.81075733e+02;7.08585313e+04;8.13639423e+03;3.26424026e+05;8.17604006e+01;5.52660622e+02;-3.45543300e+02;8.22975578e+03;2.98131213e+02;1.24319915e+04;1.14345562e+02;8.67406394e+03;5.53222737e+00;6.63148164e+03;9.88151955e+01;1.01785486e+04;-1.08246666e+02;1.55606448e+04;-7.99463166e+01;2.14704020e+04;2.68713815e+02;2.47359399e+04;-2.46009158e+02;1.88379886e+04;1.02283652e+02;7.97991815e+03;-1.61846288e+01;1.42641791e+03
