m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err
2;1.50240021e+01;1.34358428e-03;5.81272787e+02;5.60803513e+03;7.92126569e+02;6.53640567e+03;6.21195809e+01;8.82191084e+03;-3.54163535e+02;3.26062543e+03;1.06889287e+03;6.24580982e+03;-1.76768762e+03;1.18334135e+04;1.70736822e+03;1.17505236e+04;-8.93891021e+02;6.18873052e+03;1.95580110e+02;1.35998384e+03;3.77221470e+01;3.73231782e+02;1.72342448e+01;5.15861729e+02;;;;;;;;;;
3;1.50239890e+01;1.34395044e-03;6.33296572e+02;7.34563756e+03;2.13837684e+03;1.32586347e+04;-2.17440184e+03;1.63655749e+04;-4.33855557e+03;2.48377269e+04;3.11645210e+03;1.75550433e+04;-2.93578292e+03;1.90511556e+04;2.24920651e+03;1.63923434e+04;-1.08414073e+03;8.30516053e+03;2.32926785e+02;1.81236281e+03;4.11836199e+01;4.88875220e+02;1.03578501e+02;8.52590732e+02;-2.31194215e+02;1.32833894e+03;;;;;;;;
4;1.50239950e+01;1.34396594e-03;8.11305982e+03;2.62876664e+05;-3.83262145e+04;1.41268415e+06;7.91430567e+04;3.03703146e+06;2.60253160e+04;1.06128707e+05;-1.71522568e+05;7.34164867e+06;6.90209046e+04;2.99320615e+06;-1.89362118e+04;8.62118533e+05;-1.92945670e+02;2.36283767e+04;1.17555877e+03;5.45171788e+04;5.39011422e+02;1.74960619e+04;-3.06683704e+03;1.10764332e+05;8.43205957e+03;3.15537840e+05;-7.71464348e+03;3.53451128e+05;;;;;;
5;1.50239986e+01;1.34405027e-03;2.14058937e+03;4.70345616e+04;-5.79551563e+03;1.75862550e+05;7.86004166e+03;3.95965416e+05;-3.61405697e+03;3.65403667e+05;-2.21524610e+04;7.52804313e+05;1.41265453e+04;1.00193926e+06;-2.87265669e+03;4.09172811e+05;-5.10075538e+02;1.32920421e+05;3.43094399e+02;2.19314756e+04;1.41503646e+02;3.13040074e+03;-5.20617214e+02;1.45957745e+04;1.07704522e+03;4.04709927e+04;-1.48076477e+03;6.39386757e+04;3.65752207e+02;3.62494328e+04;;;;
6;1.50239937e+01;1.34407437e-03;1.31567824e+03;1.85835078e+04;6.24464870e+00;6.85821660e+03;-3.62000103e+03;7.70923676e+04;1.50672959e+04;4.48408602e+05;-4.87469115e+01;2.49763918e+04;-2.81921295e+04;6.54024659e+05;1.41922143e+04;3.58385386e+05;-5.75463202e+03;1.26832568e+05;1.09157503e+03;2.20148193e+04;8.66003033e+01;1.23681629e+03;-8.18454197e+01;1.37048230e+03;-1.30729161e+02;3.71263521e+03;1.11254599e+03;3.26752460e+04;-1.22067239e+03;3.29237015e+04;-2.69629490e+00;4.07030518e+03;;
7;1.50239920e+01;1.34381048e-03;2.32816453e+03;4.19385036e+04;-7.98620311e+03;5.37075840e+05;1.10535885e+04;1.33291113e+06;1.82223434e+04;1.68860923e+06;-2.25109423e+04;4.67681359e+06;-1.64456220e+04;1.80397207e+06;3.77587111e+03;1.30392469e+06;-5.16706544e+01;8.60758510e+03;4.78747985e+02;5.23940008e+04;1.53987630e+02;2.79122531e+03;-6.78377787e+02;3.79131910e+04;1.44599876e+03;1.24848361e+05;-4.47886696e+02;2.34677465e+05;-4.91362107e+02;8.18152691e+04;-7.04707162e+02;4.92470964e+04;2.78962258e+02;2.95942706e+04
