m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err
2;9.99760713e+00;1.39087544e-03;-2.09541912e+01;1.39376700e+01;-1.18340332e+01;3.10545378e+01;-2.62100751e-01;2.05113106e+01;1.54607521e+00;4.37035274e-01;-3.70143407e-01;8.36174889e-01;-2.61832379e+00;1.39630922e+00;1.62195060e-01;3.81892501e+00;;;;
3;9.99753484e+00;1.41165455e-03;-3.27763734e+01;1.60795199e+01;9.08188746e+00;2.25580449e+01;3.20649800e+01;3.76704321e+01;1.27123672e+01;1.95133950e+01;-2.26428526e+00;2.57360279e+00;-3.80106976e+00;1.60807806e+00;2.87340249e+00;2.91079858e+00;1.84571283e+00;3.16646707e+00;;
4;9.99726451e+00;1.61583868e-03;-5.70771450e+01;8.67640506e+01;3.64407366e+01;3.77989374e+02;-8.58058644e+01;5.98621515e+02;-3.23494102e+01;2.33968618e+02;1.90367552e+01;5.92903584e+01;-6.23355372e+00;8.67611874e+00;6.90916667e+00;4.22494264e+01;-1.21854965e+01;4.61838125e+01;3.20431083e+00;8.70982404e+00
