R_untransformed;x_transformed;y_raw;y_fit;residuals;studentized_residuals
7.61356975;7.61356975;15.951985;15.951161789719777;0.0008232102802239183;1.3190717993490682
7.6374383;7.6374383;16.1855921;16.18518408973955;0.0004080102604504532;0.15311173467215083
7.6614785;7.6614785;16.41680412;16.41719614544195;-0.00039202544195049427;-2.0236394050294484
7.68573118;7.68573118;16.64774224;16.64760159316802;0.00014064683198000694;-0.04964139285475589
7.71044563;7.71044563;16.87871908;16.87871589928352;3.180716479533885e-06;-0.2981265126887418
7.7356227;7.7356227;17.11103566;17.110442828680902;0.0005928313190963763;1.616886275845564
7.761555;7.761555;17.34499919;17.345312462298807;-0.0003132722988077319;-1.095204302321283
7.76144381;7.76144381;17.34484396;17.344313503233025;0.0005304567669739413;1.4598925133803133
7.78750828;7.78750828;17.5765835;17.57661376969554;-3.026969553943104e-05;-0.2113740900649599
7.81378231;7.81378231;17.80648535;17.80705585863609;-0.0005705086360912048;-1.8621184935560673
7.84054394;7.84054394;18.03792209;18.03804343563263;-0.00012134563263188625;-0.4525318503158881
7.86787369;7.86787369;18.27117449;18.27016658454852;0.0010079054514804398;3.2868516261556455
7.89590356;7.89590356;18.50473283;18.504404407759807;0.0003284222401909176;0.9156854254921646
7.92470814;7.92470814;18.74087642;18.741203588494386;-0.0003271684943868536;-0.9928341858767659
7.95404604;7.95404604;18.97831863;18.97844493784305;-0.00012630784305045495;-0.33486654596927934
7.98404664;7.98404664;19.21677609;19.217070546377386;-0.0002944563773858988;-0.7683310947567339
8.01446677;8.01446677;19.45548579;19.455071496876258;0.0004142931237431924;1.4330641675938631
8.04549735;8.04549735;19.69390104;19.69388391829034;1.7121709660727902e-05;0.3043715967023656
8.07700848;8.07700848;19.93150366;19.93244490366817;-0.0009412436681692782;-2.6643644437112513
8.10882062;8.10882062;20.169153;20.16939529284184;-0.00024229284183974187;-0.31827221543976963
8.14162328;8.14162328;20.40957443;20.409783893384315;-0.0002094633843157112;-0.17788181604204992
8.17640993;8.17640993;20.66085503;20.660510098476493;0.00034493152350734135;1.5172965303546972
8.2115207;8.2115207;20.90927767;20.909361053875386;-8.338387538486813e-05;0.20256234677275384
8.24639809;8.24639809;21.15245701;21.152538474308244;-8.146430824496065e-05;0.16493368879563736
8.28090705;8.28090705;21.38921847;21.389362632910547;-0.00014416291054786257;-0.09373319613218856
8.31867003;8.31867003;21.64419058;21.64438100698726;-0.0001904269872596842;-0.33980948307044456
8.35716802;8.35716802;21.89999583;21.90009911050504;-0.00010328050503716213;-0.2174209061817058
8.39481658;8.39481658;22.1461611;22.14618903207804;-2.793207804074882e-05;-0.1369275930972569
8.43525853;8.43525853;22.40684497;22.406336082979692;0.0005088870203096008;1.3240999472800528
8.43523299;8.43523299;22.40628329;22.40617312806762;0.000110161932379782;0.12364958859071468
8.47496024;8.47496024;22.65763891;22.657669362140723;-3.0452140723724597e-05;-0.4072204811012546
8.51457125;8.51457125;22.90477955;22.90459850461798;0.00018104538202123877;0.14716012423248492
8.55303197;8.55303197;23.14101691;23.140846919424575;0.00016999057542577134;0.10095160680554527
8.59554899;8.59554899;23.39808984;23.398151965827765;-6.212582776399245e-05;-0.537115028812397
8.63510683;8.63510683;23.63408563;23.63405392671939;3.170328061230521e-05;-0.12723003037281935
8.67847165;8.67847165;23.8888999;23.888942976559974;-4.307655997592974e-05;-0.15262400071266416
8.72198211;8.72198211;24.140731;24.14093346336415;-0.0002024633641504181;-0.41977122895157176
8.76653162;8.76653162;24.39515219;24.39519479193575;-4.2601935749786435e-05;0.2651134471374035
8.80988921;8.80988921;24.6392759;24.639146102535165;0.00012979746483665622;0.8334013325510192
8.85634674;8.85634674;24.89682019;24.896834787715306;-1.4597715306763348e-05;-0.04942963038298211
8.90043159;8.90043159;25.1381799;25.137935632969516;0.00024426703048519016;-0.4838410027736556
