m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err
2;4.38559034e+00;1.30605390e-03;-2.05178301e+01;1.68632280e+00;-3.24845691e+01;4.74578198e+00;-1.43484014e+02;7.52054155e+01;3.78972178e+03;8.28871751e+02;-2.48696505e+04;5.29823160e+03;1.13023438e+05;2.33909335e+04;-3.13124774e+05;6.97539089e+04;5.22347436e+05;1.39588808e+05;-4.95666424e+05;1.86689128e+05;1.99004186e+05;1.62453102e+05;4.15460238e+04;8.53978974e+04;-1.85030317e+04;4.61633048e+04;-7.70232238e+04;4.75039021e+04;6.64732612e+04;2.52570724e+04;-1.65197360e+04;5.28656613e+03;-8.64679383e+00;3.76184729e-01;1.89893278e+01;1.65214385e+00;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.38395729e+00;1.38307642e-03;-1.80705742e+00;2.20480850e+01;-2.21528863e+01;1.65322470e+01;1.14043480e+02;1.55806808e+02;-2.85058588e+02;1.05112582e+03;1.49424592e+03;5.60460303e+03;-2.02752067e+03;2.16965875e+04;-2.89658338e+02;4.98422304e+04;2.37307010e+03;7.42327065e+04;-3.51901791e+02;7.67612049e+04;-1.49452464e+03;7.09861383e+04;-2.53004834e+02;7.13594323e+04;4.39537964e+02;8.48158513e+04;2.03413079e+03;8.66960840e+04;-2.30411055e+03;4.64362432e+04;6.92250225e+02;9.82474706e+03;-4.46150327e+00;5.02531816e+00;8.34455777e+00;2.24540509e+01;-3.29559178e-02;4.21251371e+01;;;;;;;;;;;;;;;;;;;;;;;;
4;4.38438815e+00;1.28292849e-03;-3.49001925e+01;4.95642358e+00;4.90644888e+01;2.23125860e+01;1.43239019e+02;1.09941064e+02;-3.78734783e+02;8.74831193e+02;-1.68756510e+02;4.40056769e+03;3.81013235e+03;1.64922662e+04;-1.14994343e+03;3.46242996e+04;-1.90947914e+03;3.97465206e+04;3.56528285e+02;2.66386450e+04;1.28642246e+03;2.72199487e+04;5.24939492e+02;2.95134329e+04;-1.45332040e+03;2.05772763e+04;-2.32316636e+01;3.58563874e+03;7.15969457e+02;6.82111492e+03;-2.51484157e+02;2.66299604e+03;-1.19873661e+01;1.14105916e+00;5.40043240e+01;9.96009530e+00;-1.22188868e+02;2.86243136e+01;1.39670638e+02;3.28904460e+01;;;;;;;;;;;;;;;;;;;;;;
5;4.38458375e+00;1.34749198e-03;-3.14659040e+01;2.38995345e+02;2.26929327e+01;1.68945929e+03;1.63512669e+02;1.99197429e+03;-1.34571200e+02;7.04377308e+03;-1.11766526e+03;2.00599482e+04;5.79872317e+03;2.38662568e+04;-1.11064519e+03;1.46756874e+05;-1.10325812e+03;1.15028920e+05;-1.20851548e+03;3.56999912e+05;3.13344518e+03;3.52650073e+05;-2.52231562e+03;2.47534225e+05;1.53468911e+03;1.76860112e+05;-5.67770201e+02;7.28609261e+04;-1.82977941e+02;1.41268343e+04;1.63456315e+02;2.84239938e+03;-1.11976741e+01;5.45190576e+01;4.45868613e+01;6.05151348e+02;-8.04250790e+01;2.59560840e+03;4.56245019e+01;5.74462512e+03;1.13454807e+02;6.22376288e+03;;;;;;;;;;;;;;;;;;;;
6;4.38447885e+00;1.36538677e-03;-3.15809265e+01;1.44661903e+02;2.43107583e+01;9.63297917e+02;1.62439542e+02;9.44470200e+02;-2.08687185e+02;5.17759812e+03;-5.85307945e+02;1.38186708e+04;4.06067451e+03;2.25673079e+04;9.10123852e+02;8.02777500e+04;-9.45953063e+02;1.10487527e+05;-8.17942487e+02;1.09872078e+05;6.73635091e+01;1.61608464e+04;1.18099524e+03;5.73187759e+04;1.26688423e+02;2.57182984e+04;-8.63169410e+02;3.49977695e+04;7.99587363e+01;1.53775824e+04;1.51730003e+02;6.19353659e+03;-1.12277725e+01;3.30096751e+01;4.52214591e+01;3.53061362e+02;-8.54767120e+01;1.43733346e+03;6.75685309e+01;3.00771639e+03;5.80865632e+01;3.31912480e+03;5.67390565e+01;2.87294212e+03;;;;;;;;;;;;;;;;;;
7;4.38465070e+00;1.40302845e-03;-3.04689782e+01;3.14473789e+02;1.72717647e+01;2.01762804e+03;1.56407761e+02;1.44508045e+03;-1.06817080e+02;1.00925783e+04;-9.24328792e+02;1.49713385e+04;4.42072916e+03;1.02527936e+05;3.92636037e+03;3.43130619e+05;-3.02256236e+03;3.90010235e+05;6.75962456e+02;1.95731371e+05;2.45379610e+03;3.75470944e+05;-2.53732574e+03;6.25116251e+05;2.60603024e+03;4.31202007e+05;-2.86981132e+03;3.35821059e+05;1.69831732e+03;1.99385997e+05;-3.76852212e+02;4.52014734e+04;-1.09683530e+01;7.17139630e+01;4.23770677e+01;7.47342859e+02;-7.40188183e+01;2.78332416e+03;3.92712316e+01;4.89909926e+03;1.08180637e+02;4.07658236e+03;3.64343837e+01;7.04532530e+03;1.00028006e+02;9.63537349e+03;;;;;;;;;;;;;;;;
8;4.38475002e+00;1.43991590e-03;-2.11569025e+01;1.82616096e+02;-4.01021463e+01;5.94812054e+02;1.38871903e+02;4.25317956e+03;3.07299294e+02;1.70951342e+04;-1.35519908e+03;3.19554293e+04;3.96140747e+03;2.89016742e+05;1.01823908e+04;1.25854784e+06;1.25371495e+04;3.24277861e+06;6.25551380e+03;1.77718243e+06;-1.51522685e+03;5.56549801e+05;-3.01595144e+03;1.25351728e+06;8.36093926e+03;1.55577786e+06;-7.18228059e+03;8.62051733e+05;2.49703053e+03;3.34097832e+05;-2.43709672e+02;8.82955096e+04;-8.84059658e+00;4.16519074e+01;2.05902503e+01;2.99083284e+02;-7.77550904e-03;1.45495685e+00;-6.50127321e+01;5.50088326e+03;1.27558020e+02;2.77925543e+04;2.76921816e+02;7.54800953e+04;3.08848286e+02;1.20947167e+05;5.67008027e+02;6.23765056e+04;;;;;;;;;;;;;;
9;4.38477390e+00;1.44227127e-03;-9.54194718e+00;6.69395630e+02;-1.30179357e+02;6.63531937e+03;2.37472646e+02;2.22107023e+04;8.81201107e+02;2.85590268e+04;-3.26740615e+03;1.11818234e+05;7.55818949e+03;1.90910577e+05;9.83309069e+03;1.03297954e+06;1.52496642e+04;3.00816817e+06;-3.69899251e+03;8.64801119e+05;1.01534118e+04;2.17572066e+06;-7.75860021e+03;1.65710032e+06;7.64523902e+03;2.80720047e+06;7.75723052e+03;2.06484219e+06;-1.35341495e+04;1.02693181e+06;4.87106022e+03;2.96103233e+05;-6.18949424e+00;1.52686937e+02;-1.07479535e+01;2.08431071e+03;1.37039088e+02;1.17767564e+04;-3.57998321e+02;3.66742664e+04;4.51075375e+02;6.58999865e+04;2.13032015e+02;6.33285250e+04;5.06188661e+02;9.53569648e+04;-7.73600062e+01;4.76181793e+04;5.67767054e+02;3.40500667e+04;;;;;;;;;;;;
10;4.38461021e+00;1.38938465e-03;-3.11491365e+01;1.68344714e+02;2.14229312e+01;1.05375454e+03;1.55503747e+02;1.15446349e+03;-9.41606433e+01;8.07187008e+03;-1.16978250e+03;1.74541850e+04;5.70025621e+03;4.07258551e+04;-3.86356128e+02;1.31189647e+05;-1.21493108e+03;4.16752446e+05;3.41806505e+03;6.90949841e+05;-5.48419282e+02;2.02094546e+05;2.78475608e+03;4.79007209e+05;-1.32522546e+03;3.49775370e+05;-2.02857676e+03;3.49608434e+05;1.78977330e+03;2.13794169e+05;-3.94504698e+02;5.01597552e+04;-1.11246466e+01;3.84076596e+01;4.39802902e+01;3.94657890e+02;-7.99237099e+01;1.46339147e+03;5.41813963e+01;2.73718972e+03;7.07331198e+01;5.01907626e+03;1.04634144e+02;1.16884574e+04;-9.89491062e+01;1.27057778e+04;1.06811627e+02;1.15319293e+04;1.36798655e+02;2.00977493e+04;-6.23693585e+01;1.48631710e+04;;;;;;;;;;
11;4.38448901e+00;1.38895066e-03;-3.11486020e+01;3.42686060e+02;2.27774840e+01;2.15244938e+03;1.57316370e+02;1.60363270e+03;-2.12184367e+02;1.29311581e+04;-4.65272001e+02;1.41234003e+04;3.59480863e+03;1.05997967e+05;2.18228799e+03;4.20819591e+05;-7.05139124e+02;2.87584917e+05;1.13556674e+03;3.54061282e+05;-2.37945725e+03;2.81130201e+05;7.51298491e+02;2.26824219e+05;8.30666014e+02;1.65094461e+05;-1.75932037e+03;1.42077856e+05;7.73945341e+02;6.95589553e+04;-6.30702297e+01;1.97923155e+04;-1.11289676e+01;7.81487789e+01;4.44724042e+01;8.04239039e+02;-8.42581816e+01;2.97508138e+03;6.77614648e+01;5.09580520e+03;5.98094587e+01;6.25753830e+03;4.36576851e+01;1.70454830e+04;7.12962684e+01;1.22844491e+04;2.79448915e+01;8.64544711e+03;-2.37070518e+01;5.95538814e+03;-4.43270518e+01;8.10964004e+03;1.33166926e-01;6.59328232e+01;;;;;;;;
