m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err
2;6.22437862e+00;8.30241211e-05;1.11265350e+01;1.09465472e-02;2.46611840e+01;5.07398850e-02;8.90046899e+01;3.02814835e-01;-1.77850716e+01;1.93995785e-01;1.33910047e+00;6.09330988e-02;-1.08011141e+00;1.79749844e-03;4.74589327e+00;7.89737254e-03;;;;;;;;
3;6.22531287e+00;8.87899726e-05;3.39919245e+04;4.82138100e+05;5.95439681e+04;8.44527430e+05;1.28589428e+05;1.82345592e+06;4.53554430e+05;6.43516082e+06;-7.45957229e+04;1.05833147e+06;5.45821042e+03;7.74592396e+04;-6.07269763e+03;8.62211541e+04;2.50928747e+04;3.56021810e+05;;;;;;
4;6.22529340e+00;8.71354074e-05;7.40977947e+00;5.48925771e-01;2.33024828e+01;1.28486882e+00;7.41192091e+01;2.50929183e+00;6.26604689e+01;1.36573823e+01;4.20756915e+01;1.39976033e+00;-1.66176103e+00;8.85700089e-02;5.84821518e+00;6.54474158e-02;-1.24757297e+00;4.63374999e-01;4.84880824e+00;2.94223660e-01;;;;
5;6.22526016e+00;8.79709364e-05;4.38408249e+00;1.67257312e+00;2.05344631e+01;1.57758331e+00;6.89925152e+01;2.98030602e+00;1.73875257e+01;2.44163135e+01;1.16799250e+02;4.73167638e+01;-2.14927715e+00;2.69421320e-01;6.84001245e+00;5.93561594e-01;-4.16978839e+00;1.62932633e+00;6.94803363e+00;1.49082713e+00;1.07331449e+00;6.73441349e-01;;
6;6.22531393e+00;8.87899525e-05;5.29763431e+03;5.79338438e+04;7.79972758e+03;8.52819826e+04;2.12091344e+04;2.31789315e+05;6.58216680e+04;7.20571361e+05;7.39032156e+04;8.13285325e+05;8.48145763e+02;9.30632361e+03;-1.16850411e+03;1.28410765e+04;4.48978953e+03;4.91703142e+04;3.47589327e+02;3.91118264e+03;3.07655244e+03;3.37829652e+04;-5.07277528e+02;5.56313433e+03
