m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;p17;p17_err;p18;p18_err;p19;p19_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err
2;4.38548988e+00;1.35891193e-03;-2.15249696e+01;1.52152997e+00;-3.52955049e+01;6.20903939e+00;-6.60538363e+01;1.04433786e+02;2.86550263e+03;1.19238686e+03;-1.69067253e+04;8.21570005e+03;6.99369873e+04;3.87561206e+04;-1.58613285e+05;1.29418634e+05;1.58076465e+05;3.22317011e+05;3.82175953e+04;6.16302594e+05;-2.12724138e+05;8.49825228e+05;1.07292203e+05;6.78426805e+05;4.86201668e+03;6.73130487e+04;1.54117981e+05;5.90988618e+05;-2.14825884e+05;5.55639764e+05;-1.45346534e+03;1.93990343e+04;7.35631814e+04;5.36195167e+05;6.43455316e+04;6.43448046e+05;-9.83653595e+04;3.38470515e+05;3.00316411e+04;6.93148978e+04;-8.88534445e+00;3.36495343e-01;1.98892756e+01;1.51220594e+00;;;;;;;;;;;;;;;;;;
3;4.38546526e+00;1.39182376e-03;-2.04885114e+01;1.31856150e+01;-4.06447291e+01;6.64801509e+01;-6.79888021e+01;1.55662547e+02;2.76550268e+03;1.68143691e+03;-1.55269021e+04;1.72322622e+04;6.20620672e+04;9.69788220e+04;-1.27638239e+05;3.83572499e+05;8.46788632e+04;9.46892887e+05;1.31545899e+05;1.35798532e+06;-2.46252807e+05;9.66100093e+05;4.28088028e+04;4.71722854e+05;9.32333163e+04;6.99334637e+05;9.45697780e+04;4.30395532e+05;-1.24511555e+05;1.03128685e+06;-1.32621764e+05;1.83955514e+06;1.47689582e+05;1.46011515e+06;7.59061295e+04;8.74596336e+05;-1.26338915e+05;4.78230829e+05;3.81278517e+04;1.10170176e+05;-8.65023731e+00;3.00421275e+00;1.77969357e+01;2.68342888e+01;4.68616283e+00;6.06550776e+01;;;;;;;;;;;;;;;;
4;4.38426567e+00;1.25144016e-03;-3.45294171e+01;5.18134327e+00;4.35664711e+01;1.38433309e+01;1.71497176e+02;8.37996743e+01;-4.83554413e+02;5.87233289e+02;4.32117926e+02;3.10222751e+03;1.63463232e+03;1.25862758e+04;3.62284180e+02;2.86279597e+04;-5.92450932e+02;4.93330434e+04;-8.54791658e+02;5.26756101e+04;-2.55074202e+02;2.79655957e+04;5.74030919e+02;3.10345141e+04;1.10955574e+03;4.11784663e+04;-2.03594718e+02;2.80543136e+04;-5.00975410e+02;4.15946422e+04;-5.47965354e+02;4.30504030e+04;-1.24320715e+02;2.84987687e+04;3.38744203e+02;7.08237158e+04;6.47323584e+02;5.58229061e+04;-4.51259169e+02;1.51764125e+04;-1.19075817e+01;1.17804228e+00;5.26238906e+01;7.30446413e+00;-1.14100293e+02;2.06586084e+01;1.22890029e+02;4.84214108e+01;;;;;;;;;;;;;;
5;4.38473166e+00;1.40729997e-03;-2.77978064e+01;5.29193511e+00;1.27945229e-02;2.74275593e+00;1.48138308e+02;2.41690350e+02;1.97452260e+02;2.10922435e+03;-2.49328376e+03;1.28710024e+04;9.74180779e+03;5.91115314e+04;-2.27615610e+03;1.86330627e+05;-3.91579632e+03;3.04011766e+05;3.10750542e+03;2.82895341e+05;4.62381543e+02;1.83091801e+05;6.42089162e+02;1.56206349e+05;-3.48739662e+02;9.97099874e+04;-3.26041274e+03;2.19435598e+05;2.69951474e+02;7.98645317e+04;2.33649831e+03;4.49649853e+05;1.79433850e+03;4.19368846e+05;-4.18311757e+02;1.54419052e+05;-3.73496522e+03;1.97566429e+05;2.02079845e+03;6.23783900e+04;-1.03537925e+01;1.21922642e+00;3.57029263e+01;5.91793546e+00;-4.70012577e+01;1.89853420e+01;-2.28204474e+01;1.52872985e+02;2.12531692e+02;3.57396235e+02;;;;;;;;;;;;
6;4.38427543e+00;1.34724428e-03;-3.20672696e+01;1.20029864e+02;2.61748302e+01;7.42116888e+02;1.81020388e+02;6.75874614e+02;-3.42357501e+02;3.85431545e+03;-6.97913629e+01;8.66843388e+03;2.84024942e+03;3.00725980e+04;8.51825561e+02;1.09736219e+05;-9.33692254e+02;1.15875383e+05;-8.80325582e+02;9.20257953e+04;2.81402939e+02;8.34943189e+04;2.31464059e+02;5.15093829e+04;3.83383404e+02;1.08068502e+05;5.70011221e+02;1.29890760e+05;-4.73447000e+02;6.85711491e+04;-5.50148419e+02;6.77221156e+04;-3.47391163e+02;4.58504462e+04;4.76096606e+02;1.39308994e+05;5.05193075e+02;1.31861872e+05;-3.69646504e+02;3.87718599e+04;-1.13453111e+01;2.73683929e+01;4.63427473e+01;2.78940519e+02;-8.84618286e+01;1.07903777e+03;7.00985646e+01;2.14322986e+03;6.10233090e+01;2.26414721e+03;1.49188977e+01;2.30735214e+03;;;;;;;;;;
7;4.38451835e+00;1.37544986e-03;-3.11287553e+01;2.52375366e+02;1.96513774e+01;1.68112005e+03;1.73240662e+02;1.79931482e+03;-1.92751491e+02;8.92291555e+03;-6.36567229e+02;1.96558504e+04;3.88804626e+03;6.36632163e+04;1.64002113e+03;2.15839731e+05;-3.66367897e+02;9.87892358e+04;-8.27220036e+02;2.27865782e+05;-5.61030090e+02;1.38504238e+05;5.78344703e+02;1.81532844e+05;8.44506388e+02;1.50052865e+05;3.84099958e+02;1.02254579e+05;1.21570509e+02;3.43355950e+04;-1.47351842e+03;1.71312572e+05;-6.41861886e+02;1.45473033e+05;8.19144499e+02;2.63173712e+05;1.13506576e+03;2.85926816e+05;-7.88798264e+02;9.15546985e+04;-1.11236631e+01;5.75601013e+01;4.37162164e+01;6.14362427e+02;-7.73276533e+01;2.46906943e+03;4.61885163e+01;5.05131821e+03;8.50521427e+01;6.22788662e+03;4.62051218e+01;9.59541367e+03;2.89445820e+01;6.11474560e+03;;;;;;;;
8;4.38484508e+00;1.44084176e-03;-2.13576867e+01;3.51040567e+02;-4.26257488e+01;1.55318488e+03;1.56849734e+02;6.46724133e+03;4.09907371e+02;1.73606062e+04;-2.25242653e+03;5.97038634e+04;6.70222954e+03;2.61163767e+05;7.53052315e+03;7.12314712e+05;4.51916337e+03;1.26276278e+06;1.89100339e+03;5.98258864e+05;1.72695673e+03;7.62702812e+05;-2.13767150e+03;6.64462387e+05;7.95630587e+02;3.92813225e+05;1.24325587e+03;5.76236632e+05;-2.27107129e+03;5.18550101e+05;7.75369513e+02;3.17847502e+05;1.71782904e+03;5.87536789e+05;-1.30388088e+03;4.08333117e+05;-4.66025350e+02;2.46570778e+05;4.56310074e+02;8.85420341e+04;-8.88234100e+00;8.00538478e+01;2.00110157e+01;6.67291523e+02;9.86520749e+00;1.46527704e+03;-1.10084540e+02;6.22847993e+03;2.31547202e+02;1.97258947e+04;1.67955294e+02;3.56731189e+04;2.39017895e+02;3.89172329e+04;2.22670030e+02;4.72876753e+04;;;;;;
9;4.38484844e+00;1.44513019e-03;-6.85397902e+00;5.43568079e+02;-1.53717626e+02;5.65447708e+03;2.65133281e+02;2.69987514e+04;1.15528914e+03;3.89688381e+04;-4.48239815e+03;1.31856781e+05;1.01173715e+04;4.63520798e+05;8.78058266e+03;1.03009870e+06;9.79044930e+03;2.21239806e+06;4.18104646e+03;1.29402175e+06;5.28171692e+03;1.50323906e+06;2.26988640e+03;8.13300278e+05;4.07686448e+03;1.04939288e+06;3.65867107e+03;1.03900546e+06;-2.42418033e+03;4.42820948e+05;-4.93839728e+03;1.09955484e+06;-1.96436772e+03;8.03755764e+05;5.75626736e+03;5.45707277e+05;-3.59193872e+02;1.72353605e+05;-1.03596077e+03;9.17252961e+04;-5.57300174e+00;1.23986703e+02;-1.87470181e+01;1.70572652e+03;1.75018538e+02;1.13675634e+04;-4.35849791e+02;4.33507398e+04;4.77396927e+02;9.53454581e+04;4.49835816e+02;1.13503132e+05;5.03539060e+01;3.03882165e+04;4.37535114e+01;2.14409002e+04;8.52926428e+02;5.68938313e+04;;;;
10;4.38476885e+00;1.40256692e-03;-4.41559267e+01;1.13324063e+02;4.93839751e+01;1.19275402e+03;2.89124585e+02;2.43883460e+03;-6.98496057e+02;1.14079261e+04;3.57830606e+02;2.41184746e+04;7.31344261e+02;9.00110239e+04;4.23101998e+03;3.32950372e+05;4.41383033e+03;9.72665578e+05;-2.34603712e+03;1.05623966e+06;2.95347958e+03;5.61507336e+05;2.18497720e+02;1.09360232e+05;1.69331412e+03;5.97983965e+05;-1.73308048e+03;9.93696486e+05;-2.01223314e+03;6.77631264e+05;-1.80537737e+03;7.10961450e+05;1.34434677e+03;4.71508370e+05;1.12154839e+03;4.51817662e+05;1.10761751e+03;3.37639389e+05;-1.20241471e+03;1.29820403e+05;-1.40908357e+01;2.58399763e+01;6.24481158e+01;3.74831294e+02;-1.12601141e+02;1.74530270e+03;2.26929712e+01;4.63458165e+03;2.40020272e+02;1.08733366e+04;-1.66293980e+02;1.64559878e+04;4.65203217e-01;1.69349710e+02;4.15257414e+02;2.74754211e+04;1.32836679e+02;3.75179036e+04;-2.36681384e+02;1.97873220e+04;;
11;4.38396438e+00;1.35830462e-03;-2.82909125e+01;5.96678695e+01;4.27211970e-01;2.02801342e+02;2.02311702e+02;2.20795108e+03;-2.72376774e+02;6.65446033e+03;1.18120724e+01;4.09488977e+03;2.53144701e+03;2.46407924e+04;1.70112050e+03;8.00154357e+04;7.09532104e+02;2.58546341e+05;-7.78347888e+02;2.73318221e+05;-4.19297707e+02;1.70540823e+05;1.61750754e+02;7.81612332e+04;5.14574423e+02;1.43268151e+05;-1.71603584e+02;4.24006807e+04;1.48376688e+02;6.40724281e+04;-5.26476706e+02;1.05249055e+05;-3.79066286e+02;1.52386745e+05;2.58078615e+02;1.45080387e+05;3.43750523e+02;1.18535963e+05;-1.76200236e+02;4.00226110e+04;-1.04928503e+01;1.36224253e+01;3.72913084e+01;9.44893514e+01;-5.49087280e+01;3.77753947e+02;1.61315967e+01;2.72303595e+03;9.14291572e+01;7.72785615e+03;5.89853371e+01;1.13056224e+04;1.21551494e+01;4.59299070e+03;-7.44380283e+00;3.27682073e+03;3.44942797e+01;1.14866220e+04;2.03987101e+01;9.77146726e+03;-4.64484368e+01;7.07941679e+03
