m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err
2;4.38474035e+00;1.45209999e-03;-2.74299050e+04;3.26885638e+07;-5.15938234e+04;6.14958511e+07;-2.89202825e+04;3.44765311e+07;-2.25126742e+04;2.68388613e+07;9.72398490e+03;1.15910034e+07;-6.26437472e+03;7.46403239e+06;-4.71959028e+03;5.62772150e+06;;;;;;
3;4.38474028e+00;1.45209998e-03;-2.01044878e+04;2.85292086e+07;3.36953018e+03;4.77899609e+06;3.68846380e+03;5.22801923e+06;-9.70215917e+03;1.37745550e+07;-5.13440835e+03;7.28531900e+06;-4.58742286e+03;6.50821518e+06;5.81995687e+03;8.25714467e+06;-3.76968397e+03;5.34974946e+06;;;;
4;4.38474058e+00;1.45209999e-03;-9.95780054e+03;8.96110244e+06;-3.35644017e+03;3.03707373e+06;-3.66161882e+03;3.31237129e+06;-1.03946565e+04;9.36924012e+06;-2.57197983e+04;2.31900164e+07;-2.27043299e+03;2.04219138e+06;1.67300486e+03;1.50103382e+06;-1.32125899e+03;1.18755209e+06;-2.91158472e+03;2.62600441e+06;;
5;4.38456204e+00;1.28261476e-03;-4.97725287e+00;4.19119191e+01;-6.94040284e+00;9.31071536e+01;6.07123967e+00;2.04555436e+01;3.10502669e+00;4.74507623e+01;-7.43432950e-01;1.05054692e+01;-2.23211473e+00;9.55845632e+00;4.60770741e-01;3.17087475e+01;1.69676278e+00;3.54958258e+01;-1.11309932e+00;1.58084208e+01;2.69532682e-01;3.04838045e+00
