m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err
2;6.25212266e+00;6.36803265e-05;1.48164884e+01;3.14462204e-03;3.65929660e+01;2.19747153e-02;3.09254882e+01;6.10243141e-03;-3.33906123e-01;6.76504275e-04;2.93976828e+00;3.84958649e-04;;;;;;;;;;;;
3;6.22346089e+00;8.02653732e-05;1.37109168e+01;4.14542932e-03;3.06810160e+01;2.63915334e-02;1.10202685e+02;1.64594160e-01;-6.74158967e-01;9.31782899e-04;4.70919366e+00;3.77785191e-03;1.51385256e+00;3.19481169e-03;;;;;;;;;;
4;6.22447632e+00;8.35487336e-05;1.21395319e+01;3.28981422e-02;2.65618865e+01;8.88706064e-02;9.24043374e+01;4.12339753e-01;-9.16413303e-01;5.09285541e-03;4.56532009e+00;4.78470512e-03;7.98068286e-01;1.54429476e-02;1.45676035e-01;3.04139565e-03;;;;;;;;
5;6.22511501e+00;8.43183279e-05;6.30297217e+00;1.18347902e-01;1.77457713e+01;1.87710384e-01;6.48285024e+01;6.56004786e-01;-1.84333601e+00;1.87495985e-02;5.56522865e+00;1.99624825e-02;-2.28806527e+00;6.25016174e-02;1.91067969e+00;3.49253602e-02;-4.71696266e-01;9.29524645e-03;;;;;;
6;6.22531080e+00;8.57057065e-05;1.95843853e+00;3.67460672e-01;1.63423792e+01;1.99120130e-01;5.49296143e+01;9.97853973e-01;-2.53730389e+00;5.86465649e-02;7.22621633e+00;1.36236339e-01;-5.96636951e+00;3.04223344e-01;5.52631394e+00;2.96110762e-01;-2.48133786e+00;1.64118129e-01;4.68148414e-01;3.82319100e-02;;;;
7;6.22524360e+00;8.75480955e-05;7.67672279e+00;1.41799179e+00;9.55906908e+00;1.56333219e+00;6.43438086e+01;2.51353334e+00;-1.62119596e+00;2.27089117e-01;3.59445937e+00;8.66188402e-01;2.71441194e+00;2.06456670e+00;-6.48003349e+00;2.82319727e+00;7.81328410e+00;2.40176354e+00;-4.44667363e+00;1.13997491e+00;1.00142373e+00;2.31324397e-01;;
8;6.22532114e+00;8.77539015e-05;-9.48018516e+00;2.16497448e+00;4.97487260e+01;4.51493495e+00;5.15645096e+00;6.71073574e+00;-4.37264401e+00;3.47037477e-01;1.77475782e+01;1.67199532e+00;-3.79914130e+01;4.68744772e+00;6.26786363e+01;7.80033219e+00;-7.10298070e+01;8.74254623e+00;5.20726457e+01;6.19225572e+00;-2.21222624e+01;2.51580265e+00;4.12062539e+00;4.47357717e-01
