m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err
2;4.38369550e+00;1.18777476e-03;2.88885843e+00;3.13635531e-01;1.17793061e+00;5.85372057e-01;2.14525193e+00;8.20155870e-01;-4.46073298e-01;6.79603870e-02;4.09992583e-01;9.09786943e-02;;;;;;;;;;
3;4.38403931e+00;1.19247034e-03;-1.00592868e+00;2.16428810e+00;-1.15784122e+00;1.46946350e+00;1.61405010e+00;7.87951702e-01;-1.33071953e+00;4.89755399e-01;8.19621723e-01;1.95112626e-01;-1.40089797e-01;7.40672040e-02;;;;;;;;
4;4.38474071e+00;1.45210000e-03;2.84147174e+04;2.70317935e+07;-2.24496092e+05;2.13391499e+08;-1.26010124e+05;1.19785436e+08;6.47455611e+03;6.16048925e+06;-5.81706926e+04;5.52996786e+07;3.15166528e+04;2.99602087e+07;-9.12335885e+03;8.67253974e+06;;;;;;
5;4.38473955e+00;1.45209998e-03;-3.57063441e+03;2.86771588e+06;-3.73712721e+03;3.01504682e+06;2.09869764e+03;1.68512891e+06;-8.15935454e+02;6.54431728e+05;5.33707006e+01;3.92028670e+04;6.82146162e+02;5.51263792e+05;-5.40396071e+02;4.35776695e+05;1.46338347e+02;1.17909943e+05;;;;
6;4.38476054e+00;1.45206317e-03;6.46701548e+01;1.72134462e+03;-4.23946729e-01;4.55942506e+02;-1.35254216e+03;2.57176289e+04;1.36854844e+01;3.93162028e+02;-1.64026121e+01;5.41197624e+02;-2.88448196e+02;5.29545080e+03;2.92625932e+02;5.45016608e+03;-1.49733276e+02;2.79879306e+03;3.04728120e+01;5.68695314e+02;;
7;4.38473956e+00;1.45209990e-03;-2.81326705e+03;2.36900408e+06;9.45850555e+03;8.01791374e+06;8.55787285e+03;7.32602915e+06;-6.43040155e+02;5.40574842e+05;2.87050944e+03;2.42876505e+06;-1.00391836e+03;8.32086497e+05;2.20936771e+02;1.70170008e+05;-4.03634904e+02;3.34058379e+05;5.34363144e+02;4.51880390e+05;-1.92772916e+02;1.63674453e+05
