m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;5;0.9999999535974794;3147.924849342947;262.3270707785789;-244.71604267496582;-240.54997595468473;3.6615486744696204;1.80500976821385;0.006856165365427103;0.9273781720379661;5.231655922570722;0.07310723367167367
3;6;0.9999999963560592;331.9529442958607;30.177540390532787;-285.9689394151652;-280.9696593508279;3.6615486744696204;0.3263467582215185;0.0020789519222645936;2.611400745161201;2.7580354869312824;0.2518257891421543
4;7;0.9999999964783912;316.09947166545425;31.609947166545425;-284.54945228537343;-278.7169588769799;3.6615486744696204;0.35143679022908714;0.001970467281132926;2.6266092788872126;2.1405083138442995;0.34292135050715455
5;8;0.9999999964913306;316.0913841559867;35.121264906220745;-282.6120304614033;-275.94632370895357;3.6615486744696204;0.35198428012250815;0.001960917025067843;2.61270977047212;2.188573527420081;0.33477829784809937
