m;p0;p0_err;p1;p1_err;p2;p2_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err
2;1.54807410e+01;3.41585141e-05;7.26951608e+00;5.94359748e-02;-8.91014980e+00;5.65314156e-02;-2.37699116e-01;3.81607022e-03;-1.82230526e-01;1.04412511e-03;;;;;;
3;1.54825389e+01;5.00201174e-05;4.26703397e+01;1.25943074e+00;3.03811200e+01;1.37763577e+00;2.05249091e+00;8.14218815e-02;7.11858497e-01;3.08185814e-02;-5.36660086e-02;1.71610816e-03;;;;
4;1.54825944e+01;5.27513262e-05;7.11279583e+01;9.83613234e+00;5.90493666e+01;9.91044726e+00;3.89098014e+00;6.35456281e-01;1.26201944e+00;1.90378463e-01;-2.95403731e-02;9.03775287e-03;-1.84892427e-02;6.46672971e-03;;
5;1.54825926e+01;5.28616110e-05;6.48779137e+01;1.92498806e+01;5.33666262e+01;1.78457722e+01;3.48725847e+00;1.24347360e+00;1.17989568e+00;2.78793176e-01;-5.74856616e-02;8.06711820e-02;-1.14045680e-03;4.98859929e-02;-3.69116161e-03;1.06798865e-02
