n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;1.000000;10.448286;0.614605;-301.529218;-296.074006;2.985904;2.439087;0.010981;1.717211;9.805726;0.007425
2;3;6;1.000000;10.313970;0.644623;-300.025006;-293.478751;2.985904;2.322109;0.011210;1.728757;9.634761;0.008088
2;4;7;1.000000;9.966828;0.664455;-298.624439;-290.987142;2.985904;2.317354;0.010249;1.743424;9.542550;0.008470
2;5;8;1.000000;5.952430;0.425174;-308.548979;-299.820639;2.985904;2.553553;0.007716;2.582061;2.891332;0.235589
2;6;9;1.000000;6.039026;0.464540;-306.825994;-297.006612;2.985904;2.519317;0.007355;2.582311;3.089097;0.213408
2;7;10;1.000000;1.872996;0.156083;-331.882806;-320.972381;2.985904;0.799943;0.005581;1.845645;4.337980;0.114293
3;2;6;1.000000;10.265260;0.641579;-300.216429;-293.670175;2.348230;2.343772;0.011349;1.731533;10.779218;0.012982
3;3;7;1.000000;10.379856;0.691990;-297.551939;-289.914642;2.348230;2.483734;0.010505;1.713402;11.860588;0.007876
3;4;8;0.999999;21.424302;1.530307;-280.147809;-271.419469;2.348230;2.777160;0.019579;1.400155;1.190370;0.755315
3;5;9;1.000000;5.175838;0.398141;-306.459417;-296.640035;2.348230;2.724337;0.006944;2.706342;2.633708;0.451611
3;6;10;1.000000;5.209319;0.434110;-304.218505;-293.308080;2.348230;2.738612;0.006969;2.703397;2.604098;0.456772
4;2;7;1.000000;6.116231;0.407749;-308.090524;-300.453227;2.681758;2.714914;0.008446;2.413098;2.489785;0.646466
4;3;8;0.999997;125.849858;8.989276;-239.446263;-230.717924;2.681758;7.469740;0.053366;1.013267;6.420032;0.169899
4;4;9;1.000000;6.672912;0.513301;-305.357619;-295.538237;2.681758;2.507850;0.008316;2.412974;3.536306;0.472379
4;5;10;1.000000;5.325384;0.443782;-304.723655;-293.813231;2.681758;2.674927;0.007167;2.687245;2.892195;0.576025
5;2;8;1.000000;5.613261;0.400947;-308.994736;-300.266397;4.268767;2.592042;0.007451;2.653396;4.238927;0.515554
5;3;9;1.000000;5.509593;0.423815;-307.098190;-297.278808;4.268767;2.608004;0.007330;2.682428;4.186072;0.522949
5;4;10;1.000000;5.584022;0.465335;-304.895093;-293.984669;4.268767;2.606595;0.007435;2.656064;4.180832;0.523685
6;2;9;1.000000;5.282995;0.406384;-306.431148;-296.611765;3.996444;2.710972;0.007155;2.699462;5.340819;0.500901
6;3;10;1.000000;5.284206;0.440351;-304.428401;-293.517977;3.996444;2.710917;0.007158;2.699381;5.340698;0.500916
7;2;10;1.000000;1.608052;0.134004;-334.342037;-323.431613;4.192747;0.740299;0.005078;1.906810;12.007486;0.100313
