n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;7;-331.88280560;-320.97238107;0.15608299;0.00558055
3;5;-306.45941743;-296.64003535;0.39814140;0.00694383
4;2;-308.09052444;-300.45322726;0.40774873;0.00844558
5;2;-308.99473616;-300.26639653;0.40094723;0.00745143
6;2;-306.43114757;-296.61176549;0.40638426;0.00715506
7;2;-334.34203741;-323.43161287;0.13400433;0.00507844
