n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;1.000000;13.191748;0.347151;-624.103444;-615.297443;2.692960;1.548694;0.022468;0.579952;11.048151;0.003990
2;3;6;1.000000;3.980992;0.107594;-676.210149;-665.642948;2.692960;0.825766;0.010936;1.762397;4.918394;0.085504
2;4;7;1.000000;3.422489;0.095069;-683.453022;-671.124621;2.692960;0.744681;0.008865;2.049342;5.937337;0.051372
2;5;8;1.000000;3.382529;0.096644;-681.807806;-667.718205;2.692960;0.723295;0.008938;2.057011;5.576336;0.061534
2;6;9;1.000000;3.397316;0.099921;-681.547655;-665.696854;2.692960;0.707967;0.008534;1.956920;3.510424;0.172871
2;7;10;1.000000;2.954565;0.089532;-683.239226;-665.627225;2.692960;0.704354;0.008266;2.104208;4.511046;0.104819
2;8;11;1.000000;2.866403;0.089575;-681.946652;-662.573451;2.692960;0.735615;0.007948;2.122232;4.929739;0.085020
2;9;12;1.000000;2.826327;0.091172;-681.033342;-659.898941;2.692960;0.758551;0.007809;2.174871;5.039424;0.080483
2;10;13;1.000000;2.801202;0.093373;-678.910451;-656.014850;2.692960;0.778020;0.007848;2.187097;4.854621;0.088274
2;11;14;1.000000;2.787934;0.096136;-676.100195;-651.443394;2.692960;0.788873;0.007921;2.163302;4.660703;0.097262
2;12;15;1.000000;2.789719;0.099633;-674.181353;-647.763351;2.692960;0.785928;0.007915;2.166145;4.656214;0.097480
2;13;16;1.000000;2.787027;0.103223;-672.190839;-644.011637;2.692960;0.788390;0.007902;2.165264;4.697062;0.095509
2;14;17;1.000000;2.685690;0.103296;-671.027596;-641.087194;2.692960;0.811232;0.007507;2.164941;5.428641;0.066250
3;2;6;1.000000;3.449198;0.093222;-684.227497;-673.660296;3.420029;0.751769;0.009167;2.020023;6.668356;0.083254
3;3;7;1.000000;3.411441;0.094762;-683.635930;-671.307530;3.420029;0.740399;0.008839;2.053976;6.784380;0.079097
3;4;8;1.000000;3.979560;0.113702;-672.274084;-658.184483;3.420029;0.825309;0.010958;1.771213;5.656978;0.129545
3;5;9;1.000000;3.416142;0.100475;-679.490061;-663.639260;3.420029;0.744265;0.008798;2.041079;6.812229;0.078130
3;6;10;1.000000;2.511958;0.076120;-680.269527;-662.657526;3.420029;0.821673;0.009401;1.720884;6.593516;0.086047
3;7;11;1.000000;3.301417;0.103169;-678.731117;-659.357916;3.420029;0.707002;0.008244;1.990142;7.503740;0.057462
3;8;12;1.000000;2.940016;0.094839;-679.493186;-658.358785;3.420029;0.707259;0.008128;2.127115;8.762239;0.032625
3;9;13;1.000000;2.963928;0.098798;-677.207920;-654.312319;3.420029;0.702809;0.008295;2.119068;8.588835;0.035288
3;10;14;1.000000;2.808481;0.096844;-677.077881;-652.421079;3.420029;0.772028;0.007861;2.190051;9.590066;0.022392
3;11;15;1.000000;2.798403;0.099943;-674.917052;-648.499050;3.420029;0.780151;0.007845;2.187971;9.655126;0.021737
