n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;4;-683.45302226;-671.12462145;0.09506914;0.00886509
3;2;-684.22749673;-673.66029603;0.09322156;0.00916671
4;5;-684.98491793;-667.37291677;0.08696924;0.00810904
5;5;-694.87184490;-675.49864362;0.05288584;0.00691522
6;5;-689.61715902;-668.48275763;0.06044704;0.00747227
7;2;-686.41342434;-668.80142318;0.08719613;0.00773545
8;5;-685.93516451;-661.27836289;0.06043136;0.00741521
9;2;-680.93016610;-659.79576472;0.09111474;0.00779446
10;5;-682.29297009;-654.11376824;0.06730760;0.00734158
11;5;-676.94617124;-647.00576928;0.07174137;0.00784970
12;3;-675.32266631;-647.14346446;0.07373733;0.00823982
13;2;-671.71972824;-643.54052639;0.10247513;0.00814965
14;2;-683.07200705;-653.13160508;0.06355390;0.00701538
