m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;h1;h1_err;h2;h2_err;h3;h3_err
2;5.96779618e+00;4.50544676e-05;3.79066307e+00;1.03823369e-02;2.62753999e+00;5.99635242e-03;4.84245655e+00;2.86022037e-02;-6.36127481e-01;1.85753160e-03;7.48895626e-01;2.91264558e-03;;
3;5.96787011e+00;4.60935450e-05;2.50707310e+00;1.60974446e-01;1.24003461e+00;1.74558251e-01;3.49722986e+00;1.73297895e-01;-8.49223430e-01;2.67217509e-02;7.66241959e-01;3.19185437e-03;-6.36577032e-02;8.00971126e-03
