R_untransformed;x_transformed;y_raw;y_fit;residuals;studentized_residuals
8.442390938;1.0;15.48254601;15.482557057292297;-1.1047292296950673e-05;-0.8548605208838173
8.306906215;0.8543588005135904;14.09959865;14.099514318340681;8.43316593197585e-05;-0.11252581234566755
8.278897284;0.824250208069761;13.80353481;13.803566291512068;-3.148151206744387e-05;0.22619607893593016
8.175558556;0.7131647958840673;12.68741326;12.687489352532893;-7.609253289331264e-05;1.0862219360093994
8.083126019;0.6138031463772673;11.66810159;11.668075439740582;2.615025941743454e-05;0.5785173755591559
8.039995722;0.5674396298848214;11.1905284;11.190464651031125;6.374896887528791e-05;0.08076596605058796
7.919561123;0.43797677186189427;9.870963954;9.870916179325034;4.77746749663055e-05;-1.2484274908816546
7.881894256;0.39748624592433096;9.467347927;9.467414101919397;-6.617491939664433e-05;-1.4225864386296863
7.80917295;0.3193134600962332;8.707871954;8.707705304966701;0.00016664903329832725;-0.8908141259249646
7.773907751;0.28140464079350774;8.350556102;8.35016172296928;0.0003943790307197048;-0.3449827516049306
7.705330372;0.2076864273002114;7.678171721;7.678200281077632;-2.8560077631745173e-05;0.7366975534230259
7.671910628;0.17176140568217513;7.362734803;7.36267869822465;5.6104775350007685e-05;1.3627521024534672
7.639064449;0.13645294578957706;7.060429727;7.060517338824346;-8.761182434646742e-05;1.7809420821422568
7.54332694;0.03353857036880854;6.22531403;6.225441191388155;-0.00012716138815527245;0.23812872371105123
7.512127225;0.0;5.967898903;5.9678701126140625;2.8790385937504936e-05;-2.4893016300778763
