Segment;T_measured_K;R_measured_Ohm;T_fitted_K;Residual_K;Residual_mK
1;5.96789890;7.51212723;5.96787336;0.00002554;0.02554289
1;6.22531403;7.54332694;6.22543044;-0.00011641;-0.11641112
1;7.06042973;7.63906445;7.06051035;-0.00008062;-0.08061951
1;7.36273480;7.67191063;7.36267676;0.00005804;0.05803981
1;7.67817172;7.70533037;7.67820207;-0.00003035;-0.03034551
1;8.35055610;7.77390775;8.35016514;0.00039096;0.39096136
1;8.70787195;7.80917295;8.70770729;0.00016466;0.16466046
1;9.46734793;7.88189426;9.46741265;-0.00006472;-0.06472179
1;9.87096395;7.91956112;9.87091414;0.00004981;0.04981426
1;11.19052840;8.03999572;11.19046620;0.00006220;0.06220084
1;11.66810159;8.08312602;11.66807784;0.00002375;0.02374508
1;12.68741326;8.17555856;12.68748943;-0.00007617;-0.07617367
1;13.80353481;8.27889728;13.80356551;-0.00003070;-0.03069927
1;14.09959865;8.30690621;14.09951559;0.00008306;0.08305737
1;15.48254601;8.44239094;15.48255731;-0.00001130;-0.01130440
2;15.48254601;8.44239094;15.48255009;-0.00000408;-0.00407980
2;15.93546712;8.48875317;15.93537005;0.00009707;0.09706762
2;16.40192588;8.53772791;16.40198909;-0.00006321;-0.06320577
2;17.00157265;8.60259020;17.00151352;0.00005913;0.05913382
2;17.37562651;8.64422676;17.37547093;0.00015558;0.15558212
2;17.88324557;8.70227233;17.88302267;0.00022290;0.22289762
2;18.40655544;8.76410350;18.40668150;-0.00012606;-0.12606122
2;18.94641089;8.83000708;18.94647786;-0.00006697;-0.06697462
2;19.49959723;8.89990168;19.49945476;0.00014247;0.14246697
2;20.06754425;8.97432888;20.06763627;-0.00009202;-0.09202426
2;20.39511508;9.01846295;20.39510099;0.00001409;0.01408896
2;21.25989483;9.13946881;21.25960220;0.00029263;0.29262937
2;21.88153048;9.23070544;21.88180260;-0.00027212;-0.27211995
2;22.52192840;9.32829848;22.52198348;-0.00005508;-0.05507852
2;22.52311074;9.32843015;22.52283059;0.00028015;0.28015441
2;23.18110764;9.43282183;23.18127915;-0.00017151;-0.17150636
2;23.85923618;9.54459079;23.85911266;0.00012352;0.12351787
2;24.55611239;9.66413935;24.55627155;-0.00015916;-0.15916076
