m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err
2;4.38584785e+00;1.29773415e-03;-2.08472025e+01;1.73389895e+00;-3.02099101e+01;4.52804218e+00;-1.80134399e+02;6.95988899e+01;4.23529705e+03;7.51882216e+02;-2.78033086e+04;4.60617996e+03;1.25469004e+05;1.93444734e+04;-3.45341465e+05;5.30716158e+04;5.63012094e+05;8.97427176e+04;-4.71735913e+05;7.93720363e+04;-3.27905486e+02;5.68758756e+02;4.32898753e+05;8.23723321e+04;-4.46487643e+05;9.05073151e+04;2.03441243e+05;4.38839838e+04;-3.68422947e+04;8.44367456e+03;-8.71073499e+00;3.87248682e-01;1.92891046e+01;1.70945869e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.38574246e+00;1.36449443e-03;-2.13810060e+01;2.48781490e+00;-2.83795304e+01;8.04100548e+00;-1.56696654e+02;1.17588201e+02;4.02022617e+03;1.17347471e+03;-2.66517120e+04;6.78144459e+03;1.20966244e+05;2.80207666e+04;-3.35930825e+05;7.11271186e+04;5.54081259e+05;1.12559152e+05;-4.75029789e+05;1.10545096e+05;1.95392406e+04;9.67645160e+04;4.07823628e+05;1.23370840e+05;-4.30149459e+05;1.03374146e+05;1.97811564e+05;4.56072301e+04;-3.60299697e+04;8.36861057e+03;-8.83734195e+00;5.78204715e-01;2.04301194e+01;4.54345225e+00;-2.71383767e+00;1.05001098e+01;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.38416353e+00;1.25343694e-03;-3.42569852e+01;4.73261091e+00;4.27128964e+01;2.00504696e+01;1.67883336e+02;9.50654064e+01;-4.79108505e+02;7.42591662e+02;3.98781794e+02;3.81527771e+03;2.14693202e+03;1.41367335e+04;-2.53124089e+02;3.21972114e+04;-6.88964742e+02;4.37160454e+04;-4.58195912e+02;3.83894042e+04;-4.20877871e+02;2.98184353e+04;1.59956076e+03;1.96763717e+04;1.72662500e+02;1.55208671e+04;-1.47289680e+03;1.09056070e+04;6.21930613e+02;2.86292859e+03;-1.18482632e+01;1.08847915e+00;5.22572337e+01;9.18575270e+00;-1.14291773e+02;2.63766956e+01;1.26482754e+02;3.10484308e+01;;;;;;;;;;;;;;;;;;;;;;;;
5;4.38430476e+00;1.31878550e-03;-3.35678658e+01;1.03398803e+02;3.79517253e+01;6.61662921e+02;1.62011202e+02;5.20870932e+02;-3.53457295e+02;3.75032522e+03;-1.88961412e+02;1.22028152e+04;3.83924900e+03;1.87782325e+04;-2.02173976e+03;3.89044292e+04;5.10105207e+02;3.82982252e+04;-6.07630374e+01;3.31514881e+03;-1.72504139e+03;7.16310977e+04;1.94660699e+03;1.15087800e+05;1.02485236e+03;1.44232293e+05;-2.25212733e+03;9.85958549e+04;8.27275808e+02;2.53728623e+04;-1.16862456e+01;2.36003943e+01;5.03466121e+01;2.46735681e+02;-1.06048598e+02;9.97220144e+02;1.07508166e+02;2.08329085e+03;2.71729389e+01;2.10302387e+03;;;;;;;;;;;;;;;;;;;;;;
6;4.38449338e+00;1.35320786e-03;-3.19438096e+01;1.63272471e+02;2.71476536e+01;1.18505425e+03;1.58059850e+02;1.88638911e+03;-2.13683301e+02;4.19498058e+03;-5.90307637e+02;1.51670831e+04;4.13768229e+03;2.39414484e+04;7.82537265e+02;1.19386120e+05;-1.53692722e+03;1.38168991e+05;6.19066335e+02;1.40043344e+05;-1.56130129e+03;2.11365539e+05;2.15139237e+03;1.28766263e+05;2.40725096e+02;2.92653320e+04;-1.63575048e+03;4.62172957e+04;6.65344680e+02;1.52354588e+04;-1.13100605e+01;3.72397302e+01;4.61835848e+01;4.19971102e+02;-8.96568381e+01;1.89643806e+03;7.63573826e+01;4.64817233e+03;4.95148806e+01;6.28094276e+03;5.58600125e+01;3.56033673e+03;;;;;;;;;;;;;;;;;;;;
7;4.38455292e+00;1.35452074e-03;-3.14140805e+01;2.09190505e+02;2.32547784e+01;1.42167192e+03;1.59889462e+02;1.50857484e+03;-1.73149564e+02;6.02427340e+03;-7.64599730e+02;1.29325535e+04;4.48458516e+03;3.74794348e+04;1.15986400e+03;1.73493319e+05;-1.04401387e+03;5.80155829e+04;-5.61831683e+02;3.95096837e+04;4.88522097e+02;1.16484459e+05;1.02352634e+03;9.46514585e+04;-2.64787797e+02;7.89859596e+04;-8.20755241e+02;9.43941085e+04;4.10347183e+02;2.96359684e+04;-1.11872347e+01;4.77127661e+01;4.47333303e+01;5.16106997e+02;-8.30674228e+01;2.13260765e+03;5.88971025e+01;4.59499087e+03;7.96335974e+01;5.41123446e+03;3.67443641e+01;4.17290088e+03;3.60981972e+01;3.58768942e+03;;;;;;;;;;;;;;;;;;
8;4.38440871e+00;1.41376844e-03;-2.62407426e+01;1.18232117e+02;-2.56218059e+01;4.57785447e+02;2.98770972e+02;3.09991856e+03;-2.63037757e+02;1.30387388e+04;-1.01682975e+03;1.35601049e+04;5.54590706e+03;6.62127635e+04;-2.64735676e+03;2.73222406e+05;1.19963114e+04;1.01372221e+06;-1.18654191e+04;8.91588186e+05;8.09539473e+03;5.69912889e+05;-1.62073202e+03;4.87849162e+05;5.17845331e+02;6.48524740e+04;-1.69737266e+03;1.96083195e+05;7.93484380e+02;7.43363124e+04;-1.00126629e+01;2.69729232e+01;2.90477902e+01;2.12585369e+02;2.44231607e+00;2.57928009e+02;-2.02274442e+02;3.72790502e+03;5.84135625e+02;1.35083374e+04;-5.98479321e+02;2.37993582e+04;6.02378967e+02;1.64151656e+04;-8.64393202e+01;1.11414370e+04;;;;;;;;;;;;;;;;
9;4.38455342e+00;1.37914218e-03;-3.10484953e+01;3.18137674e+02;2.19022696e+01;2.18216258e+03;1.53991611e+02;2.11762266e+03;-1.68802317e+02;8.85072037e+03;-6.65080582e+02;1.66377160e+04;4.14598351e+03;6.12336694e+04;2.02877838e+03;2.92303818e+05;-4.01773229e+01;7.02848436e+03;-3.60776470e+02;1.18257314e+05;-4.23377784e+02;8.50537923e+04;1.27320165e+03;1.11142101e+05;3.38257466e+02;7.35620570e+04;-1.25322251e+03;6.31484200e+04;4.95434581e+02;2.20562203e+04;-1.11037790e+01;7.25567209e+01;4.40871162e+01;7.89421943e+02;-8.22876237e+01;3.24895967e+03;6.09826039e+01;6.78926689e+03;8.00882238e+01;6.78433066e+03;1.05869419e+01;2.57284023e+03;1.59556199e+02;3.38933602e+03;-7.23057117e+01;4.55006378e+03;2.89596650e+01;6.18395930e+03;;;;;;;;;;;;;;
10;4.38465263e+00;1.38544452e-03;-3.08740783e+01;1.77152321e+02;2.05945903e+01;1.23814421e+03;1.48139927e+02;1.73595624e+03;-7.56441972e+01;5.51794342e+03;-1.12419098e+03;1.62967744e+04;5.39480812e+03;7.24087534e+04;9.31799256e+02;2.48896719e+05;-9.87429859e+02;2.95633293e+05;-1.77471728e+03;2.71609204e+05;3.19033327e+02;9.50692198e+04;-1.53269357e+03;1.41966520e+05;6.65815433e+02;8.24849251e+04;-5.97661381e+02;7.96645043e+04;2.16802371e+02;2.30732986e+04;-1.10605592e+01;4.04146338e+01;4.34900947e+01;4.44234589e+02;-7.94075936e+01;1.86945224e+03;5.55099071e+01;4.21561104e+03;7.67869141e+01;5.55883414e+03;6.79764309e+01;4.72961453e+03;2.83581498e+01;8.65981906e+03;-1.47771915e+01;9.39586290e+03;-5.24739358e+01;6.36552254e+03;-5.26226858e+01;6.52983546e+03;;;;;;;;;;;;
11;4.38461286e+00;1.39401568e-03;-3.08686246e+01;1.51359319e+02;2.04871054e+01;1.10309221e+03;1.49501900e+02;1.95679913e+03;-8.29053056e+01;4.51625753e+03;-1.10883494e+03;1.72632183e+04;5.48100958e+03;3.75830480e+04;4.46421176e+02;7.42614203e+04;-1.05198798e+03;1.59326337e+05;-8.97148685e+02;2.13538761e+05;-6.93398055e+02;2.15133808e+05;-1.45062083e+03;1.45345468e+05;2.85006844e+02;9.46173538e+04;-8.58968107e+02;6.41697991e+04;3.02328485e+02;1.80586347e+04;-1.10603731e+01;3.45380986e+01;4.34941727e+01;3.90463319e+02;-7.94541172e+01;1.77943625e+03;5.57384935e+01;4.71788945e+03;7.83066834e+01;8.17340571e+03;5.74237945e+01;8.98877079e+03;3.41253330e+01;6.48340142e+03;-2.84273703e+01;5.73703746e+03;-4.51906225e+01;5.07640545e+03;-3.91978988e+01;8.33202132e+03;-4.62949391e+01;9.37642744e+03;;;;;;;;;;
12;4.38444465e+00;1.38240332e-03;-3.10882479e+01;2.88633757e+02;2.13218569e+01;2.22157051e+03;1.66098506e+02;4.48410759e+03;-2.32943822e+02;6.72650975e+03;-4.07094104e+02;2.96199468e+04;3.48096511e+03;4.95946413e+04;1.82409396e+03;1.35013668e+05;2.59334506e+01;1.11898967e+04;-7.14070096e+02;2.09110904e+05;-2.42069415e+02;8.32847705e+04;-3.71766990e+02;9.24249625e+04;-2.74248592e+02;6.09652062e+04;-1.10426619e+03;1.20889628e+05;4.51791796e+02;3.02506701e+04;-1.11166906e+01;6.58306579e+01;4.41411994e+01;7.71006375e+02;-8.17285708e+01;3.71857744e+03;6.02076900e+01;1.02400224e+04;6.93175255e+01;1.78826528e+04;4.00089591e+01;2.14687726e+04;4.36712994e+01;2.03144887e+04;4.48911863e+01;1.32526489e+04;-2.66980513e+01;4.32103042e+03;-3.86497013e+01;1.41410979e+04;-3.43610806e+01;1.12898399e+04;-7.37351307e+00;2.15084535e+03;;;;;;;;
13;4.38460512e+00;1.41171301e-03;-3.00445564e+01;3.02490473e+02;1.57051574e+01;2.20552591e+03;1.50620546e+02;3.79631989e+03;-9.36549828e+01;6.96689873e+03;-9.16851701e+02;2.26039603e+04;4.68120892e+03;1.12834103e+05;2.31881549e+03;4.22841296e+05;7.65063797e+02;3.28432640e+05;-3.54695296e+02;1.38868765e+05;9.92912691e+02;3.59689873e+05;4.85467486e+02;1.70237474e+05;-3.40663428e+02;7.48021375e+04;6.05538886e+02;1.20439947e+05;-1.35080873e+02;3.30859382e+04;-1.08729043e+01;6.89845790e+01;4.16749326e+01;7.78118111e+02;-7.34944092e+01;3.47030743e+03;4.57310815e+01;8.77674235e+03;8.74074779e+01;1.41774780e+04;6.08592251e+01;1.46513363e+04;9.12572556e+01;1.43022880e+04;6.59336511e+01;1.35966486e+04;-1.87613641e+00;9.63819080e+02;-5.20826782e+01;1.47487209e+04;7.21058698e+01;1.00639841e+04;-2.59542673e+00;1.51411411e+03;-8.90426925e-01;5.64141871e+02;;;;;;
14;4.38443359e+00;1.38348229e-03;-3.06617761e+01;2.38435022e+02;1.68550192e+01;1.68282591e+03;1.75218492e+02;2.51410222e+03;-1.92452325e+02;6.73068114e+03;-6.34307243e+02;2.49551799e+04;4.14999394e+03;6.04258468e+04;6.25793185e+02;1.67724862e+05;-6.55231600e+01;2.09220289e+04;7.20790196e+02;2.46687175e+05;-8.92184330e+02;2.91563148e+05;1.68055275e+03;2.39821419e+05;-9.43257721e+01;3.88150010e+04;-1.47232138e+02;3.98606786e+04;-4.52042011e+02;1.50122951e+05;-1.10195239e+01;5.43885990e+01;4.27260127e+01;6.02644142e+02;-7.42319241e+01;2.65697783e+03;4.26309589e+01;6.49707085e+03;8.50827324e+01;9.71885643e+03;5.52509802e+01;9.69343412e+03;-1.86512240e+01;6.23657958e+03;5.15622770e+01;5.51937713e+03;4.51475139e+01;4.37176237e+03;-1.31856040e+01;3.79299145e+03;-1.57745097e+01;5.72896003e+03;-8.64056352e+00;3.24058090e+03;4.71603750e+01;7.09750397e+03;-3.55342333e+01;2.13499247e+03;;;;
15;4.38433927e+00;1.36753556e-03;-3.10813901e+01;4.20121478e+02;2.04015707e+01;2.77752441e+03;1.74522860e+02;3.68109925e+03;-2.68737477e+02;1.36122086e+04;-2.37799342e+02;3.45534633e+04;3.09611767e+03;8.61986913e+04;1.60632184e+03;3.47190690e+05;-7.86296622e+02;2.67984169e+05;-8.57451797e+02;2.71480303e+05;2.47706795e+02;9.47450419e+04;-4.62641785e+02;2.50015698e+05;5.41607944e+02;1.48774876e+05;-2.03900061e+02;5.63191819e+04;1.11697192e+02;3.14521820e+04;-1.11184225e+01;9.58235923e+01;4.40438122e+01;1.01783047e+03;-8.08854797e+01;4.22125260e+03;5.98791788e+01;9.55968880e+03;6.49291150e+01;1.34100416e+04;3.30304455e+01;1.53522075e+04;3.99388123e+01;6.51077287e+03;-2.75958857e+01;6.08186774e+03;7.44595396e+00;2.69175870e+03;-4.35444562e-01;1.69017082e+02;-2.52723703e+01;4.75610362e+03;-1.74139132e+01;5.79438953e+03;2.77871576e+01;8.87927948e+03;1.45716205e+01;5.85769008e+03;-1.23612410e+01;1.84548268e+03;;
16;4.38434939e+00;1.41602585e-03;-3.08641992e+01;4.56342971e+02;1.89119254e+01;3.00441390e+03;1.74961008e+02;3.29322835e+03;-2.53881163e+02;1.41593175e+04;-3.04442547e+02;3.17836265e+04;3.22377736e+03;8.40927376e+04;1.88015205e+03;3.65219923e+05;-9.84960294e+02;3.15628425e+05;2.29439967e+01;5.27498316e+03;1.86621017e+02;6.26892109e+04;4.99925054e+02;1.61890318e+05;4.44473171e+02;1.71848605e+05;5.35831838e+02;2.49830452e+05;5.83387623e+02;2.29749691e+05;-1.10683680e+01;1.04078236e+02;4.34822545e+01;1.10301521e+03;-7.84721611e+01;4.47177875e+03;5.38379193e+01;9.53492902e+03;7.32408580e+01;1.14150493e+04;3.93252001e+01;1.06443070e+04;2.23304702e+01;7.84557045e+03;2.73151148e+01;6.60522735e+03;-7.76761873e+00;3.57319484e+03;1.72704000e+01;6.41123420e+03;-1.12270715e+01;3.49321610e+03;2.94119961e+01;6.06575681e+03;3.19204023e+01;6.30909190e+03;-3.00868799e-01;1.23499500e+02;1.86257102e+01;6.30846010e+03;-1.01965600e+01;2.42918985e+03
