m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err
2;4.67212752e+00;8.42581772e-04;-8.50513016e+00;4.12329139e+00;-2.90316102e+01;1.07239757e+01;1.92189392e+02;1.77794237e+02;-4.72332122e+02;1.25772941e+03;2.18004989e+03;7.75515161e+03;6.03029734e+02;2.84637525e+04;-2.01675733e+04;6.62569424e+04;5.27372120e+04;1.01317432e+05;-6.76244077e+04;1.01813514e+05;4.71073575e+04;6.61516804e+04;-1.56004015e+04;2.88778528e+04;5.99625508e+02;1.00213267e+04;6.65831545e+02;2.04061370e+03;-5.73118409e+00;8.83746707e-01;1.21985119e+01;3.25090069e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.67212281e+00;8.42801060e-04;-7.12604433e+00;3.14428080e+01;-2.70189441e+01;6.86429964e+01;2.22250851e+02;4.14852457e+02;-7.94041722e+02;3.91211673e+03;4.34252319e+03;2.03488972e+04;-8.71970144e+03;9.29359912e+04;5.82906013e+03;2.25241780e+05;4.71524420e+03;3.09746527e+05;-8.18766130e+03;2.39222804e+05;-1.62183802e+03;1.49627034e+05;9.73406577e+03;1.46099878e+05;-6.93306309e+03;7.85157022e+04;1.63514037e+03;1.61827782e+04;-5.44169376e+00;6.76136661e+00;1.18036878e+01;4.25645687e+01;2.95892344e-01;9.86319263e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67213864e+00;8.40791998e-04;-3.96649980e+01;3.95392101e+00;6.33394364e+01;2.29490476e+01;1.47390494e+02;9.43775112e+01;-4.67172720e+02;7.66635048e+02;4.13117536e+02;4.15552711e+03;3.42267859e+03;1.69814502e+04;-9.55506903e+02;3.91943428e+04;-1.91891277e+03;5.21570950e+04;4.22326873e+02;3.38023446e+04;1.16729208e+03;2.47198217e+04;3.13955993e+02;3.77466933e+04;-1.26774128e+03;2.26596762e+04;4.92548493e+02;5.08245941e+03;-1.23743907e+01;8.47432974e-01;5.65883377e+01;8.15230175e+00;-1.29155589e+02;2.73296172e+01;1.55478694e+02;4.00911447e+01;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67216071e+00;8.42122155e-04;-3.64753505e+01;1.09634135e+02;3.65535868e+01;8.73529158e+02;1.84728107e+02;1.46080342e+03;-3.19977050e+02;1.91927804e+03;-1.66994807e+02;5.02583647e+03;4.48300572e+03;3.40233398e+04;1.13745346e+03;1.68511677e+05;-3.10648574e+03;1.31948083e+05;-5.64859102e+02;2.98296593e+04;2.02933398e+03;9.34061809e+04;9.29326215e+02;7.56058728e+04;-2.12477439e+03;3.89636539e+04;7.48320104e+02;9.75401188e+03;-1.16896834e+01;2.34471317e+01;4.81130005e+01;2.77036285e+02;-9.03098683e+01;1.24734771e+03;6.45789663e+01;2.89015566e+03;1.16949020e+02;3.41687736e+03;;;;;;;;;;;;;;;;;;;;;;;;
6;4.67216526e+00;8.42403071e-04;-3.54718453e+01;1.59270352e+02;3.21285146e+01;1.13916123e+03;1.57910826e+02;1.02947162e+03;-1.78037149e+02;5.82774780e+03;-4.62800164e+02;1.37361351e+04;5.19736098e+03;5.83705184e+04;2.38539750e+03;2.18315890e+05;-1.64887698e+03;1.65498838e+05;-1.51357557e+03;2.73321946e+05;2.11962877e+03;1.40708227e+05;4.53869230e+02;8.45261938e+04;-1.42291841e+03;8.83206085e+04;4.96556593e+02;2.42978003e+04;-1.14729850e+01;3.40856897e+01;4.62342443e+01;3.75724803e+02;-8.82131165e+01;1.46556241e+03;8.06989213e+01;2.68819326e+03;5.84377084e+01;2.75753124e+03;1.35520438e+02;6.25040336e+03;;;;;;;;;;;;;;;;;;;;;;
7;4.67214870e+00;8.42286402e-04;-3.53438956e+01;1.88556630e+02;3.05445176e+01;1.42906603e+03;1.74730667e+02;1.91806131e+03;-2.88619153e+02;4.56233386e+03;1.49569301e+01;1.81851499e+03;3.68261293e+03;6.86217821e+04;4.25288184e+03;3.47042552e+05;-2.10487783e+03;3.46309412e+05;-9.01727953e+02;1.10174225e+05;3.86533003e+03;1.06757438e+05;-2.36181385e+03;1.17830250e+05;2.67013283e+02;7.10865075e+04;1.13660795e+02;1.70468123e+04;-1.14479643e+01;4.03304670e+01;4.59045480e+01;4.60819666e+02;-8.54126586e+01;1.94221681e+03;6.66128536e+01;4.11461044e+03;9.83138526e+01;4.81984152e+03;4.24093562e+01;7.07086169e+03;1.09704412e+02;8.41843795e+03;;;;;;;;;;;;;;;;;;;;
8;4.67217072e+00;8.42997404e-04;-2.19869653e+01;7.98118495e+02;-6.87021677e+01;6.26708300e+03;2.40342049e+02;1.10304306e+04;3.44475139e+02;3.13915744e+04;-1.77925143e+03;4.22973410e+04;7.81738679e+03;2.22654400e+05;9.78696953e+03;1.39735442e+06;9.54969194e+03;2.62680779e+06;1.00932666e+04;3.27129779e+06;-6.50513199e+03;2.22315392e+06;6.19169213e+03;1.14727782e+06;-2.84052403e+03;4.48142348e+05;4.47549324e+02;9.80524733e+04;-8.58422750e+00;1.70842498e+02;1.33114526e+01;1.99704973e+03;4.49749238e+01;8.53499225e+03;-1.89244040e+02;2.02735019e+04;3.69407453e+02;3.42529365e+04;2.09501108e+02;4.69285466e+04;2.67835788e+02;3.81966410e+04;6.14904004e+02;8.99174856e+04;;;;;;;;;;;;;;;;;;
9;4.67228629e+00;8.43014971e-04;-1.05507038e+02;5.79091719e+01;1.42507948e+02;6.65372648e+03;1.79913246e+02;6.22659790e+03;-1.28606680e+03;1.90460093e+04;-5.52657605e+02;1.00558730e+05;3.93118012e+03;2.07350359e+05;5.22176443e+03;6.10542699e+05;-6.96578033e+03;6.23134230e+05;1.49210810e+03;5.26855216e+05;5.07497519e+03;3.80451424e+05;-3.02298170e+03;7.62880698e+05;-2.62306082e+03;6.65942830e+05;1.49195281e+03;1.81143421e+05;-2.64498491e+01;1.23909576e+01;1.27465519e+02;1.47168993e+03;-3.14934556e+02;6.55408050e+03;3.15634178e+02;1.43538001e+04;2.43797506e+01;1.70345601e+04;-2.05691236e+02;5.37576863e+04;2.26618209e+02;8.81157432e+04;1.77216445e+02;8.02266549e+04;-2.06576254e+02;2.88074197e+04;;;;;;;;;;;;;;;;
10;4.67215680e+00;8.41645995e-04;-3.69769141e+01;1.41360101e+02;4.13105794e+01;1.14182350e+03;1.77455889e+02;2.16858686e+03;-3.65464932e+02;3.05507823e+03;5.31600666e+01;1.03899971e+04;4.02391803e+03;1.86861896e+04;6.96216641e+02;1.50435560e+05;-1.60565375e+03;2.23335726e+05;6.61904053e+02;1.59333004e+05;-1.20241635e+03;1.15281294e+05;3.38328967e+02;8.12872055e+04;-1.69763931e+03;7.06917218e+04;5.98591003e+02;1.75866267e+04;-1.17978759e+01;3.02412657e+01;4.95895337e+01;3.60766037e+02;-9.77394375e+01;1.67684909e+03;8.28612381e+01;4.17143218e+03;9.49796844e+01;5.79067428e+03;-1.26037187e+01;4.13968195e+03;2.57147879e+01;6.32065424e+03;5.73098935e+01;1.09520717e+04;-4.90800695e+01;1.17717784e+04;-7.31090862e+01;6.69515703e+03;;;;;;;;;;;;;;
11;4.67213720e+00;8.42467959e-04;-3.42464994e+01;2.48439854e+02;2.32188675e+01;1.92459569e+03;1.79618344e+02;2.85312535e+03;-2.45270141e+02;7.94581560e+03;-1.34942141e+02;2.93251089e+04;4.37187225e+03;6.76635564e+04;1.78312764e+03;1.83527225e+05;-2.89256240e-02;1.27814889e+01;-6.91353102e+02;1.21362784e+05;8.09065620e+01;1.84794773e+04;-3.86790929e+02;8.74236484e+04;-3.03598133e+03;3.04167408e+05;6.03195640e+02;4.71531794e+04;-1.12143020e+01;5.31794542e+01;4.34709211e+01;6.18572891e+02;-7.65706031e+01;2.72578974e+03;5.41694062e+01;6.36818708e+03;9.69411078e+01;8.97331460e+03;6.60858243e+01;8.83484344e+03;4.37096009e+01;9.52401998e+03;1.91393261e+01;8.68703469e+03;5.60031009e+00;2.75594068e+03;-3.38410745e+01;7.19088895e+03;-1.08324042e+02;1.48981490e+04;;;;;;;;;;;;
