m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;h1;h1_err;h2;h2_err;h3;h3_err
2;4.38448002e+00;1.30835087e-03;-4.90517372e+00;1.60779016e+00;-2.59073646e+00;2.63528921e-01;2.27559664e+00;1.68579145e+00;3.82913978e-01;9.85568601e-01;9.75710656e-01;1.13705870e+00;-2.94733529e-01;3.75525554e-01;-2.07702979e+00;3.70006835e-01;1.09984061e+00;3.84565806e-01;;
3;4.38447827e+00;1.38874846e-03;-4.88354346e+00;6.27735704e+00;-2.61444162e+00;7.43846127e+00;2.26600018e+00;2.89742034e+00;3.86766672e-01;1.54853912e+00;9.85846604e-01;3.73808020e+00;-2.95477632e-01;5.27395662e-01;-2.07211250e+00;1.42758052e+00;1.08987926e+00;2.98728858e+00;5.20123869e-03;1.65040136e+00
