n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;1.000000;2.345367;0.123440;-371.471517;-365.581248;3.255998;0.697581;0.007398;1.885603;1.347086;0.509899
2;3;6;1.000000;2.224426;0.123579;-372.035120;-364.966797;3.255998;0.653494;0.006846;2.058684;3.158496;0.206130
2;4;7;1.000000;2.217115;0.130419;-369.962389;-361.716012;3.255998;0.645655;0.006903;2.058487;2.862186;0.239047
2;5;8;1.000000;1.977217;0.123576;-371.817612;-362.393181;3.255998;0.592031;0.006297;2.121689;0.904828;0.636091
2;6;9;1.000000;1.625426;0.108362;-371.186358;-360.583874;3.255998;0.547360;0.006123;2.271296;0.808139;0.667598
2;7;10;1.000000;1.531084;0.109363;-366.939517;-355.158979;3.255998;0.568019;0.006478;2.136936;0.944567;0.623577
3;2;6;1.000000;2.208255;0.122681;-372.286657;-365.218334;3.356832;0.641113;0.006823;2.088688;3.297055;0.348053
3;3;7;1.000000;2.334725;0.137337;-367.770970;-359.524593;3.356832;0.688608;0.007418;1.863690;1.356461;0.715772
3;4;8;1.000000;1.992265;0.124517;-368.884164;-359.459733;3.356832;0.664247;0.006634;2.413558;2.619437;0.454092
3;5;9;1.000000;1.546801;0.103120;-373.025560;-362.423076;3.356832;0.498801;0.005926;2.405878;1.187209;0.756074
3;6;10;1.000000;1.530308;0.109308;-370.714555;-358.934017;3.356832;0.631266;0.005710;2.501298;3.338136;0.342370
4;2;7;1.000000;2.132531;0.125443;-370.511002;-362.264625;1.974558;0.592413;0.007073;2.240338;2.788369;0.593842
4;3;8;1.000000;1.986484;0.124155;-369.018519;-359.594088;1.974558;0.656861;0.006648;2.425793;2.624528;0.622484
4;4;9;1.000000;1.628248;0.108550;-370.455669;-359.853185;1.974558;0.579621;0.006237;2.280566;4.508785;0.341507
4;5;10;1.000000;1.952011;0.139429;-365.033712;-353.253174;1.974558;0.604101;0.006963;2.488714;1.874033;0.758913
5;2;8;1.000000;1.949855;0.121866;-370.049810;-360.625379;1.884821;0.572263;0.006522;2.303592;3.363800;0.644089
5;3;9;1.000000;1.697294;0.113153;-369.579033;-358.976549;1.884821;0.606837;0.006447;2.298752;5.071672;0.407196
5;4;10;1.000000;1.477037;0.105503;-366.937105;-355.156567;1.884821;0.530452;0.006559;2.174536;2.110192;0.833697
6;2;9;1.000000;1.614323;0.107622;-370.967018;-360.364533;1.724870;0.559518;0.006132;2.284916;7.355712;0.289200
6;3;10;1.000000;1.481600;0.105829;-372.063356;-360.282818;1.724870;0.503052;0.005914;2.676092;6.988650;0.321898
7;2;10;1.000000;1.996289;0.142592;-367.625323;-355.844785;1.965719;0.601883;0.006204;2.195856;11.915982;0.103356
