n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;3;-372.03511999;-364.96679700;0.12357923;0.00684579
3;5;-373.02556045;-362.42307598;0.10312004;0.00592584
4;2;-370.51100163;-362.26462482;0.12544300;0.00707277
5;2;-370.04980998;-360.62537934;0.12186596;0.00652237
6;3;-372.06335586;-360.28281755;0.10582854;0.00591424
7;2;-367.62532324;-355.84478493;0.14259204;0.00620377
