m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;p17;p17_err;p18;p18_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err
2;4.67217915e+00;8.41753541e-04;-2.68495329e+01;1.92444910e+00;-3.31306511e+01;6.12872161e+00;4.87066496e+00;9.77611200e+01;2.89921445e+03;1.20791223e+03;-1.78686831e+04;8.32442497e+03;8.04256045e+04;3.74229887e+04;-2.02063723e+05;1.05486356e+05;2.36850596e+05;1.63182567e+05;8.91099790e+03;8.91092014e+04;-3.17093404e+05;5.07253286e+05;2.00023805e+05;1.05176980e+06;1.68138296e+05;1.09730889e+06;-1.51051532e+05;7.32045874e+05;-9.21605630e+04;4.39059111e+05;-2.26523625e+03;1.86501885e+04;2.27328744e+05;2.97994416e+05;-1.89294054e+05;2.09606585e+05;4.76374615e+04;4.75787263e+04;-9.59640929e+00;4.03593000e-01;2.31991169e+01;1.93911112e+00;;;;;;;;;;;;;;;;;;;;
3;4.67211271e+00;8.42393523e-04;-1.01209692e+01;3.34098641e+01;-3.17898811e+01;7.56471567e+01;2.13786791e+02;2.67202095e+02;-6.60433161e+02;1.62706797e+03;3.50302165e+03;5.40126172e+03;-5.58562949e+03;1.87965836e+04;-3.47904589e+01;7.49938043e+03;7.49004182e+03;1.23121218e+05;-1.56307470e+03;2.77117558e+05;-8.42223053e+03;2.65168651e+05;2.37560823e+03;1.89441526e+05;5.19605892e+03;2.04966643e+05;1.83680960e+03;1.89490264e+05;-5.27781398e+03;1.59518885e+05;-1.35360795e+03;1.35927464e+05;3.01226880e+03;7.36913179e+04;-7.69936779e+01;1.69640852e+04;-4.35508940e+02;5.52112845e+03;-6.08076860e+00;7.14921201e+00;1.31455580e+01;4.36452355e+01;-8.93424985e-01;9.36739930e+01;;;;;;;;;;;;;;;;;;
4;4.67216582e+00;8.41618638e-04;-4.06058527e+01;1.35727927e+01;7.07509614e+01;7.76900340e+01;1.33638170e+02;1.71351282e+02;-4.46187948e+02;1.78524186e+03;1.64462153e+02;9.14787772e+03;4.20881516e+03;3.71656697e+04;-9.52306793e+02;9.77721889e+04;-2.74413424e+03;1.23283766e+05;4.07816265e+02;4.44196982e+04;1.01637874e+03;2.54084159e+05;2.14768745e+03;3.27985896e+05;-9.11298461e+02;2.02333679e+05;-3.07199138e+03;1.78353651e+05;7.83582354e+02;1.14215908e+05;1.93863708e+03;1.43518913e+05;4.67820844e+02;1.59381652e+05;-1.93773048e+03;9.61717787e+04;7.10893368e+02;2.34080543e+04;-1.25730248e+01;2.91756466e+00;5.88340834e+01;2.85527254e+01;-1.37980528e+02;9.79037978e+01;1.68326634e+02;1.38854741e+02;;;;;;;;;;;;;;;;
5;4.67219433e+00;8.42841681e-04;-3.52364133e+01;1.58332364e+02;3.27589564e+01;1.29411920e+03;1.15006963e+02;1.92328772e+03;1.84893389e+02;6.96092559e+03;-2.63163763e+03;2.90545257e+04;1.38703825e+04;7.69653912e+04;-1.06864241e+04;1.50376963e+05;-2.30142772e+02;4.95304706e+04;5.56984364e+03;4.80653014e+05;7.19407899e+03;1.00736218e+06;-1.98145987e+04;1.21546566e+06;1.04309907e+04;1.14738215e+06;1.78586965e+03;5.29870042e+05;1.33343640e+03;3.82615866e+05;-7.83808108e+02;2.09059730e+05;-8.25387032e+03;5.95156840e+05;8.58904878e+03;4.71046080e+05;-2.47411417e+03;1.18102305e+05;-1.14137119e+01;3.39237395e+01;4.57033053e+01;4.10429211e+02;-8.70928809e+01;1.85741483e+03;6.87757191e+01;4.27014071e+03;1.50149947e+02;5.18159276e+03;;;;;;;;;;;;;;
6;4.67215773e+00;8.42434258e-04;-3.52780560e+01;2.72887151e+02;2.83979956e+01;2.05936769e+03;1.80372354e+02;2.51073081e+03;-2.29258584e+02;1.00780492e+04;-2.90065489e+02;2.74985289e+04;4.51728776e+03;4.85192597e+04;1.90834124e+03;2.08984294e+05;1.10671010e+00;2.89575826e+02;-1.42677071e+03;1.74731673e+05;-2.03300573e+03;3.66037819e+05;2.56008459e+03;5.45884747e+05;2.13998175e+03;7.20821753e+05;-1.09169342e+03;3.77154591e+05;-3.49587087e+03;6.54562933e+05;2.95230934e+03;5.87125553e+05;-1.38106268e+03;4.11009815e+05;1.40287932e+03;2.72175992e+05;-6.33708206e+02;7.13539767e+04;-1.14331793e+01;5.84186059e+01;4.53585752e+01;6.67948674e+02;-8.16084054e+01;2.81129108e+03;6.11524024e+01;5.85615026e+03;8.01891038e+01;6.24574364e+03;1.07374398e+02;5.94814632e+03;;;;;;;;;;;;
7;4.67213267e+00;8.41562197e-04;-3.64672254e+01;5.79791652e+01;3.56223147e+01;4.18858048e+02;1.89872247e+02;1.59174309e+03;-3.31595998e+02;3.96247085e+03;-2.56627074e+01;5.33199030e+03;3.97931362e+03;3.73462241e+04;7.08700864e+02;1.27650311e+05;-7.71091534e+02;1.55675746e+05;-1.71238538e+03;1.78863861e+05;-7.39432991e+02;1.96279024e+05;1.48139259e+03;4.79244398e+05;1.89360104e+03;4.79617139e+05;-7.50014755e+02;1.71090829e+05;-1.04201625e+03;2.97615074e+05;-1.93364776e+03;3.96989708e+05;2.22250517e+03;3.34307227e+05;3.53563584e+02;1.43586806e+05;-5.77098645e+02;3.60774834e+04;-1.16898222e+01;1.23969807e+01;4.79863288e+01;1.34287025e+02;-8.98661145e+01;6.50597875e+02;7.04093984e+01;2.35708016e+03;8.30507510e+01;5.63210822e+03;5.47606384e+01;8.25847793e+03;-3.83057881e+01;4.47847235e+03;;;;;;;;;;
8;4.67216993e+00;8.42843716e-04;-2.88407559e+01;4.62603750e+02;-1.03248434e+01;2.76576351e+03;1.35469101e+02;5.27300141e+03;2.44267079e+02;2.82289076e+04;-1.59632617e+03;7.67960844e+04;9.41272833e+03;2.78495199e+05;-2.19305411e+03;1.04976172e+06;1.41766601e+04;2.47267694e+06;1.27108122e+04;3.65695616e+06;2.43835222e+03;1.17723757e+06;-2.31758378e+04;3.67560643e+06;1.92010882e+04;2.86561982e+06;7.58808034e+02;2.80263695e+05;1.25448473e+03;5.46974061e+05;-8.54551696e+03;6.08931990e+05;-2.43730807e+03;6.74052615e+05;9.29552114e+03;7.88969597e+05;-3.60388907e+03;2.65926277e+05;-1.00507637e+01;9.90371483e+01;3.14703877e+01;9.72241718e+02;-3.96593556e+01;2.84687627e+03;1.71519507e+01;4.42532522e+03;9.25488904e+01;1.35888730e+04;2.46758725e+02;3.26853687e+04;1.46342437e+02;5.94903819e+04;6.29943731e+02;6.31357226e+04;;;;;;;;
9;4.67217379e+00;8.43038294e-04;-2.21368099e+01;1.00200249e+03;-6.34609205e+01;6.36755412e+03;2.09740631e+02;2.54854562e+04;3.62598699e+02;5.04457140e+04;-1.76364345e+03;2.01342444e+05;8.28834367e+03;7.04891395e+05;9.77516623e+03;2.27901107e+06;1.11275043e+04;5.13522353e+06;9.24166831e+03;4.09152007e+06;6.59738398e+03;1.73657455e+06;-4.30762321e+03;1.64421270e+06;-2.23835026e+03;7.81654498e+05;2.13605871e+03;6.19092202e+05;1.91926816e+03;7.69455219e+05;-1.89104811e+03;8.36558298e+05;2.69765010e+03;1.02092227e+06;-3.82194422e+03;8.40647005e+05;1.60420434e+03;2.43344390e+05;-8.61515139e+00;2.14436692e+02;1.44987862e+01;2.12918900e+03;3.49734839e+01;8.93074852e+03;-1.61639359e+02;3.16059895e+04;3.56189330e+02;6.59811732e+04;1.62840998e+02;8.69489334e+04;4.36740964e+02;2.46790253e+05;5.69448048e+02;2.45378875e+05;1.80038736e+02;1.09928769e+05;;;;;;
10;4.67214118e+00;8.41927292e-04;-3.77790761e+01;1.80554665e+02;4.54441232e+01;1.37393565e+03;1.83567281e+02;2.07091575e+03;-3.91264732e+02;4.93512826e+03;5.83203750e+01;1.48901723e+04;4.09645648e+03;3.50628353e+04;-1.09554947e+03;1.79787165e+05;-8.49589003e+02;2.38942413e+05;-1.44874774e+03;2.38341812e+05;-6.67728911e+02;1.63964397e+05;1.00762769e+03;1.76734728e+05;5.31652281e+02;1.19200079e+05;-1.09436427e+03;1.85973080e+05;-1.03274093e+03;2.23647908e+05;4.36365440e+02;1.59960247e+05;5.43954613e+02;8.89771030e+04;4.86054274e+01;1.62233701e+04;-1.93848791e+02;1.15571067e+04;-1.19705583e+01;3.86326907e+01;5.11810569e+01;4.43343730e+02;-1.02261060e+02;1.93974314e+03;9.08325804e+01;4.35574422e+03;7.64867068e+01;4.91271412e+03;-6.29342845e-01;1.52991367e+02;-2.88595035e+01;5.80171526e+03;-4.35895794e+01;9.42955696e+03;6.79363447e+01;1.21704585e+04;-9.43564049e+01;7.67053557e+03;;;;
11;4.67213402e+00;8.42553997e-04;-3.86969731e+01;3.01822971e+02;5.02472926e+01;2.24867517e+03;2.05421166e+02;3.81933540e+03;-5.37127085e+02;9.29037939e+03;3.14513394e+02;4.22494786e+04;3.79371378e+03;1.22270845e+05;-2.96879278e+03;2.38240557e+05;1.17770634e+03;2.37820969e+05;2.61050067e+03;4.58262853e+05;-4.36438092e+03;5.93072061e+05;1.36558711e+03;2.58586088e+05;-2.40929689e+03;4.48596557e+05;-1.54798718e+03;3.73466451e+05;-1.93314268e+03;5.29985154e+05;2.32749701e+03;3.99942878e+05;1.18600805e+03;2.00928254e+05;-1.73056139e+03;2.31806504e+05;4.32993832e+02;7.45231131e+04;-1.21685217e+01;6.46110844e+01;5.30479356e+01;7.32177683e+02;-1.05115628e+02;3.28069954e+03;7.37169210e+01;8.23232763e+03;1.49772181e+02;1.29571622e+04;-1.50547384e+02;1.20210321e+04;-8.12999111e+00;2.47665951e+03;1.81587251e+02;1.30446944e+04;1.08056614e-01;3.50601214e+01;-1.53529682e+02;2.39859950e+04;-1.11732488e+02;2.81741927e+04;;
