m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err
2;4.67212671e+00;8.42562636e-04;-9.66550870e+00;3.98121120e+00;-3.07797949e+01;9.33715153e+00;1.76378253e+02;1.66613327e+02;-2.61946668e+02;1.19530689e+03;7.41507493e+02;7.38892729e+03;7.15071932e+03;2.75020836e+04;-3.91406303e+04;6.58451210e+04;8.85482600e+04;1.04978379e+05;-1.12317906e+05;1.11072748e+05;8.36424140e+04;7.49338228e+04;-3.43288201e+04;2.91715680e+04;6.01762987e+03;4.98501990e+03;-5.97652079e+00;8.54345908e-01;1.26075794e+01;3.17045672e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.67220585e+00;8.42939489e-04;-1.13638996e+01;8.23983915e+00;-9.62947207e+01;3.84690585e+01;-4.79694962e+02;3.28202563e+02;7.71216170e+03;3.61076393e+03;-4.76181789e+04;2.11699170e+04;2.24610831e+05;9.58897111e+04;-6.32902641e+05;2.57766920e+05;1.11434328e+06;4.35521427e+05;-1.24967750e+06;4.72230775e+05;8.71076393e+05;3.20494337e+05;-3.44872337e+05;1.24320152e+05;5.93476155e+04;2.10777541e+04;-6.22474996e+00;1.80553785e+00;-6.66035653e+00;1.74734728e+01;6.90453283e+01;4.62935266e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67216268e+00;8.36297487e-04;-3.98724336e+01;3.73396578e+00;6.59878166e+01;2.19925639e+01;1.32001797e+02;3.96526903e+01;-3.92949869e+02;5.64285012e+01;-9.73933028e-02;7.62197347e+00;4.90163097e+03;1.96348873e+03;-2.74166811e+03;1.63284116e+04;-1.42760827e+03;4.51547802e+04;9.39811989e+02;6.64708015e+04;1.97738191e+03;5.65403701e+04;-2.12361369e+03;2.63156969e+04;6.06696596e+02;5.20503574e+03;-1.24160410e+01;7.92739508e-01;5.71993127e+01;7.45204586e+00;-1.32544207e+02;2.65809034e+01;1.62437347e+02;4.30195706e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67216475e+00;8.42090114e-04;-3.58882484e+01;5.79307348e+01;3.36157608e+01;4.61410216e+02;1.68133244e+02;6.51903080e+02;-1.75556531e+02;2.10434932e+03;-8.71954483e+02;7.86515021e+03;7.05643782e+03;1.79821360e+04;-1.16665818e+03;6.83319502e+04;-4.37235616e+03;7.24860610e+04;4.61305353e+03;4.67946722e+04;-1.74290606e+03;3.38759674e+04;1.17856474e+02;1.74329934e+04;4.95197090e+01;3.75700129e+03;-1.15610855e+01;1.24124311e+01;4.68376775e+01;1.47540992e+02;-8.66814550e+01;6.57769448e+02;5.84419447e+01;1.51228067e+03;1.38273200e+02;1.88449581e+03;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.67216959e+00;8.42529842e-04;-3.42007661e+01;7.40134170e+01;2.04565708e+01;4.95542332e+02;1.82351612e+02;5.92463736e+02;-1.42522183e+02;2.53697248e+03;-6.92324135e+02;1.18112160e+04;5.62347966e+03;6.75208851e+04;3.56873904e+03;2.15552896e+05;-4.18002107e+03;1.43402929e+05;-1.19381102e+03;1.77875376e+05;5.20132168e+03;1.46712547e+05;-3.57232630e+03;6.37593864e+04;8.27867372e+02;1.17801112e+04;-1.12003550e+01;1.58251071e+01;4.26517122e+01;1.66227637e+02;-6.99975044e+01;5.91455705e+02;3.08414118e+01;1.10242972e+03;1.39661448e+02;2.41083526e+03;9.03562119e+01;5.41092353e+03;;;;;;;;;;;;;;;;;;;;;;;;
7;4.67212714e+00;8.42108847e-04;-3.37659762e+01;1.57688594e+02;1.98273586e+01;1.19126163e+03;1.78695158e+02;1.74919326e+03;-2.27568048e+02;4.30903474e+03;-1.00353268e+02;1.23436172e+04;4.28222545e+03;5.13350262e+04;2.68280399e+03;2.16810422e+05;5.44459239e+02;1.20465905e+05;-2.78294504e+02;7.69640540e+04;5.12921982e+01;7.52584607e+03;5.45711826e+02;2.85800914e+04;-2.85648612e+02;1.14709119e+04;-1.11115800e+01;3.37375561e+01;4.23470511e+01;3.84801502e+02;-7.29140100e+01;1.63685068e+03;4.91160740e+01;3.70507996e+03;1.06487512e+02;5.27447218e+03;5.30945764e+01;5.40991698e+03;1.25720926e+02;2.57312544e+03;;;;;;;;;;;;;;;;;;;;;;
8;4.67214645e+00;8.42107775e-04;-4.37324609e+01;1.22716303e+02;9.97802053e+01;9.22798553e+02;8.63620845e+01;1.83028543e+03;-6.83063314e+02;1.34004267e+03;1.39993933e+03;9.34226317e+03;1.17712555e+03;4.91451378e+04;-1.21763676e+03;1.89178770e+05;2.28549444e+03;2.68210359e+05;3.96954044e+03;2.04245143e+05;-8.77346491e+02;7.93058782e+04;-1.13284013e+03;2.44048304e+04;5.27649075e+02;5.97316426e+03;-1.32459762e+01;2.62484437e+01;6.78364228e+01;2.98417514e+02;-1.82941893e+02;1.39179071e+03;2.80649164e+02;3.70703828e+03;-1.43614902e+02;5.88938916e+03;-5.41498055e+01;5.62945232e+03;2.18845655e+02;4.85672184e+03;4.82275341e+01;2.79260079e+03;;;;;;;;;;;;;;;;;;;;
9;4.67217385e+00;8.42325623e-04;-3.64564567e+01;2.53550035e+02;4.08627059e+01;1.94979556e+03;1.45620266e+02;2.63916308e+03;-2.45800552e+02;8.41760587e+03;-2.12769023e+02;2.81977397e+04;4.67302578e+03;6.52792345e+04;2.47949570e+03;2.68120712e+05;-3.11818896e+02;1.06184999e+05;5.66414256e+02;1.15305890e+05;5.49241361e+03;9.12519855e+05;-3.44369926e+03;3.77029897e+05;8.45622251e+02;7.67878073e+04;-1.16836803e+01;5.42800050e+01;4.89286177e+01;6.28433329e+02;-1.00496533e+02;2.71442245e+03;1.04624126e+02;6.01598312e+03;4.56688798e+01;7.36107443e+03;8.68565939e+01;9.36255151e+03;9.32102614e+01;1.08866174e+04;4.42641317e+01;1.08028065e+04;8.53320261e+01;2.45832037e+04;;;;;;;;;;;;;;;;;;
10;4.67216609e+00;8.41978939e-04;-3.65711561e+01;3.24760591e+02;3.99749350e+01;2.54436914e+03;1.59533335e+02;3.71197267e+03;-2.69641686e+02;8.78916291e+03;-2.58628164e+02;2.52436838e+04;4.94855453e+03;4.11320347e+04;1.31227291e+03;3.33995951e+05;-1.80618957e+03;3.71968725e+05;1.38608776e+03;3.32827846e+05;-1.65061007e+03;3.63547932e+05;-3.00212167e+03;3.48236989e+05;5.65258598e+02;5.35086826e+04;-1.17087861e+01;6.95150540e+01;4.88555786e+01;8.14471444e+02;-9.73588705e+01;3.58968693e+03;8.89928964e+01;8.14226999e+03;8.27229276e+01;9.76963921e+03;2.93066585e+01;2.67080221e+03;6.42751803e+01;5.17796990e+03;3.75279486e+01;6.18299009e+03;-5.85376260e+01;8.60697377e+03;-1.29678469e+02;1.35565180e+04;;;;;;;;;;;;;;;;
11;4.67216715e+00;8.42678252e-04;-3.38054721e+01;2.77573343e+02;2.00750790e+01;2.40392784e+03;1.67803581e+02;5.98048595e+03;-1.39588772e+02;6.41686371e+03;-4.94761349e+02;1.86151206e+04;5.18225450e+03;9.61179282e+04;3.59033818e+03;4.34954632e+05;2.14538951e+03;6.77946966e+05;-4.24085660e+03;7.76097738e+05;3.19259811e+03;1.03575132e+06;2.85360118e+03;7.42239716e+05;1.63211678e+03;1.73781948e+05;-1.11161785e+01;5.93900674e+01;4.22642764e+01;7.41307980e+02;-7.24547439e+01;3.71871982e+03;4.70777328e+01;1.06656681e+04;1.08195577e+02;1.96629963e+04;1.05573390e+02;2.21735815e+04;1.16247779e+02;2.22780599e+04;8.14590300e+01;3.03313493e+04;-1.26903926e+02;5.31483229e+04;9.19577351e+01;3.90633998e+04;1.68840995e+02;2.38663387e+04;;;;;;;;;;;;;;
