m;p0;p0_err;p1;p1_err;p2;p2_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err
2;4.38573320e+00;9.77648550e-04;2.21142792e+00;9.28961891e-02;-1.91872361e-01;1.25038454e-01;-5.86537090e-01;2.30609822e-02;1.69256631e-01;3.37650399e-03;;;;;;;;;;;;
3;4.38437896e+00;1.44325879e-03;3.02257197e+01;4.58397705e+01;1.44146153e+01;2.41434948e+01;5.79134815e+00;1.04420829e+01;-3.40322450e+00;5.81800062e+00;1.07189530e+00;1.74240201e+00;;;;;;;;;;
4;4.38474156e+00;1.45209996e-03;-6.30368187e+04;6.39176618e+07;-3.61620853e+04;3.66625613e+07;-1.43719213e+04;1.45716322e+07;7.41269798e+03;7.51653055e+06;-1.91339077e+03;1.94063684e+06;-1.52572060e+02;1.54511290e+05;;;;;;;;
5;4.38474045e+00;1.45209999e-03;-5.21718155e+04;8.15746330e+07;-1.71588194e+05;2.68332010e+08;-1.19142082e+04;1.86270685e+07;-2.57230318e+04;4.02303536e+07;3.08826507e+04;4.82975858e+07;-1.73097780e+04;2.70706504e+07;3.70786417e+03;5.79876868e+06;;;;;;
6;4.38473988e+00;1.45209990e-03;-5.89010419e+03;5.41301015e+06;-3.43607800e+03;3.16965365e+06;-1.34499162e+03;1.23504344e+06;7.02697892e+02;6.42393852e+05;-2.88388011e+02;2.61907842e+05;2.53916092e+02;2.31734131e+05;-2.69673580e+02;2.47497666e+05;9.74248578e+01;8.95448614e+04;;;;
7;4.38473422e+00;1.45209414e-03;-1.82179443e+03;3.09500285e+05;1.68612370e+03;2.86461418e+05;-4.16764627e+02;7.06175305e+04;8.44893699e+02;1.43416038e+05;-7.77887532e+02;1.32143292e+05;5.81742024e+02;9.89828906e+04;-3.99979669e+02;6.82159257e+04;2.02331250e+02;3.45680899e+04;-4.72787152e+01;8.08625162e+03;;
8;4.38464278e+00;1.33680695e-03;-1.09441575e+01;1.23823665e+00;6.88102850e+00;1.56690581e+00;-3.59192343e+00;2.87342263e-01;5.09085519e+00;7.28898331e-01;-4.13939264e+00;9.84948772e-01;2.59595595e+00;1.57171044e+00;-1.32694589e+00;2.17728720e+00;4.95734227e-01;1.95446167e+00;-1.00716313e-01;9.75223303e-01;5.68195447e-03;2.05663822e-01
