R_untransformed;x_transformed;y_raw;y_fit;residuals;studentized_residuals
7.05525996;7.05525996;9.62138682;9.621176916072727;0.0002099039272724923;0.035676173274893114
7.06700903;7.06700903;9.76129423;9.760704706728575;0.000589523271425918;0.5716928667193355
7.08682147;7.08682147;9.99755428;9.997296793255373;0.00025748674462633403;-0.20743355446596853
7.10665091;7.10665091;10.23554159;10.235355839744443;0.0001857502555573376;-0.3174861092220119
7.12674477;7.12674477;10.47847657;10.47746015098528;0.001016419014719716;1.2094256089213682
7.16937828;7.16937828;10.99268697;10.99229688080959;0.0003900891904091708;0.5187049705587586
7.17675242;7.17675242;11.08077123;11.081320100129233;-0.0005488701292328813;-1.0280353509548361
7.18611045;7.18611045;11.19392515;11.194221239435137;-0.0002960894351371479;-0.49683396370441796
7.16685962;7.16685962;10.96151238;10.961882246148889;-0.00036986614888867564;-0.808484075695825
7.18736434;7.18736434;11.2092881;11.209341336754733;-5.323675473256628e-05;-0.07296920658790601
7.20703227;7.20703227;11.44578211;11.44619904535648;-0.0004169353564797973;-0.5293407078258942
7.22753678;7.22753678;11.69099841;11.692323309718631;-0.00132489971863059;-1.975093441800396
7.24730282;7.24730282;11.92748433;11.928556121463771;-0.0010717914637705661;-1.410177354109653
7.26762142;7.26762142;12.16953555;12.170111461280612;-0.0005759112806114075;-0.4932885432827637
7.28747252;7.28747252;12.40430849;12.404653923542355;-0.0003454335423551669;-0.08698440883146945
7.30747002;7.30747002;12.63944982;12.63929203072621;0.0001577892737891773;0.7433903992523753
7.32850224;7.32850224;12.88357579;12.884126245626248;-0.0005504556262483362;-0.5206154931234974
7.34862089;7.34862089;13.11651981;13.116311350197066;0.00020845980293415778;0.6785501328723088
7.36921547;7.36921547;13.35163335;13.351816412032349;-0.00018306203234885743;-0.10477242698458676
7.39138715;7.39138715;13.60313139;13.602767830219818;0.00036355978018143276;0.6788503013661901
7.41287507;7.41287507;13.84437191;13.84330687095644;0.0010650390435600343;1.7641944832120446
7.43362567;7.43362567;14.07419818;14.073007371174754;0.0011908088252461368;1.8299502184159138
7.45526347;7.45526347;14.31053579;14.3097504741163;0.0007853158837001217;0.9456349285426681
7.47687568;7.47687568;14.5437667;14.54332343065471;0.000443269345291597;0.22196844761950232
7.49875498;7.49875498;14.77738791;14.77679543319391;0.0005924768060889818;0.3570256793557422
7.52221989;7.52221989;15.02398856;15.023811575418222;0.00017698458177761722;-0.4455765720516975
7.54460866;7.54460866;15.25718951;15.25622266861319;0.0009668413868091363;0.8312565791275577
7.5675202;7.5675202;15.49137616;15.490742273512296;0.0006338864877033501;0.2294044988322023
7.58997414;7.58997414;15.71762159;15.717328200800694;0.0002933891993066595;-0.34268942149050585
7.61356975;7.61356975;15.951985;15.951987845735857;-2.8457358567379742e-06;-0.8092209074846057
7.6374383;7.6374383;16.1855921;16.185799763872637;-0.00020766387263648767;-1.0772954970620303
7.6614785;7.6614785;16.41680412;16.41771537499153;-0.0009112549915322177;-2.239148447950014
7.68573118;7.68573118;16.64774224;16.648096600329154;-0.0003543603291547015;-1.0841689151528173
7.71044563;7.71044563;16.87871908;16.87922588319634;-0.0005068031963411102;-1.1937013190593746
7.7356227;7.7356227;17.11103566;17.110981127014384;5.4532985615196594e-05;-0.05327806319759846
7.761555;7.761555;17.34499919;17.345872425066773;-0.0008732350667735034;-1.460277636912895
7.76144381;7.76144381;17.34484396;17.34487341181375;-2.9451813752245926e-05;-0.006599335798020892
7.78750828;7.78750828;17.5765835;17.577173769648653;-0.0005902696486508319;-0.774004045010886
7.81378231;7.81378231;17.80648535;17.807586157505284;-0.001100807505284962;-1.4751858099513906
7.84054394;7.84054394;18.03792209;18.03851043646864;-0.0005883464686426976;-0.4374418030257437
7.86787369;7.86787369;18.27117449;18.27053680701647;0.0006376829835303965;1.82203074869535
7.89590356;7.89590356;18.50473283;18.504647793524782;8.50364752160715e-05;0.9163355611790811
7.92470814;7.92470814;18.74087642;18.741296861044248;-0.00042044104424832085;0.0972148013736927
7.95404604;7.95404604;18.97831863;18.97837621283543;-5.7582835427894e-05;0.6935319229711825
7.98404664;7.98404664;19.21677609;19.216839333617827;-6.324361782716892e-05;0.6149303797040749
8.01446677;8.01446677;19.45548579;19.45469139465422;0.0007943953457818509;2.000092339483407
8.04549735;8.04549735;19.69390104;19.693379948817892;0.0005210911821080799;1.305946009159701
8.07700848;8.07700848;19.93150366;19.93185354002344;-0.0003498800234389421;-0.42933812402945165
8.10882062;8.10882062;20.169153;20.168761355409515;0.0003916445904863508;0.5859030654347306
8.14162328;8.14162328;20.40957443;20.409156959387474;0.00041747061252550566;0.356272169998384
8.17640993;8.17640993;20.66085503;20.65994557646627;0.0009094535337297316;0.9315628868598086
8.2115207;8.2115207;20.90927767;20.908910351645318;0.0003673183546837322;-0.20790099965503878
8.24639809;8.24639809;21.15245701;21.15224023965129;0.00021677034870748457;-0.6113314830922905
8.28090705;8.28090705;21.38921847;21.389239513722714;-2.1043722714608748e-05;-1.0765459918484352
8.31867003;8.31867003;21.64419058;21.644457640490145;-0.0002670604901453544;-1.4306525194476813
8.35716802;8.35716802;21.89999583;21.90036527319171;-0.0003694431917082852;-1.3809201037202032
8.39481658;8.39481658;22.1461611;22.146604804700473;-0.0004437047004728356;-1.1238895286470816
8.43525853;8.43525853;22.40684497;22.406852227810305;-7.2578103029741214e-06;0.08145328401187592
8.43523299;8.43523299;22.40628329;22.406689232680947;-0.00040594268094551467;-0.6112697197676475
8.47496024;8.47496024;22.65763891;22.65820845909184;-0.0005695490918391499;-0.38026324635831
8.51457125;8.51457125;22.90477955;22.90508001667331;-0.0003004666733090744;0.5578213006670324
8.55303197;8.55303197;23.14101691;23.141200316837057;-0.00018340683705631022;1.1197674276021772
8.59554899;8.59554899;23.39808984;23.398299886233872;-0.0002100462338709974;1.2046750752571134
8.63510683;8.63510683;23.63408563;23.63398099600454;0.00010463399546267738;1.5538446481146106
8.67847165;8.67847165;23.8888999;23.888643682774273;0.0002562172257256634;1.196346172852701
8.72198211;8.72198211;24.140731;24.14048578387883;0.0002452161211685677;0.1584096488518677
8.76653162;8.76653162;24.39515219;24.394748168313527;0.000404021686474465;-0.74289814204733
8.80988921;8.80988921;24.6392759;24.638911469693994;0.0003644303060070797;-1.5292120862248344
8.85634674;8.85634674;24.89682019;24.89710221970745;-0.0002820297074492828;-1.71418337723472
8.90043159;8.90043159;25.1381799;25.138937040537712;-0.0007571405377113649;4.332729627139893
