complexity_level;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
5;6;0.9999983012080783;1209.814028443132;18.903344194423937;-705.4088224345462;-691.91785098225;3.5663583640290217;20.72281718112734;0.3476138541404854;0.19452216961406762;32.261955694687025;5.2721420997835404e-06
6;7;0.9999981325715661;1329.0635622980524;21.096247020604007;-696.783675846904;-681.0442091525584;4.570257210315439;21.788697757916253;0.36415504334353876;0.19561257869381088;44.76374572369632;5.214328222159102e-08
7;8;0.9999999093166397;68.3084630854824;1.1017494046045548;-906.5297357974216;-888.5417738610267;4.4963406174068545;4.993226329201406;0.08003115589944976;0.3766678507357132;40.41948247901429;1.0462058157248976e-06
8;9;0.9999998991852544;75.4769979214733;1.2373278347782508;-897.1159833409297;-876.8795261624855;2.7727138210691242;5.239076018437316;0.08442729325888543;0.36577358303374896;42.38118413499301;1.148457834936827e-06
9;10;0.9999998087609635;138.3404121516541;2.305673535860902;-850.299217277045;-827.8142648565514;2.660702583003589;7.686785463260293;0.11620160766783094;0.34483062432714695;45.72137665153288;6.783313355652991e-07
10;11;0.9999998695216592;96.50518498922229;1.635681101512242;-875.0614005128588;-850.3279528503158;2.950635696733646;5.981585783114696;0.09624396054987194;0.3477558584934543;43.4151389751692;4.191078635426615e-06
11;12;0.999999985962006;12.549010831068784;0.21636225570808248;-1029.1221819528605;-1002.1402390482682;4.332729627139893;1.32489971863059;0.03090673788315179;0.8436263928702031;7.897628057933552;0.7224437834297197
12;13;0.9999997286394068;161.279376293597;2.82946274199293;-819.8045097590934;-790.5740716124518;4.775469342974561;11.237973122728562;0.12901245341001122;0.587678596725957;52.2794530428802;5.531321619853742e-07
13;14;0.9999822497206169;10411.016730553823;185.911013045604;-525.1549500268101;-493.67601663811905;2.108730348182338;99.38936460191528;0.9956504226989704;0.6283000503225059;54.50558500470165;4.933630103183614e-07
14;15;0.9991560015709299;514758.3433994114;9359.242607262026;-252.83249359381244;-219.10506496307204;3.5690186290303725;642.3829748610608;7.1231269083221935;0.5936613695716713;51.51888704682107;3.39122507285613e-06
15;16;0.9348610774572228;40168803.486044355;743866.7312230436;53.3963897387944;89.37231361158415;3.413887905014673;5515.958953773474;63.51609252842427;0.5896332291559041;52.17075127725946;5.2928356951732775e-06
16;17;-0.6825380809539734;1021212014.4835495;19268151.216670744;283.0039402408785;321.22835935571754;3.552684942674227;28743.358435233928;319.1308171677511;0.6176597997760737;53.19059979895598;7.025839892717057e-06
17;18;-182.22106564514203;92965024908.04681;1787788940.5393617;613.3312414267659;653.8041557836544;3.706209483093635;369877.61103933107;2725.2980361671484;0.8825823103076458;55.54811061524062;5.593573739162994e-06
18;19;-7016.562997548683;3781687229413.069;74150729988.49155;870.5146911106596;913.2361007095974;3.877973502872522;2158096.5965968873;18532.169955337344;0.8186146061052118;56.201152940351115;8.2836724856437e-06
19;20;-209933.7713279331;112596736840743.44;2251934736814.8687;1110.4013515432569;1155.3712563842441;4.0740753920191874;11566459.079621485;104124.04858877108;0.8936686966204292;58.495350299427805;6.6776472937101335e-06
20;21;-4361196.879683754;2567764037893215.0;52403347712106.43;1324.7607135770713;1371.979113660108;4.291526357133537;46932446.10965078;515720.27096636605;0.7852001540326481;58.97837290425533;1.0237087076658174e-05
21;22;-1093654591.5414226;6.321045884769815e+17;1.3168845593270448e+16;1713.4780544833288;1762.9449498084148;4.480988034688119;763983816.898225;8030741.66897662;0.8192469265691725;59.75672077975919;1.3900752608435698e-05
22;23;-34729953671.55167;1.985287185126286e+19;4.2240152875027366e+17;1957.5434870163676;2009.258877583503;4.413106065055133;4427561789.066194;44039737.288117245;0.8858432173710328;61.10799239884132;1.5299152580660597e-05
23;24;-37923453383204.625;2.2626798854401283e+22;4.9188693161741917e+20;2449.2440612905484;2503.2079470997332;3.5373409093624857;138165796314.9451;1516411822.4814763;0.8032448311434325;60.7167683874894;3.0076203760081458e-05
24;25;-61759509098453.61;3.5694088183566337e+22;7.932019596348074e+20;2485.3815362479486;2541.5939172991825;4.814631178428927;189809011361.8201;1828261102.384225;0.9195892291580714;62.3154563144925;2.9878472079536874e-05
