degree;A0;A0_err;A1;A1_err;A2;A2_err;A3;A3_err;A4;A4_err;A5;A5_err;A6;A6_err
5;-6.92496043e+02;3.67866188e+01;5.26038929e+02;2.25649451e+01;-1.32500275e+02;5.54221267e+00;1.35418997e+01;6.81491704e-01;-4.47163904e-01;4.19646417e-02;-3.87332069e-03;1.03552023e-03;;
6;-4.66909866e+04;2.20839465e+02;2.26732124e+04;1.16495529e+02;-3.15211781e+03;2.17133281e+01;-1.39504896e+02;1.89853791e+00;7.59224677e+01;2.75097328e-01;-6.94401082e+00;2.49434990e-02;2.09964758e-01;7.74203012e-04
