m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err
2;5.96789477e+00;4.59116110e-05;6.59776254e+00;1.12694790e-01;1.58327575e+01;1.13845907e-01;6.27567089e+01;5.85013937e-01;7.18999810e+01;3.46234915e+00;-9.80616852e+01;4.84388989e+00;5.21958133e+01;3.14969573e+00;-1.06911181e+01;8.07939079e-01;-1.82858385e+00;1.83477605e-02;5.16549236e+00;3.57446282e-02;;;;
3;5.96785677e+00;4.57298311e-05;1.64315794e+00;1.51027833e-01;8.08291564e+00;2.66170275e-01;4.90034083e+01;5.43339432e-01;-1.56875032e+01;4.70013813e+00;-8.70217759e+01;3.14746073e+00;5.96720024e+01;1.64138406e+00;-1.40321025e+01;3.73943358e-01;-2.66165036e+00;2.54086425e-02;6.39271089e+00;3.51693194e-02;-4.42042669e+00;1.55684382e-01;;
4;5.96789881e+00;4.82199336e-05;9.28562969e+03;8.87863204e+04;2.34146781e+04;2.23727969e+05;4.36368588e+04;4.16651268e+05;1.33916100e+05;1.28011304e+06;2.93616127e+05;2.80788973e+06;-1.30818838e+05;1.25166458e+06;3.03906567e+04;2.90830728e+05;1.55297192e+03;1.48770898e+04;-6.32805417e+02;6.14065391e+03;4.64482126e+03;4.44812785e+04;1.08634919e+04;1.03821285e+05
