m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;8;0.9999995863576636;21.55767942080738;1.197648856711521;-335.86151039202167;-325.7967380878498;3.2169462093643366;3.8484701779442076;0.02017972785949329;1.208689285260993;6.731055244066212;0.2414226476191513
3;9;0.9999994351701442;23.499128088041658;1.3823016522377447;-325.7619158514752;-314.43904700928186;3.2169462093643366;4.0244233332380475;0.024196758627194725;1.247309805043498;5.724478046542927;0.333958068137927
4;10;0.9999996132707366;19.60102325749797;1.2250639535936232;-333.61070740444865;-321.0297420242338;3.2169462093643366;3.968508639436763;0.017532345137540872;1.424707991578828;6.581308502454468;0.25368656737647743
5;11;0.9999996249099536;12.274023703054628;0.8182682468703085;-332.40523489694084;-318.5661729787045;3.2169462093643366;4.622949148908262;0.012523609435367788;1.4490074769582406;4.185565143940739;0.523020318745236
