m;p0;p0_err;p1;p1_err;p2;p2_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err
2;4.38446421e+00;1.00205220e-03;1.15098823e+00;1.66145065e-01;-8.75561646e-01;1.65470989e-01;-6.95650720e-01;3.96797704e-02;1.61867536e-01;6.67048247e-03;;;;;;;;;;
3;4.38427138e+00;1.21699160e-03;2.13250750e+00;4.00629691e+00;-4.88037327e-01;1.61516373e+00;-4.73029909e-01;9.09282221e-01;4.37100989e-02;4.78563360e-01;3.24779334e-02;1.31094160e-01;;;;;;;;
4;4.38475213e+00;1.45182278e-03;2.91926780e+01;2.14528966e+02;2.24559732e+01;1.71358785e+02;5.70444106e+00;4.89452481e+01;-6.95598474e-01;8.11900545e+00;-9.58385849e-01;6.23601439e+00;5.55538823e-01;3.91511302e+00;;;;;;
5;4.38499072e+00;1.21663138e-03;-4.84281974e+00;2.20777703e+00;6.75321658e-01;2.50285152e+00;-2.05795349e+00;4.98600219e-01;1.78361080e+00;1.01201052e+00;-1.02274805e+00;7.21829955e-01;3.99559631e-01;2.85625624e-01;-8.07145962e-02;4.89630247e-02;;;;
6;4.38481563e+00;1.42805845e-03;2.38651347e+01;3.18835893e+03;-2.69815748e+01;3.06914869e+03;4.48801256e+00;7.27145709e+02;-1.07670949e+01;1.39437469e+03;8.80839886e+00;1.09450547e+03;-4.97140546e+00;6.00973703e+02;2.00556616e+00;2.35084672e+02;-4.36610004e-01;4.94640896e+01;;
7;4.38465049e+00;1.20583402e-03;-9.28043485e+00;2.00333837e-02;4.91127278e+00;1.24900112e-02;-3.07303566e+00;4.92682110e-03;3.74255507e+00;4.00163577e-02;-2.63666631e+00;1.45448424e-01;1.42268987e+00;2.73831621e-01;-6.09273617e-01;2.84827086e-01;1.80249030e-01;1.55353963e-01;-2.49692377e-02;3.47327075e-02
