m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;p17;p17_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err
2;4.67221724e+00;8.42305486e-04;-2.69505814e+01;2.14356650e+00;-2.66926182e+01;7.04595700e+00;-1.31487559e+02;1.04975979e+02;4.63277151e+03;1.37127220e+03;-3.13488959e+04;9.51087755e+03;1.48963227e+05;4.38504031e+04;-4.33497485e+05;1.31195638e+05;7.45684973e+05;2.43699116e+05;-6.54356378e+05;2.38963297e+05;-2.44852300e+03;1.35891647e+04;6.06339240e+05;2.68221234e+05;-4.98462998e+05;2.51003551e+05;-2.46581944e+04;1.14921413e+05;2.64717827e+05;2.20821003e+05;-1.55152603e+05;1.36224991e+05;2.99809040e+04;2.95209518e+04;1.55628428e+02;4.66684965e+02;-9.59459318e+00;4.46851113e-01;2.32749360e+01;2.15467072e+00;;;;;;;;;;;;;;;;;;;;;;
3;4.67211722e+00;8.42131264e-04;-9.74483262e+00;2.10526037e+01;-3.67936362e+01;4.60912801e+01;1.84218879e+02;1.41513379e+02;-3.92701816e+02;5.30280004e+02;2.09899010e+03;2.01030114e+03;8.22313000e+00;3.24823689e+03;-1.13373849e+04;2.17953975e+04;1.73374273e+04;6.37820308e+04;4.87876396e+02;4.21775835e+04;-1.75240228e+04;2.36846351e+05;3.21455222e+03;4.74952781e+05;1.08633205e+04;3.96132044e+05;2.62677385e+03;2.16666610e+05;-9.18914728e+03;3.20851497e+05;-4.14249843e+03;2.85937450e+05;9.06352281e+03;1.39588805e+05;-3.01422972e+03;2.89254385e+04;-5.99619503e+00;4.49714831e+00;1.15304621e+01;2.64556546e+01;3.13450346e+00;5.63134943e+01;;;;;;;;;;;;;;;;;;;;
4;4.67214616e+00;8.41719822e-04;-3.96819405e+01;9.88894608e+00;6.35832926e+01;5.19040628e+01;1.48765204e+02;1.49280145e+02;-4.72004519e+02;1.27479383e+03;3.91578258e+02;5.94913352e+03;3.43996488e+03;2.34751636e+04;-1.48113812e+03;4.90497458e+04;-3.88991989e+02;5.13680839e+04;-7.58589962e+02;3.19758675e+04;-1.09035658e+01;1.49304418e+03;1.98378338e+03;5.15440410e+04;-3.24026644e+02;6.82034134e+04;-8.68530827e+02;9.91104545e+04;-8.76112455e+02;7.26365020e+04;9.14580879e+02;1.01130682e+05;3.68042474e+02;7.99641942e+04;-3.31540810e+02;2.09063218e+04;-1.23778137e+01;2.12646703e+00;5.66497485e+01;1.97926684e+01;-1.29065366e+02;5.91099348e+01;1.53943978e+02;6.76801855e+01;;;;;;;;;;;;;;;;;;
5;4.67207090e+00;8.42099754e-04;-3.50966042e+01;1.32674739e+02;1.87900607e+01;4.26306156e+02;2.65131502e+02;9.91741842e+02;-5.59408215e+02;2.83275425e+03;1.18336935e+03;1.15768692e+04;-8.08821392e+02;3.02216283e+04;4.93251543e+03;7.55555771e+04;1.45651061e+03;9.76642261e+04;-4.85682158e+03;3.06991205e+05;-4.62515813e+03;5.71355204e+05;5.36761610e+03;5.71401993e+05;5.04908033e+03;2.59821392e+05;-5.61454976e+02;1.02420108e+05;-7.11033829e+03;2.36350246e+05;-1.81946632e+03;4.43369610e+05;8.10485960e+03;2.82716108e+05;-3.23503806e+03;6.48214110e+04;-1.14043705e+01;2.84029681e+01;4.36327092e+01;2.02038216e+02;-6.48973198e+01;4.48865837e+02;9.08511714e+00;4.89605463e+02;1.32812990e+02;4.69757262e+02;;;;;;;;;;;;;;;;
6;4.67214666e+00;8.41897419e-04;-3.90704676e+01;2.34575394e+02;5.59096286e+01;1.78150334e+03;1.75723569e+02;2.67575785e+03;-4.92688993e+02;7.15932103e+03;4.36367073e+02;2.89132168e+04;2.89274721e+03;4.70863029e+04;5.93046661e+02;8.27438864e+04;-2.40289597e+03;1.30018938e+05;-1.34173425e+03;1.96475858e+05;1.74898366e+03;2.72024908e+05;1.34874952e+03;2.03366981e+05;-6.52931418e+02;9.38918315e+04;-5.30668217e+02;9.96915235e+04;-4.57413995e+02;4.12900152e+04;-5.49316043e+02;1.99826939e+05;1.72169199e+03;2.02073138e+05;-7.45096826e+02;6.10179755e+04;-1.22473058e+01;5.02212414e+01;5.45222069e+01;5.76956450e+02;-1.16189945e+02;2.56146204e+03;1.15770797e+02;5.97014284e+03;5.92109677e+01;7.52043036e+03;-3.18116268e+01;3.32680018e+03;;;;;;;;;;;;;;
7;4.67217213e+00;8.42432674e-04;-3.65194951e+01;4.54063261e+02;3.85391831e+01;3.72969659e+03;1.68436093e+02;6.77134766e+03;-2.85035970e+02;9.36998932e+03;-2.20134367e+02;3.65681707e+04;4.55616485e+03;6.06365565e+04;2.35732636e+03;4.78365024e+05;-1.82695803e+03;3.77624348e+05;-1.85990127e+00;3.77788465e+02;6.57012423e+02;1.69391636e+05;4.89273860e+02;1.11779810e+05;1.59592527e+03;2.71528315e+05;-2.81216297e+03;2.93449853e+05;3.57621725e+02;1.12314816e+05;5.22997029e+02;1.34141969e+05;4.45791460e+02;8.62344202e+04;-3.58630529e+02;2.52187297e+04;-1.16976605e+01;9.71786219e+01;4.85085760e+01;1.17490896e+03;-9.43355174e+01;5.48688957e+03;7.84506605e+01;1.36053146e+04;9.58307390e+01;1.91163242e+04;2.89337775e+01;1.13192908e+04;7.81656498e+01;9.31396629e+03;;;;;;;;;;;;
8;4.67218037e+00;8.42910754e-04;-3.93449535e+01;2.65317806e+02;7.52446823e+01;2.08481394e+03;2.93618795e+01;4.90259326e+03;-2.03843956e+02;1.15372438e+04;-3.13704735e+02;5.54209943e+04;7.05980678e+03;1.91170465e+05;-2.61138118e+03;7.35467100e+05;3.76769931e+03;1.12461301e+06;1.15605388e+04;1.24770075e+06;-4.32706755e+02;1.75208176e+05;-2.84574783e+03;9.00685987e+05;-3.11320623e+03;6.83282846e+05;-2.66722103e+03;6.71641108e+05;5.42458099e+03;1.64198518e+06;8.80059753e+03;2.66836743e+06;-1.40546547e+04;1.91764211e+06;4.97737398e+03;5.02567784e+05;-1.22983868e+01;5.67863726e+01;5.85000239e+01;6.60874300e+02;-1.56055519e+02;3.07531145e+03;2.49225759e+02;8.28137058e+03;-1.01412215e+02;1.47266244e+04;4.99527100e+01;2.41643595e+04;3.13585698e+02;4.31454573e+04;2.10831462e+02;3.81080579e+04;;;;;;;;;;
9;4.67213775e+00;8.42729033e-04;-4.02367062e+01;6.04393934e+02;6.31167703e+01;1.36853190e+03;2.04913265e+02;9.87605437e+03;-7.93942697e+02;1.92379195e+04;1.39847873e+03;2.81507394e+04;1.52644503e+03;1.99779240e+05;-6.60432931e+03;6.17027391e+05;1.26737249e+04;1.60177661e+06;1.24692451e+04;2.85929342e+06;5.61800309e+03;1.73188018e+06;1.01528587e+03;2.25014575e+05;7.29509819e+02;1.98260773e+05;-3.39501947e+03;4.81249300e+05;2.30159965e+03;3.16025409e+05;1.11623555e+03;3.23813486e+05;-2.71186442e+03;2.34378519e+05;1.19452481e+03;8.23344219e+04;-1.25042789e+01;1.29353911e+02;5.73782263e+01;7.58207486e+02;-1.25067147e+02;2.38870859e+03;1.17190757e+02;1.13265450e+04;1.06915911e+02;3.01381780e+04;-2.65129344e+02;4.24568409e+04;1.43888521e+02;2.81978715e+04;5.54906264e+02;6.17186209e+04;4.86337485e+02;1.10570270e+05;;;;;;;;
10;4.67216375e+00;8.42404798e-04;-4.24569939e+01;3.54892632e+02;8.25827457e+01;2.77287966e+03;1.51016112e+02;5.14200212e+03;-6.23134314e+02;8.83572400e+03;2.03438543e+02;3.28241800e+04;5.49370314e+03;9.07408501e+04;-6.17056225e+03;3.27348949e+05;-7.11152315e+02;1.16026192e+05;8.67737113e+03;7.65236588e+05;-1.45675459e+03;2.16285493e+05;-7.37909388e+03;1.06455163e+06;-6.53970178e+03;8.90518162e+05;1.51786145e+03;2.43681515e+05;6.38817559e+03;4.61487574e+05;-2.77692531e+03;3.39570938e+05;-1.65749268e+03;2.14033453e+05;9.46856355e+02;5.85137356e+04;-1.29694304e+01;7.59458243e+01;6.29117907e+01;8.86995811e+02;-1.48105951e+02;4.08735263e+03;1.49079098e+02;1.03518527e+04;1.42837088e+02;1.59141289e+04;-3.15784902e+02;1.65627163e+04;9.99872731e+01;1.18872973e+04;3.16452444e+02;2.05056178e+04;-4.30116359e+01;1.07566391e+04;-4.07204293e+02;1.74380706e+04;;;;;;
11;4.67215206e+00;8.42719305e-04;-3.09901174e+01;1.30512958e+02;-2.70318421e+00;7.53146827e+02;2.13218007e+02;3.59700804e+03;-1.44311386e+02;6.88602293e+03;-4.85501786e+02;3.80580487e+04;5.29361634e+03;1.55698285e+05;2.17341210e+03;4.46171612e+05;2.67160099e+03;4.74689370e+05;1.19702039e+02;4.41456755e+04;-4.28295764e+03;1.10089683e+06;-5.44668087e+03;1.35256921e+06;-4.41160802e+03;1.43691628e+06;-1.52016804e+03;4.85648969e+05;2.86690463e+03;6.94038513e+05;1.34678024e+03;4.53248515e+05;-3.42469038e+03;5.48734441e+05;1.32422149e+03;1.93458763e+05;-1.05164302e+01;2.79242895e+01;3.51785165e+01;2.59609823e+02;-4.01364528e+01;1.14695442e+03;-3.13847258e+01;4.55404272e+03;2.27789075e+02;8.86421929e+03;-2.21616639e+01;5.17766402e+03;1.62154071e+02;3.21218863e+04;1.05024074e+02;4.03816290e+04;-9.77814156e+01;2.28208246e+04;-2.18456427e+02;4.57862766e+04;-2.59308371e+02;5.01677474e+04;;;;
