m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err
2;1.50239903e+01;1.34397032e-03;8.68627877e+02;8.48619428e+03;1.73903519e+02;7.07416040e+03;-8.88704233e+02;1.44201055e+04;-1.65340722e+02;3.91851284e+03;1.99577672e+03;1.32663588e+04;-4.50453165e+03;3.16501865e+04;5.88575497e+03;4.12406769e+04;-4.64731969e+03;3.23168060e+04;2.04774265e+03;1.41794232e+04;-3.86497270e+02;2.67610556e+03;5.68461049e+01;5.64781472e+02;-4.21553556e+01;8.11944151e+02;;;;;;;;
3;1.50240223e+01;1.32412463e-03;9.52566497e+02;1.19826788e+03;-3.44577045e+03;2.92054192e+04;3.53202445e+02;3.94150539e+04;6.23348547e+03;7.37391779e+04;-9.56011756e+02;2.41184146e+04;-3.73911212e+03;2.11903176e+04;6.77884203e+03;6.01996581e+04;-6.00049348e+03;6.39199692e+04;2.84355132e+03;3.43826445e+04;-5.71529536e+02;7.62826571e+03;6.24352507e+01;7.97510593e+01;-2.88555301e+02;1.86778068e+03;3.23128826e+02;4.37660092e+03;;;;;;
4;1.50240196e+01;1.34281801e-03;3.70345348e+03;1.02151666e+05;-1.23315619e+04;6.63315509e+04;-4.86413074e+03;3.36503638e+05;2.95040700e+04;1.01656814e+06;6.54079225e+03;8.49795520e+05;-1.08389338e+04;4.33854038e+05;1.29469513e+04;2.83243145e+05;-8.61895505e+03;1.41364061e+05;3.02788076e+03;4.41960735e+04;-4.20124041e+02;9.06896585e+03;2.45527110e+02;6.79889115e+03;-1.05552614e+03;2.32130756e+03;7.88272521e+02;1.89896371e+04;7.63199038e+02;6.07861055e+04;;;;
5;1.50239715e+01;1.34409817e-03;1.25230866e+03;2.43318867e+04;-2.16380885e+03;5.57476172e+04;-8.86256263e+03;1.76291943e+05;5.23031774e+03;1.21444705e+05;2.49971208e+04;6.37821778e+05;7.56282192e+02;1.37858000e+05;3.93054805e+03;8.92748041e+04;-3.10637921e+03;8.29844699e+04;1.28353394e+03;4.45569624e+04;-2.17427467e+02;1.00844286e+04;8.23829045e+01;1.61941180e+03;-2.22250563e+02;5.08364660e+03;-3.47083923e+02;1.60301856e+04;6.14530789e+02;2.37054032e+04;7.90934231e+02;1.46385511e+04;;
6;1.50240241e+01;1.34325791e-03;1.54497572e+03;3.65372547e+04;-4.59534257e+03;2.21398365e+05;-4.78601687e+03;2.83702446e+05;1.14108981e+04;4.28633057e+05;1.48588012e+04;3.05655791e+05;-6.62805150e+03;4.96852194e+05;-1.52061872e+03;4.32869621e+05;-7.55913358e+02;1.11339210e+05;2.42813912e+02;1.76237849e+04;3.10755104e-03;1.31924593e+00;1.01864725e+02;2.43178328e+03;-4.02890987e+02;1.69520316e+04;1.07560587e+02;3.31366953e+04;4.97711539e+02;2.94590714e+04;4.93357649e+02;3.41335169e+04;-4.09293390e+02;2.19768855e+04
