m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;h1;h1_err;h2;h2_err;h3;h3_err
2;4.38474077e+00;1.45209998e-03;-6.30975159e+02;3.51939712e+05;-2.98284437e+03;1.69708544e+06;-3.25015152e+03;1.85622706e+06;7.17683893e+02;4.06058671e+05;-3.52041679e+03;2.00548914e+06;3.13435529e+03;1.78446145e+06;-9.09363835e+02;5.17336731e+05;-1.44637646e+02;8.00595357e+04;-5.32944318e+02;3.05438995e+05;;
3;4.38459805e+00;1.45156699e-03;-7.51633144e+01;3.02340803e+02;9.67952769e+01;5.32489715e+02;6.19372708e+01;2.36936293e+02;-8.02817262e+01;4.69694958e+02;1.71553435e+01;5.94662617e+01;-5.92031785e+01;3.12972821e+02;2.03078749e+01;1.14633819e+02;-1.82455746e+01;6.89860604e+01;4.18559136e+01;1.97932413e+02;-2.58901235e+01;1.41904690e+02
