m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err
2;4.67231752e+00;8.38831175e-04;4.33406706e+00;5.53229805e-01;6.89133136e+00;3.19156281e+00;5.12735989e+01;1.00328630e+01;2.64311926e+02;1.04224510e+02;-3.63251716e+02;2.32035788e+02;2.19071602e+02;2.63991769e+02;-5.31733822e+01;1.55040944e+02;8.30805245e-01;3.72468716e+01;-2.93920576e+00;1.08988068e-01;7.30801075e+00;5.65469722e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.67216735e+00;8.43299874e-04;3.60007062e+03;2.90275180e+05;2.63935719e+03;2.13200882e+05;6.06184477e+03;4.84131543e+05;2.28269473e+04;1.84060634e+06;2.49102267e+05;2.00934594e+07;-3.35691259e+05;2.70633251e+07;2.01912241e+05;1.62715299e+07;-4.78147153e+04;3.85202010e+06;7.65658253e+02;6.20484721e+04;-2.36295266e+03;1.91253114e+05;5.67946773e+03;4.58502143e+05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67186626e+00;8.32291761e-04;-3.54871472e+01;1.97278321e+00;4.01554171e+01;6.31769095e+00;1.73334802e+02;1.77690664e+01;-6.11394148e+02;9.27822046e+01;1.41914192e+03;4.07161773e+02;1.90174777e+03;4.15591555e+02;-1.71727754e+03;2.98272146e+02;4.82728900e+02;8.37033298e+01;-1.14978867e+01;4.24501726e-01;4.88435536e+01;3.04391025e+00;-1.06686401e+02;7.81855212e+00;1.34278630e+02;1.37066734e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67207689e+00;8.36788144e-04;-3.17730612e+01;4.74220297e+00;3.75717788e+00;3.49942234e+01;1.92450481e+02;3.02420923e+01;-5.79262522e+00;4.30699161e+02;-1.52483548e+03;2.08203981e+03;9.72450896e+03;5.84906654e+03;-4.56083309e+03;1.98056862e+03;1.05183000e+03;3.82119029e+02;-1.06833180e+01;1.02346811e+00;3.71005987e+01;1.17588318e+01;-4.81698648e+01;5.21927491e+01;-1.73144128e+01;1.26440150e+02;2.31155100e+02;1.89126614e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.67219068e+00;8.37070023e-04;-3.52260197e+01;8.79225845e+00;3.56006790e+01;6.90588542e+01;1.09278461e+02;1.15930680e+02;-4.49213762e+00;4.86155382e+02;-1.04473611e+03;2.72655361e+03;7.28795672e+03;8.12806846e+03;6.30300923e+02;8.27836031e+03;3.10633756e+02;1.24909441e+03;-1.14165935e+01;1.88623831e+00;4.65866618e+01;2.23032878e+01;-9.71239206e+01;1.04819634e+02;1.20415844e+02;2.76443600e+02;-1.65347568e+01;4.53725522e+02;2.47226664e+02;3.45908883e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.67215501e+00;8.40957450e-04;-3.56089436e+01;1.46319369e+02;3.99433902e+01;1.11530855e+03;1.07981609e+02;1.58659403e+03;-1.71181488e+02;1.73664512e+03;1.20832449e+01;1.61038354e+03;3.78859092e+03;2.17791617e+04;5.35896756e+03;1.52266115e+05;1.29970816e+03;7.95733970e+04;-1.15028717e+01;3.12990609e+01;4.80458930e+01;3.59306109e+02;-1.06258364e+02;1.55527942e+03;1.49049404e+02;3.69997710e+03;-6.52142293e+01;5.67595912e+03;2.37345897e+02;4.39676623e+03;1.61450639e+02;9.61481436e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.67216106e+00;8.39968528e-04;-3.64145572e+01;3.08295456e+01;4.47379526e+01;2.30488994e+02;1.13673216e+02;3.70507620e+02;-2.19575661e+02;9.06572813e+02;-3.14833742e+01;4.92445467e+03;4.45052291e+03;1.98584298e+04;2.24243753e+03;5.87947470e+04;4.97129476e+03;3.94491463e+04;-1.16751023e+01;6.60407616e+00;4.97346556e+01;7.50998102e+01;-1.10608128e+02;3.30108875e+02;1.45841163e+02;8.49740565e+02;-2.70940471e+01;1.51411799e+03;1.33730559e+02;1.77755455e+03;2.20609138e+02;1.68150291e+03;5.75186384e+01;5.83202486e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.67215302e+00;8.41482775e-04;-3.67521434e+01;3.38449334e+01;4.41696966e+01;2.63376223e+02;1.43507914e+02;4.53053216e+02;-3.22319302e+02;9.22959833e+02;1.51741889e+02;8.69703797e+03;3.94566533e+03;4.17822035e+04;1.74268856e+03;1.22806251e+05;1.83782502e+03;1.42641307e+05;-1.17489686e+01;7.24021350e+00;4.99718817e+01;8.42006198e+01;-1.06029512e+02;3.78828520e+02;1.16244450e+02;9.65848978e+02;5.02240792e+01;1.67108132e+03;-1.44732872e+01;1.89287176e+03;2.72067621e+02;2.54174321e+03;-8.09301118e+01;3.94725672e+03;2.24705849e+01;4.30115664e+02;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.67207775e+00;8.41870072e-04;-3.60134660e+01;3.18086332e+02;3.70182267e+01;2.42030181e+03;1.76259307e+02;2.93238866e+03;-4.24186399e+02;1.22503626e+04;5.06453590e+02;4.70412980e+04;3.21282703e+03;1.06123004e+05;-2.37472058e+00;1.78482133e+02;2.24413577e+03;1.78065670e+05;-1.15968320e+01;6.81059450e+01;4.80780514e+01;7.84187215e+02;-9.59328749e+01;3.36897042e+03;9.12153022e+01;7.27875931e+03;7.44046655e+01;7.70183268e+03;-2.37980800e+01;5.43693230e+03;8.84729237e+01;1.28957706e+04;1.13578386e+02;2.35918231e+04;-8.14423551e+01;1.12955191e+04;2.35158741e+01;2.40754243e+03;;;;;;;;;;;;;;;;;;;;;;;;
11;4.67215205e+00;8.42233217e-04;-3.43513035e+01;2.08471223e+02;2.36540341e+01;1.60903869e+03;1.69344019e+02;2.32300799e+03;-1.67293992e+02;5.24245316e+03;-4.27531741e+02;1.36677415e+04;5.03922123e+03;6.95307497e+04;3.22978498e+03;3.27306388e+05;-3.13892385e+03;1.92343670e+05;-1.12342004e+01;4.46089680e+01;4.35319776e+01;5.16718510e+02;-7.70556587e+01;2.23453856e+03;5.68719357e+01;5.08706621e+03;9.32595818e+01;7.17723599e+03;1.01919679e+02;7.73289751e+03;4.66828069e+01;7.17252649e+03;-4.32719886e+01;5.52312328e+03;-2.86962811e+01;2.10314425e+03;-2.43774099e+00;6.70114292e+02;6.34086250e+00;3.22427286e+02;;;;;;;;;;;;;;;;;;;;;;
