m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;19;0.999999984953721;24.570725025653037;0.3510103575093291;-1252.970023973739;-1205.6859329488284;4.285747006990866;4.6193283397073515;0.036511110406527436;1.4309364208141124;12.136104371905242;0.7345586166898077
3;20;0.9999999848675555;24.643515223518396;0.35715239454374487;-1250.4618013560328;-1200.68907396139;4.285747006990866;4.645882992985406;0.03680420617434077;1.4322147793830715;11.906940208309805;0.750360631831869
4;21;0.9999999861346278;19.24967583990182;0.2830834682338503;-1256.2445452278625;-1203.9831814634877;4.285747006990866;4.746138739895045;0.03189116897292266;1.548189681498341;12.280963240853145;0.7244229122500867
5;22;0.999999986197969;19.198814107458933;0.2865494642904318;-1254.6520557620984;-1199.9020556279913;4.285747006990866;4.724486510129466;0.031911020918212074;1.5463347495757722;12.441654642018317;0.7130589475145831
6;23;0.9999999867400936;18.219709995554588;0.2760562120538574;-1256.2183593870855;-1198.9797228832463;4.285747006990866;4.6780456095394385;0.029375343064283577;1.5607651190399328;12.675762862958592;0.6963005927397978
7;24;0.9999999867749279;18.16396221392374;0.27944557252190366;-1254.452473389534;-1194.7252005159626;4.285747006990866;4.672194400697549;0.02927286892851999;1.561413947313794;12.714406600255082;0.6935134826668891
8;25;0.999999986726166;18.198038913255694;0.2843443580196202;-1252.12492672791;-1189.9090174846065;4.285747006990866;4.700509918579954;0.02951018965082053;1.5747163085184746;12.592431149207354;0.7022913926046138
9;26;0.9999999868232688;18.0304835404505;0.28619815143572225;-1250.7783873161566;-1186.073841703121;4.285747006990866;4.6698147543562385;0.029526704495809852;1.5724156309868667;12.785397863514211;0.6883792850062569
10;27;0.9999999868846606;17.99782025769785;0.29028742351125564;-1249.1940161585633;-1182.0008341757955;4.285747006990866;4.644831505366653;0.02894403243753718;1.5533328329096616;12.826718207989584;0.6853828816846423
11;28;0.9999999869111544;17.98781754074118;0.29488225476624885;-1247.3739838148108;-1177.6921654623109;4.285747006990866;4.629309181572339;0.02884254494484839;1.5477447590664084;12.905318675749735;0.6796675834346516
12;29;0.9999999864316713;18.77388597151022;0.31289809952517034;-1242.1719486802358;-1170.0014939580037;4.285747006990866;4.672421198307575;0.030860631158938112;1.530274719014323;12.602591753126367;0.7015623927834418
13;30;0.9999999857818209;20.69090311463602;0.35069327312942405;-1236.008256667272;-1161.3491655753078;4.285747006990866;4.795099591504481;0.03265718896561687;1.5460022529023445;11.631313600065916;0.7689459415258905
14;31;0.9999999863162929;19.025864332774812;0.32803214366853123;-1237.4183368257839;-1160.2706093640875;4.285747006990866;4.682423843608063;0.031571598367696296;1.5330161303004282;12.58657578559751;0.7027113136217269
