m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err
2;4.67218452e+00;8.41940418e-04;-2.62854256e+01;2.01331363e+00;-2.93033651e+01;5.82806168e+00;-1.02085835e+02;8.92522558e+01;4.24731356e+03;1.15648167e+03;-2.93782519e+04;8.25088673e+03;1.44473695e+05;4.04023912e+04;-4.43444673e+05;1.35266755e+05;8.53026503e+05;3.13001293e+05;-1.02117519e+06;5.06176700e+05;6.99866938e+05;5.71117818e+05;-1.78193042e+05;4.38402153e+05;-8.16731040e+04;2.12930076e+05;5.75109250e+04;5.26043115e+04;-1.80896522e+02;2.91532003e+02;-4.56612103e+03;2.19268336e+03;-4.94749854e+00;1.05016255e+01;-9.46132027e+00;4.22153104e-01;2.26289404e+01;2.00889965e+00;;;;;;;;;;;;;;;;;;;;;;;;
3;4.67219991e+00;8.42316517e-04;-2.87801689e+01;4.64736638e+00;-1.87693526e+01;2.21082790e+01;-4.32181178e+01;1.49806505e+02;3.66137054e+03;1.60996180e+03;-2.50801177e+04;9.90018453e+03;1.18281615e+05;4.60494523e+04;-3.37461569e+05;1.44134899e+05;5.39496144e+05;3.34866436e+05;-3.52258454e+05;5.83398526e+05;-2.49895796e+05;7.10731438e+05;5.48587617e+05;5.01328384e+05;-2.74527381e+04;6.33252333e+04;-6.78021906e+05;4.13275832e+05;7.41944914e+05;4.22597660e+05;-3.43443761e+05;1.95828134e+05;6.19345650e+04;3.64400179e+04;-9.99913074e+00;1.00591420e+00;2.72460595e+01;9.20140150e+00;-1.00606155e+01;2.23570730e+01;;;;;;;;;;;;;;;;;;;;;;
4;4.67212408e+00;8.41884418e-04;-3.93971557e+01;7.28740362e+00;6.19698833e+01;4.23744787e+01;1.43960859e+02;1.35336161e+02;-4.39060716e+02;1.37315904e+03;2.90913645e+02;7.48717966e+03;4.02416242e+03;3.16774501e+04;-2.12210340e+03;8.33384426e+04;-1.26293808e+03;1.26125775e+05;1.42746747e+03;1.05022437e+05;-6.16041455e+02;1.08616222e+05;1.12404261e+03;1.36544645e+05;-1.07617270e+03;7.54012840e+04;1.97272883e+02;2.76875216e+04;1.79191473e+02;3.77040536e+04;-1.17697927e+02;2.46849507e+04;3.50357179e+01;6.48703742e+03;-1.23172871e+01;1.56971890e+00;5.60709394e+01;1.55895047e+01;-1.27943000e+02;5.35588861e+01;1.55401079e+02;7.50660613e+01;;;;;;;;;;;;;;;;;;;;
5;4.67214145e+00;8.41749746e-04;-3.69522059e+01;9.96206113e+01;3.97057156e+01;7.79363233e+02;1.87672034e+02;1.25968936e+03;-3.74760129e+02;1.89747918e+03;5.27932398e+01;5.21591262e+03;3.83132494e+03;3.53295735e+04;1.30924753e+03;1.75030268e+05;-2.13225542e+03;2.17891148e+05;-1.96679648e+03;2.53864934e+05;2.17438696e+03;2.30817657e+05;4.11314989e+02;7.96252426e+04;1.42325290e+03;2.61967030e+05;-2.53909026e+03;2.53397983e+05;-9.77036068e+02;1.11358049e+05;2.55216557e+03;5.53511996e+04;-9.18156858e+02;1.64776844e+04;-1.17931692e+01;2.13073927e+01;4.92471419e+01;2.48745974e+02;-9.45444410e+01;1.10778841e+03;7.28179293e+01;2.54911337e+03;1.04263496e+02;3.00202433e+03;;;;;;;;;;;;;;;;;;
6;4.67216348e+00;8.42403741e-04;-3.48951829e+01;2.86301081e+02;2.61092159e+01;2.00962641e+03;1.76316655e+02;1.95061315e+03;-1.76967851e+02;1.10215490e+04;-5.82462949e+02;1.73608000e+04;5.57473589e+03;1.01141435e+05;1.62999140e+03;4.63589943e+05;-1.32667631e+03;2.62693043e+05;-1.89788228e+03;1.94949374e+05;1.29001578e+03;3.22078018e+05;2.33310585e+03;4.35070781e+05;-1.83176797e+03;4.88273678e+05;-1.38065461e+03;4.36340853e+05;2.05253293e+03;2.57612814e+05;-8.29960623e+02;1.22037105e+05;1.12439467e+02;2.80925038e+04;-1.13497734e+01;6.12695284e+01;4.44750109e+01;6.66741284e+02;-7.81504030e+01;2.53450942e+03;5.04296973e+01;4.55413896e+03;1.10888501e+02;5.59911698e+03;8.71230338e+01;1.29116131e+04;;;;;;;;;;;;;;;;
7;4.67210075e+00;8.41520801e-04;-3.75612229e+01;2.12487950e+02;4.30081747e+01;1.37942308e+03;1.94214474e+02;1.72686838e+03;-4.14010488e+02;8.85518104e+03;1.49080777e+02;1.54936865e+04;3.85331991e+03;3.46189550e+04;-1.23547736e+03;1.50529917e+05;-2.61528053e+03;2.53752263e+05;-1.56672763e+03;1.30099604e+05;-1.02669814e+03;1.12020815e+05;3.01103586e+03;1.72519182e+05;2.33739562e+03;2.49151823e+05;-4.28007343e+03;2.10333795e+05;-9.08872519e+02;9.50708768e+04;3.09933147e+03;1.37272473e+05;-1.08800572e+03;5.48534962e+04;-1.19263202e+01;4.54832458e+01;5.05723487e+01;4.70886295e+02;-9.90593406e+01;1.71834530e+03;8.52455302e+01;3.29728806e+03;7.14483339e+01;4.54118561e+03;3.21714075e+01;5.89795011e+03;-1.48572146e+02;5.97036437e+03;;;;;;;;;;;;;;
8;4.67206148e+00;8.41719418e-04;-3.78625826e+01;2.47165013e+02;4.70505857e+01;2.02126660e+03;1.92950682e+02;4.04599055e+03;-5.61952650e+02;5.33227060e+03;9.35593439e+02;3.88229025e+04;1.75459027e+03;9.68935145e+04;3.73886300e+02;8.13654588e+04;8.98670582e+00;1.35178833e+03;2.39703616e+02;3.90475514e+04;7.67531253e+02;1.52379634e+05;1.26069141e+03;1.38949573e+05;-5.23509106e+02;1.10280566e+05;-8.77996268e+02;1.15652221e+05;5.49401655e+02;5.34531360e+04;-1.17720859e+02;2.31677031e+04;4.98972588e+01;1.06215437e+04;-1.19947012e+01;5.29103122e+01;5.18677359e+01;6.38795315e+02;-1.06902811e+02;3.09567461e+03;1.04476512e+02;8.25559619e+03;5.99655457e+01;1.30434874e+04;-4.08564021e+01;9.41737361e+03;5.13929054e+00;1.60384605e+03;9.90463274e+01;4.92934220e+03;;;;;;;;;;;;
9;4.67196938e+00;8.42248355e-04;-4.27532539e+01;8.33652064e+01;8.34174881e+01;1.10706020e+02;1.68452934e+02;1.16069559e+03;-7.94950734e+02;1.97326684e+03;1.42271024e+03;7.51347328e+03;5.64562421e+02;2.36786361e+04;-8.82276198e+02;8.29629330e+04;-5.65008392e+01;9.12634242e+03;1.29511147e+03;2.48509553e+05;1.89626761e+03;3.63020867e+05;1.71198811e+03;1.97062011e+05;4.26384279e+02;8.77865860e+04;-3.05852117e+03;2.42375881e+05;-1.67318727e+03;3.19419089e+05;4.37083633e+03;2.30271594e+05;-1.67068477e+03;6.24186415e+04;-1.30412852e+01;1.78601523e+01;6.36968340e+01;9.17886424e+01;-1.52754053e+02;1.43801956e+02;1.80367566e+02;6.64227323e+02;1.34995596e+01;2.17564643e+03;-1.54307906e+02;7.03204411e+03;4.24099212e+01;9.86618152e+03;1.57631572e+02;7.88198991e+03;1.12920298e+01;2.76806113e+03;;;;;;;;;;
10;4.67215277e+00;8.42637848e-04;-3.49698841e+01;4.12539600e+02;2.64886293e+01;3.06296287e+03;1.82990002e+02;3.88803987e+03;-2.42161730e+02;1.34929790e+04;-2.62218266e+02;3.35543156e+04;4.54151313e+03;8.58458011e+04;2.65870501e+03;4.54752653e+05;-1.50444472e+03;3.20701237e+05;-1.06220861e+03;3.61611706e+05;-3.35701603e+02;9.97489245e+04;-5.49720565e+02;2.18162598e+05;6.09267965e+02;1.57890562e+05;-2.99088600e+02;1.37076791e+05;-8.52414155e+02;2.19037374e+05;9.47218625e+02;1.51961056e+05;-2.68792389e+02;3.91947407e+04;-1.13673699e+01;8.82993329e+01;4.46973535e+01;9.97614091e+02;-7.88319165e+01;4.15703359e+03;5.08782442e+01;8.82990129e+03;1.10869216e+02;1.02590608e+04;7.39336555e+01;1.08612457e+04;-1.30071772e+01;5.56962045e+03;1.19142779e+02;1.22560618e+04;-1.59088700e+02;1.26316254e+04;3.35662014e+00;7.33162105e+02;;;;;;;;
11;4.67215245e+00;8.42464101e-04;-3.58474484e+01;3.24346645e+02;3.43172635e+01;2.27714910e+03;1.70677319e+02;2.34816459e+03;-2.97115555e+02;1.17164616e+04;-7.17171017e+00;1.83383772e+03;3.97210572e+03;1.00224242e+05;2.23309918e+03;4.87973187e+05;6.12530604e+02;2.59910682e+05;1.97970489e+03;8.08046310e+05;-2.11424727e+03;9.38339665e+05;2.43454508e+03;6.68369824e+05;1.15601565e+03;5.28984863e+05;-4.58968928e+03;4.48582977e+05;1.19736710e+03;3.24466089e+05;1.21736067e+03;2.61960313e+05;-5.65165202e+02;7.12324031e+04;-1.15557464e+01;6.93929121e+01;4.71329158e+01;7.54680804e+02;-9.05394519e+01;2.89177676e+03;7.85684483e+01;5.58398485e+03;7.87074565e+01;9.09938313e+03;4.70892839e+01;1.76150499e+04;1.00112213e+02;1.72373586e+04;5.38142472e+01;1.58871452e+04;3.38149404e+01;1.06837192e+04;2.34897723e+01;9.39259079e+03;-6.71356957e+01;1.67202840e+04;;;;;;
