n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;22;-1212.38148750;-1150.73378454;0.56536987;0.03783704
3;21;-1216.65304099;-1155.00533802;0.32898141;0.03316154
4;16;-1229.88485215;-1178.10078166;0.27577968;0.02888317
5;11;-1238.39726694;-1196.47682893;0.25519184;0.02903446
6;16;-1228.87537036;-1172.15948363;0.27108491;0.02754282
7;15;-1228.79641620;-1172.08052947;0.27111937;0.02753213
8;19;-1218.89436682;-1149.84893950;0.29459005;0.02747846
9;10;-1235.05974714;-1185.74158476;0.25921122;0.02748985
10;20;-1212.53127156;-1136.08811988;0.31109608;0.02749796
11;12;-1226.77920195;-1167.59740710;0.27525804;0.02754263
12;15;-1219.02881267;-1149.98338535;0.29406066;0.02749447
13;6;-1234.81783041;-1185.49966804;0.25891748;0.02754610
14;13;-1218.73742852;-1149.69200120;0.29384899;0.02736052
15;13;-1216.72371644;-1145.21238100;0.29894787;0.02752353
16;6;-1228.70496061;-1171.98907388;0.27102137;0.02755185
17;10;-1218.80369416;-1149.75826684;0.29295601;0.02744087
18;4;-1228.78852717;-1172.07264044;0.27051619;0.02761934
19;5;-1224.95398619;-1163.30628323;0.28024893;0.02767959
20;10;-1212.68384417;-1136.24069249;0.31161629;0.02760900
21;7;-1216.80806513;-1145.29672969;0.29906027;0.02764907
22;4;-1220.61438353;-1154.03486433;0.28838296;0.02776586
23;4;-1218.76823333;-1149.72280600;0.29435271;0.02763039
24;5;-1214.97752890;-1141.00028534;0.30647654;0.02768616
25;4;-1214.85432952;-1140.87708596;0.30425621;0.02756422
26;2;-1215.79981036;-1144.28847491;0.29938849;0.02883796
27;2;-1213.48619753;-1139.50895397;0.30589997;0.02901483
28;2;-1212.43279310;-1135.98964142;0.30440768;0.02820553
