n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;0.999941;162575.342093;1982.626123;-533.109790;-520.780249;6.391356;115.334923;3.377658;0.151086;22.041612;0.000016
2;3;6;0.999994;17393.324683;214.732403;-726.058226;-711.262777;6.391356;40.687583;1.075448;0.213643;20.934730;0.000028
2;4;7;0.999999;3766.194763;47.077435;-857.491036;-840.229679;6.391356;20.530817;0.490974;0.274914;19.978639;0.000046
2;5;8;1.000000;1315.515496;16.652095;-949.316648;-929.589383;6.391356;13.805177;0.282186;0.368730;23.733040;0.000007
2;6;9;1.000000;766.934055;9.832488;-997.801894;-975.608721;6.391356;12.386267;0.195089;0.477149;26.356726;0.000002
2;7;10;1.000000;443.455342;5.759160;-1048.211240;-1023.552159;6.391356;10.691995;0.132937;0.662751;25.564008;0.000003
2;8;11;1.000000;45.656223;0.600740;-1213.493419;-1186.368430;6.391356;3.379849;0.050846;0.962137;9.701948;0.007821
2;9;12;1.000000;37.698309;0.502644;-1231.719112;-1202.128214;6.391356;3.172714;0.040357;1.063064;7.927680;0.018990
2;10;13;1.000000;36.149347;0.488505;-1233.846944;-1201.790138;6.391356;3.163328;0.039300;1.107162;6.981518;0.030478
2;11;14;1.000000;34.618409;0.474225;-1234.361992;-1199.839278;6.391356;3.206784;0.038553;1.133908;6.380235;0.041167
2;12;15;1.000000;35.374436;0.491312;-1230.914723;-1193.926102;6.391356;3.188929;0.038788;1.116492;6.892162;0.031870
2;13;16;1.000000;35.502697;0.500038;-1228.818560;-1189.364030;6.391356;3.171501;0.039412;1.116018;6.694109;0.035188
2;14;17;1.000000;36.028560;0.514694;-1225.958158;-1184.037720;6.391356;3.153077;0.039829;1.106373;6.866218;0.032286
2;15;18;1.000000;36.232184;0.525104;-1223.660440;-1179.274094;6.391356;3.146529;0.040016;1.103185;6.945533;0.031031
2;16;19;1.000000;35.343047;0.519751;-1223.222314;-1176.370060;6.391356;3.172216;0.038789;1.121703;6.839537;0.032720
2;17;20;1.000000;35.333869;0.527371;-1221.217867;-1171.899704;6.391356;3.164059;0.039150;1.127192;6.673305;0.035556
2;18;21;1.000000;35.455414;0.537203;-1219.001993;-1167.217923;6.391356;3.158669;0.039276;1.125405;6.692941;0.035208
2;19;22;1.000000;35.929339;0.552759;-1216.261394;-1162.011416;6.391356;3.135719;0.039781;1.119915;6.739736;0.034394
2;20;23;1.000000;35.795878;0.559311;-1214.446597;-1157.730710;6.391356;3.143688;0.039676;1.121351;6.722824;0.034686
2;21;24;1.000000;35.424469;0.562293;-1213.332725;-1154.150930;6.391356;3.150707;0.038903;1.125477;6.793929;0.033475
2;22;25;1.000000;35.052932;0.565370;-1212.381488;-1150.733785;6.391356;3.152110;0.037837;1.131391;6.791177;0.033521
2;23;26;1.000000;35.159660;0.576388;-1210.239178;-1146.125567;6.391356;3.143236;0.037957;1.130215;6.828388;0.032903
2;24;27;1.000000;35.258013;0.587634;-1208.049261;-1141.469742;6.391356;3.138055;0.038147;1.128422;6.846292;0.032610
2;25;28;1.000000;46.514593;0.788383;-1193.390311;-1124.344884;6.391356;2.731847;0.047962;1.110152;4.951826;0.084086
2;26;29;1.000000;42.526388;0.733214;-1197.873625;-1126.362290;6.391356;2.810484;0.044135;1.126999;5.231194;0.073124
2;27;30;1.000000;40.499277;0.710514;-1200.070285;-1126.093041;6.391356;2.797110;0.040724;1.123606;6.883696;0.032005
2;28;31;1.000000;36.716291;0.655648;-1200.400642;-1123.957490;6.391356;3.019799;0.039604;1.153032;5.866652;0.053220
3;2;6;0.999997;7012.761492;86.577302;-803.452293;-788.656845;4.878363;26.491236;0.690925;0.174446;18.633034;0.000326
3;3;7;1.000000;292.653618;3.658170;-1087.371714;-1070.110357;4.878363;4.614654;0.127888;0.488621;43.327382;0.000000
3;4;8;1.000000;165.735524;2.097918;-1129.160282;-1109.433017;4.878363;3.335792;0.099920;0.494263;13.833254;0.003141
3;5;9;1.000000;61.462889;0.787986;-1207.779136;-1185.585963;4.878363;2.711409;0.058763;0.824313;11.068950;0.011359
3;6;10;1.000000;39.693731;0.515503;-1237.668161;-1213.009080;4.878363;2.928425;0.040094;1.071964;11.249455;0.010451
3;7;11;1.000000;36.301037;0.477645;-1237.741652;-1210.616663;4.878363;3.153262;0.038630;1.098015;10.613287;0.014012
3;8;12;1.000000;36.288617;0.483848;-1236.058582;-1206.467684;4.878363;3.145645;0.038549;1.101865;10.585547;0.014192
3;9;13;1.000000;33.095551;0.447237;-1237.545970;-1205.489165;4.878363;3.300192;0.037829;1.174718;9.000407;0.029285
3;10;14;1.000000;33.061003;0.452890;-1235.434858;-1200.912144;4.878363;3.308571;0.038185;1.176526;8.868605;0.031090
3;11;15;1.000000;31.989586;0.444300;-1234.976782;-1197.988161;4.878363;3.379629;0.037094;1.183787;8.373058;0.038899
3;12;16;1.000000;32.249435;0.454217;-1233.262582;-1193.808052;4.878363;3.353107;0.037255;1.184243;8.393373;0.038544
3;13;17;1.000000;31.653323;0.452190;-1230.292407;-1188.371969;4.878363;3.444201;0.037432;1.186704;7.991311;0.046192
3;14;18;1.000000;28.937632;0.419386;-1226.961877;-1182.575531;4.878363;3.884034;0.037363;1.224980;5.451595;0.141563
3;15;19;1.000000;27.039498;0.397640;-1218.364928;-1171.512674;4.878363;4.580622;0.039762;1.326872;2.902386;0.406922
3;16;20;1.000000;26.865640;0.400980;-1220.937424;-1171.619261;4.878363;4.280269;0.038111;1.282212;3.769209;0.287488
3;17;21;1.000000;20.583594;0.311873;-1223.124975;-1171.340905;4.878363;4.771018;0.034431;1.481445;2.376681;0.497990
3;18;22;1.000000;21.699785;0.333843;-1220.086992;-1165.837013;4.878363;4.787825;0.035048;1.478502;2.348427;0.503307
