PARAMETER,VALUE,UNIT,COMMENT
Function_Type,Rational Function,-,Model type
X_Transformation,x = R (Raw Resistance),-,Representation
,,,
--- LIMITS ---,-,-,-
T_LIMIT_LOW,4.6722,K,Min temperature
T_LIMIT_HIGH,25.1382,K,Max temperature
R_MIN,6.558656200000e+00,Ohm,Min resistance
R_MAX,8.900431600000e+00,Ohm,Max resistance
--- DIAGNOSTICS ---,-,-,-
MODEL_STRUCTURE,n=6 m=7,-,Rational order
TRANS_METHOD,x = (R-Rmin)/(Rmax-Rmin),-,Scaling formula
REDUCED_CHI_SQUARED,0.2392,-,-
AIC,-1246.3854,-,-
BIC,-1211.8627,-,-
--- MODEL ---,-,-,-
N_0,+4.672173836331e+00,8.402960e-04,Numerator
N_1,-3.591940492473e+01,4.230082e+00,Numerator
N_2,+4.070393891086e+01,2.864731e+01,Numerator
N_3,+1.047662948038e+02,2.334644e+01,Numerator
N_4,-3.206825018691e+01,4.844807e+02,Numerator
N_5,-9.544077861298e+02,2.129461e+03,Numerator
N_6,+7.187786658277e+03,5.643214e+03,Numerator
M_1,-1.156585743584e+01,9.139417e-01,Denominator
M_2,+4.828767806931e+01,1.001889e+01,Denominator
M_3,-1.043465365537e+02,4.092949e+01,Denominator
M_4,+1.372483798527e+02,8.923868e+01,Denominator
M_5,-4.070960915910e+01,1.137840e+02,Denominator
M_6,+2.590369020334e+02,1.166308e+02,Denominator
M_7,-3.772002500128e+01,1.065968e+01,Denominator
