m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;p17;p17_err;p18;p18_err;p19;p19_err;p20;p20_err;p21;p21_err;p22;p22_err;p23;p23_err;p24;p24_err;p25;p25_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err
2;4.67216381e+00;8.42271754e-04;-2.63814758e+01;1.74120104e+00;-3.68305859e+01;6.59958242e+00;6.65805606e+01;1.06408370e+02;2.08830418e+03;1.29881027e+03;-1.22053910e+04;8.80583712e+03;5.54987283e+04;3.89851602e+04;-1.36340886e+05;1.12046701e+05;1.52350314e+05;2.13964003e+05;-1.34553815e+04;3.16994330e+05;-9.16020033e+04;3.87741461e+05;-1.65034620e+04;3.17488516e+05;6.56190967e+04;8.51364590e+05;6.13263351e+04;1.04452699e+06;-2.03299225e+04;4.18565162e+05;-7.94909203e+04;8.28765385e+05;-3.02913740e+04;8.10918551e+05;4.90573894e+04;1.03373791e+06;3.35513147e+04;7.28975267e+05;6.31990641e+03;2.07028968e+05;1.99392295e+04;6.86273163e+05;-7.49200939e+04;6.66911733e+05;2.02509496e+04;4.32672850e+05;-1.64387049e+04;3.71328367e+05;4.71466277e+04;2.78710905e+05;-2.12204699e+04;7.95299178e+04;-9.50865142e+00;3.62341987e-01;2.27351746e+01;1.74822190e+00;;;;;;
3;4.67210728e+00;8.42837698e-04;-9.59788635e+00;2.44581869e+02;-3.97624770e+01;5.87606761e+02;1.97008722e+02;1.92396898e+03;-5.50685684e+02;1.16832885e+04;3.15704962e+03;4.02552161e+04;-3.97271563e+03;2.09037068e+05;-1.76386161e+03;4.07176245e+05;5.35651405e+03;4.96664363e+05;1.47600791e+03;5.69383048e+05;-3.34853039e+03;7.55203921e+05;-3.29106586e+03;9.36467212e+05;-6.36775495e+02;2.57795465e+05;4.00508345e+03;8.01925875e+05;2.81393900e+03;7.36731184e+05;-2.62910182e+01;8.44516941e+03;-2.35768618e+03;5.77202824e+05;-2.43782591e+03;7.01822872e+05;-1.35982328e+03;5.44090666e+05;1.55682190e+03;5.71036040e+05;1.82571135e+03;3.54929349e+05;1.75160766e+03;3.17201703e+05;-7.68928792e+02;2.91310051e+05;-1.42090230e+03;3.25023079e+05;-9.12113367e+02;2.52012707e+05;1.01376798e+03;1.05392456e+05;-5.96854219e+00;5.23524352e+01;1.09701298e+01;3.30761079e+02;4.40559435e+00;6.87909581e+02;;;;
4;4.67216500e+00;8.42567940e-04;-4.14400678e+01;2.68348852e+01;7.65042403e+01;1.66867012e+02;1.38030723e+02;2.46153728e+02;-5.48726780e+02;2.88430011e+03;5.45964860e+02;1.29784885e+04;2.79274899e+03;5.36707356e+04;1.78071792e+03;1.76351204e+05;-2.59038418e+03;4.73051134e+05;-6.20416995e+03;8.82168324e+05;6.57694118e+03;9.09446792e+05;4.51760185e+03;7.17086134e+05;-2.41361093e+03;5.35297936e+05;-5.49165514e+03;7.42141612e+05;1.50069546e+03;2.58974992e+05;-6.65975676e+03;2.21799497e+06;1.22765084e+04;1.95578230e+06;2.06082792e+03;9.39643531e+05;-2.58581884e+03;1.12859771e+06;-6.15748478e+03;1.35232570e+06;-2.82560359e+03;1.26825096e+06;-1.04580623e+03;5.07989593e+05;1.05994808e+04;1.61058832e+06;4.00700166e+03;2.07700099e+06;-1.35011526e+04;1.23594763e+06;5.19021415e+03;2.91277432e+05;-1.27523578e+01;5.76527177e+00;6.08060866e+01;5.89949853e+01;-1.44790983e+02;2.03893561e+02;1.75389111e+02;2.60408408e+02;;
5;4.67219809e+00;8.42362706e-04;-4.55519686e+01;1.05328768e+02;1.10218292e+02;8.51505092e+02;7.45752613e+01;1.49028837e+03;-5.34614696e+02;3.02053025e+03;1.38792206e+02;1.24728906e+04;5.08710201e+03;4.70796822e+04;-3.25814794e+03;1.72305170e+05;-2.62169584e+03;2.09350306e+05;9.70192865e+02;1.70777868e+05;5.06635311e+01;1.03601693e+04;3.32780349e+03;1.60213599e+05;5.21961126e+02;7.96998898e+04;-2.51290471e+03;2.52155314e+05;-2.12272619e+03;3.30820825e+05;-1.14513090e+03;2.85717804e+05;1.89244969e+03;3.88137894e+05;9.07734766e+02;4.34454515e+05;2.63297796e+03;7.10849087e+05;1.23599148e+03;6.48413952e+05;-2.00433805e+03;1.02168576e+06;-4.16500092e+03;8.91150267e+05;-7.93077486e+02;4.08277849e+05;1.79758514e+03;1.15692228e+06;4.33745397e+03;1.22502317e+06;-2.83720662e+03;3.94103060e+05;-1.36279868e+01;2.25433380e+01;7.12257171e+01;2.69560317e+02;-1.90889258e+02;1.23801466e+03;2.74714235e+02;2.91185834e+03;-1.00662151e+02;3.31192502e+03
