n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;2;-312.02150987;-307.04284851;0.08922629;0.00531974
3;4;-310.40837352;-302.44251533;0.09271185;0.00481513
4;2;-312.30923163;-305.33910572;0.08779451;0.00468275
5;2;-310.36409152;-302.39823333;0.09238396;0.00483484
6;2;-308.18223093;-299.22064047;0.10034003;0.00488043
