m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;h1;h1_err;h2;h2_err;h3;h3_err
2;1.54825333e+01;5.09100998e-05;3.99872473e+01;3.53734457e+00;3.26301539e+01;3.81774154e+00;3.96358742e+00;2.57452185e-01;-1.14978663e-01;9.83440183e-02;1.80279597e+00;2.28569346e-01;9.41609810e-01;6.80149869e-02;;
3;1.54825736e+01;5.38203014e-05;1.80086341e+02;5.26822617e+02;3.96506427e+02;1.43925331e+03;2.90961616e+02;1.17686466e+03;2.93609605e+01;1.19173389e+02;1.08519812e+01;3.40272719e+01;1.73802848e+01;6.64196230e+01;7.92309881e+00;3.23972492e+01
