m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err
2;6.22511680e+00;8.48939100e-05;8.67799133e+00;5.85518836e-02;1.91287753e+01;1.37635298e-01;6.95164053e+01;5.42115787e-01;2.07973033e+01;9.30949134e-01;-2.95693340e+01;7.34440561e-01;9.23651329e+00;2.19080094e-01;-1.46184078e+00;9.13700752e-03;4.69750058e+00;7.52028011e-03;;;;;;
3;6.22532776e+00;8.78320200e-05;1.57565838e+01;1.15862093e+00;3.12240323e+01;2.01049210e+00;9.31520437e+01;4.14942179e+00;1.73115916e+02;2.30421915e+01;-7.69854987e+01;6.88240467e+00;1.79930802e+01;1.23718691e+00;-3.18729726e-01;1.86790682e-01;3.21651661e+00;2.30655968e-01;6.70973608e+00;1.04740532e+00;;;;
4;6.22523591e+00;8.74386615e-05;7.94131358e-01;1.70391443e+00;1.66019934e+01;1.69686584e+00;5.86027738e+01;3.88966719e+00;-3.13034175e+01;2.37966442e+01;1.32869310e+02;2.58623174e+01;-1.39445017e+01;3.92614780e+00;-2.72682351e+00;2.74260989e-01;7.88156349e+00;5.52881745e-01;-7.59168576e+00;1.64572007e+00;8.35353753e+00;1.11101042e+00;;
5;6.22531386e+00;8.87896541e-05;2.08367122e+03;1.60890502e+04;2.41359467e+03;1.84887817e+04;7.54781759e+03;5.78650201e+04;2.46533905e+04;1.90336489e+05;1.66749109e+04;1.28843094e+05;1.33861730e+04;1.03849888e+05;3.31883915e+02;2.58465431e+03;-5.62428716e+02;4.40906564e+03;1.95487052e+03;1.51627133e+04;-5.02584801e+02;3.95917414e+03;1.49614714e+03;1.16028568e+04
