m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err
2;1.50242742e+01;1.30899228e-03;6.33649921e+02;1.33767404e+05;-9.24368154e+01;1.21858811e+04;-9.14986761e+02;1.91935275e+05;3.65825345e+02;7.60041339e+04;-1.17337796e+01;1.46306242e+03;-1.66047445e+02;3.51385639e+04;1.25948970e+02;2.62215274e+04;-3.21087601e+01;6.61763666e+03;4.12153607e+01;8.90340318e+03;-4.52730337e+01;9.35439067e+03;;;;;;;;;;;;
3;1.50239502e+01;1.34404352e-03;2.94096510e+02;5.30514473e+03;8.83578735e+03;4.41903105e+04;-6.07875705e+03;2.57353315e+04;-1.79153118e+04;7.99344505e+04;9.16700926e+03;4.18594704e+04;-4.74032922e+03;2.24195808e+04;1.64918079e+03;8.22660274e+03;-2.78471148e+02;1.48883288e+03;1.86054860e+01;3.53065831e+02;5.71100471e+02;2.68645174e+03;-9.50785676e+02;4.18835210e+03;;;;;;;;;;
4;1.50237714e+01;1.33115683e-03;-3.72908649e+03;1.24996050e+05;1.61826619e+04;3.46450134e+05;-2.44982235e+02;6.15119257e+04;-2.73421850e+04;4.97015785e+05;1.58234150e+04;4.93713446e+05;-6.15880912e+03;2.01990366e+05;1.36724319e+03;6.01142080e+04;-8.50189533e+01;8.64235840e+03;-2.49174233e+02;8.31990785e+03;1.31714985e+03;3.10586268e+04;-1.39414487e+03;3.13653428e+04;1.59214766e+02;1.27069077e+04;;;;;;;;
5;1.50244110e+01;1.11111011e-03;-4.47403513e+01;6.05456266e+01;-3.61838645e+01;1.02006504e+03;1.01803996e+02;2.45335876e+03;5.27031260e+01;2.43992807e+03;5.31606866e+01;3.84368593e+03;7.44128866e+01;3.02023694e+03;-2.63472296e+01;9.11132518e+02;5.41770333e+00;1.66566445e+02;-3.93698985e+00;4.02866445e+00;1.79005584e+00;6.42413642e+01;3.29626790e+00;2.21261152e+02;1.33824937e+00;1.12011730e+02;4.27952887e+00;1.90000904e+02;;;;;;
6;1.50239833e+01;1.34385677e-03;7.80365452e+02;1.83336573e+04;1.15320617e+03;8.22352453e+04;3.06043644e+03;7.22325266e+05;-6.55205233e+03;6.32135601e+05;-3.60301783e+03;7.05109799e+05;4.21398891e+03;4.30180459e+05;-3.13458893e+03;2.78001319e+05;4.55404365e+02;3.43923516e+04;5.09716074e+01;1.22020433e+03;2.86457146e+01;5.01074037e+03;1.92969960e+02;4.52094749e+04;-5.86412679e+02;4.33306914e+03;3.07054824e+02;2.28484835e+04;-1.37885139e+02;2.97433246e+04;;;;
7;1.50239998e+01;1.34414928e-03;-3.40189875e+03;1.18826423e+05;9.85207274e+03;2.53824056e+05;-2.57086002e+04;1.35511346e+06;9.94546985e+04;3.97908907e+06;1.49333850e+05;3.50916246e+06;-2.11720718e+05;9.79769606e+06;-1.91249643e+05;6.60764461e+06;-2.84234760e+04;9.90847229e+05;-2.27376740e+02;7.90834557e+03;8.73888955e+02;2.39259995e+04;-2.64101983e+03;7.33538380e+04;9.52813121e+03;3.19543059e+05;-4.08500793e+02;2.69193664e+05;-9.09105385e+03;2.58524793e+05;-6.06460443e+03;2.34277387e+05;;
8;1.50240078e+01;1.34419160e-03;-3.34387035e+03;4.88973829e+04;3.08374186e+04;4.11542290e+05;4.69897671e+03;1.01769201e+06;-3.62954863e+03;2.17738933e+06;7.55382278e+02;5.77455193e+05;6.57342971e+04;5.58759586e+06;-7.94802973e+04;5.25681392e+06;-1.11453419e+05;1.89646248e+06;-2.23513465e+02;3.25429607e+03;2.26675213e+03;3.04625164e+04;-1.94452776e+03;5.26637053e+04;2.49004888e+03;1.62750018e+05;-2.74541645e+03;1.94574882e+05;5.97344124e+03;1.20084530e+05;-8.17991176e+03;2.26186147e+05;-1.45143020e+03;2.20594309e+04
