m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;8;0.9999999901125307;3.3661473300159073;0.09617563800045449;-681.9244499072721;-667.8348489817236;2.828682619338628;0.7149676051199094;0.008971013110494752;2.0581888874014407;7.520111076726011;0.1847418762502068
3;9;0.9999999901345665;3.3982553959127606;0.09994868811508119;-680.0203892008956;-664.1695881596535;2.828682619338628;0.7389497505876363;0.008634460158541302;2.06116289024564;7.917183066733879;0.16085928012473558
4;10;0.9999999917470321;2.933536298214304;0.0888950393398274;-685.6943498780237;-668.082348721088;2.828682619338628;0.6850471114461243;0.007560920598619347;2.1995670693808664;9.097387901583526;0.10524216597555291
5;11;0.9999999936361653;1.6923469290706603;0.052885841533458135;-694.8718448965268;-675.4986436238976;2.828682619338628;0.6444196088928322;0.006915219494421976;2.310174751994538;11.096186669694688;0.049505887334213114
6;12;0.999999991836682;2.8498658201318277;0.09193115548812347;-682.1640030251509;-661.0296016368281;2.828682619338628;0.7361024416461248;0.007784033275475721;2.2233649469593364;9.995120975350583;0.0753736092370612
7;13;0.9999999933599932;1.720239117040347;0.057341303901344905;-689.0451256064382;-666.1495241024219;2.828682619338628;0.6827051704263454;0.0072471046067708045;2.2618937730417175;11.686200821358725;0.03934995003964636
8;14;0.9999999935521828;1.6857654064876257;0.05812984160302158;-688.3080924017293;-663.6512907820194;2.828682619338628;0.6567504188410567;0.006987340440046452;2.3057852136610273;10.794621674876483;0.05560756522128808
9;15;0.9999999932109747;1.7283073236749282;0.06172526155981887;-684.0907656690704;-657.6727639336669;2.828682619338628;0.6850850536537223;0.007234947599510377;2.238181039711411;11.649969195968932;0.0399118856495037
10;16;0.9999999928338916;1.8000985730995025;0.0666703175222038;-679.7663860736911;-651.5871842225941;2.828682619338628;0.7033510788154729;0.007588517854612675;2.1742687158658445;11.516632931883512;0.04204613082060111
11;17;0.9999999915386046;1.9229030678760186;0.0739578103029238;-670.6218772931987;-640.6814753264082;2.828682619338628;0.7712343181971448;0.008141980492215595;2.1243709862736964;10.473467164814153;0.06287887751362166
