Segment;T_measured_K;R_measured_Ohm;T_fitted_K;Residual_K;Residual_mK
1;6.22531403;7.54332694;6.22529166;0.00002237;0.02236830
1;7.06042973;7.63906445;7.06051974;-0.00009001;-0.09001434
1;7.36273480;7.67191063;7.36268545;0.00004935;0.04935393
1;7.67817172;7.70533037;7.67820162;-0.00002990;-0.02989993
1;8.35055610;7.77390775;8.35014737;0.00040873;0.40872836
1;8.70787195;7.80917295;8.70768863;0.00018333;0.18332889
1;9.46734793;7.88189426;9.46740889;-0.00006097;-0.06096755
1;9.87096395;7.91956112;9.87092130;0.00004265;0.04264920
1;11.19052840;8.03999572;11.19047959;0.00004881;0.04881425
1;11.66810159;8.08312602;11.66807919;0.00002240;0.02240407
1;12.68741326;8.17555856;12.68746415;-0.00005089;-0.05089417
1;13.80353481;8.27889728;13.80356157;-0.00002676;-0.02675583
1;14.09959865;8.30690621;14.09952788;0.00007077;0.07077190
1;15.48254601;8.44239094;15.48255516;-0.00000915;-0.00914725
2;15.48254601;8.44239094;15.48255009;-0.00000408;-0.00407980
2;15.93546712;8.48875317;15.93537005;0.00009707;0.09706762
2;16.40192588;8.53772791;16.40198909;-0.00006321;-0.06320577
2;17.00157265;8.60259020;17.00151352;0.00005913;0.05913382
2;17.37562651;8.64422676;17.37547093;0.00015558;0.15558212
2;17.88324557;8.70227233;17.88302267;0.00022290;0.22289762
2;18.40655544;8.76410350;18.40668150;-0.00012606;-0.12606122
2;18.94641089;8.83000708;18.94647786;-0.00006697;-0.06697462
2;19.49959723;8.89990168;19.49945476;0.00014247;0.14246697
2;20.06754425;8.97432888;20.06763627;-0.00009202;-0.09202426
2;20.39511508;9.01846295;20.39510099;0.00001409;0.01408896
2;21.25989483;9.13946881;21.25960220;0.00029263;0.29262937
2;21.88153048;9.23070544;21.88180260;-0.00027212;-0.27211995
2;22.52192840;9.32829848;22.52198348;-0.00005508;-0.05507852
2;22.52311074;9.32843015;22.52283059;0.00028015;0.28015441
2;23.18110764;9.43282183;23.18127915;-0.00017151;-0.17150636
2;23.85923618;9.54459079;23.85911266;0.00012352;0.12351787
2;24.55611239;9.66413935;24.55627155;-0.00015916;-0.15916076
