n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;4;-244.90278480;-239.94643339;19.71107475;0.00213322
3;3;-255.42548841;-250.46913700;7.16386008;0.00129606
4;2;-255.90956666;-250.95321525;7.01300417;0.00126830
