m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err;h25;h25_err;h26;h26_err;h27;h27_err
2;4.41472257e+00;7.97189477e-04;1.13527583e+01;1.41799913e-02;3.07753215e+01;1.99493046e-01;5.12305697e+01;7.69509007e-02;-1.15502222e+00;5.03471641e-03;4.04015207e+00;4.16530676e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.37544822e+00;9.22512361e-04;1.12201804e+01;1.86233414e-02;8.98212905e+00;3.31899601e-01;1.68206925e+02;1.80548891e+00;-1.63360961e+00;7.86216555e-03;5.99336250e+00;3.11432270e-02;2.30862799e+00;3.63776970e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.37962924e+00;9.71456643e-04;9.11066917e+00;1.39614053e-01;6.48528037e+00;3.36145756e-01;1.24191039e+02;3.50169364e+00;-2.04397143e+00;2.71388175e-02;5.98947018e+00;2.74617843e-02;3.22309935e-01;1.38843295e-01;4.67945023e-01;3.07811135e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.38270525e+00;9.77644415e-04;3.57586093e+00;3.65021317e-01;3.32921801e-01;4.56483927e-01;8.09606410e+01;4.07609392e+00;-3.24554192e+00;7.79033507e-02;8.36385591e+00;1.49152831e-01;-6.02413175e+00;4.17228942e-01;4.69856085e+00;2.67126275e-01;-1.24250775e+00;7.80031963e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.38429441e+00;9.89370353e-04;-2.38363024e+00;9.10366208e-01;2.26540635e-01;3.43892412e-01;6.35134209e+01;4.30637699e+00;-4.57190425e+00;2.01387532e-01;1.30547172e+01;6.95699465e-01;-1.72391542e+01;1.67575697e+00;1.75000575e+01;1.89766741e+00;-9.11206837e+00;1.16715970e+00;1.98359201e+00;2.95226943e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.38509501e+00;1.02773416e-03;-7.43869895e+00;2.27051733e+00;7.98997097e+00;3.49947394e+00;5.51079245e+01;5.15886461e+00;-5.70724729e+00;5.09121323e-01;1.90198425e+01;2.63480792e+00;-3.37845795e+01;7.29776003e+00;4.39075278e+01;1.16470671e+01;-3.41943790e+01;1.10929819e+01;1.49834595e+01;5.77666086e+00;-2.83606965e+00;1.26827718e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.38496572e+00;1.11391207e-03;-5.92358416e+00;5.84624520e+00;2.53668731e+00;1.97112440e+01;6.14845599e+01;2.29891171e+01;-5.36502322e+00;1.31945114e+00;1.64841716e+01;9.39830983e+00;-2.49060507e+01;3.23837262e+01;2.54588054e+01;6.65627901e+01;-9.74615629e+00;8.74967861e+01;-4.88583574e+00;7.07217067e+01;6.21834188e+00;3.21223324e+01;-1.77271549e+00;6.27989277e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.38425553e+00;1.39506522e-03;2.64596522e+01;4.40661074e+01;-1.43677033e+02;2.00522703e+02;3.44053026e+02;3.97861059e+02;1.99341836e+00;1.00162534e+01;-4.55290319e+01;8.47769391e+01;2.35459501e+02;3.59225492e+02;-6.16699054e+02;8.93448856e+02;1.05761063e+03;1.50051951e+03;-1.16948065e+03;1.65635725e+03;8.09519928e+02;1.15706990e+03;-3.19716056e+02;4.64217056e+02;5.50393067e+01;8.15198063e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.38425096e+00;1.38949757e-03;1.55430537e+01;5.09177365e+01;-1.04062214e+02;2.20580151e+02;2.48368771e+02;4.53846574e+02;-4.95006985e-01;1.15811233e+01;-2.65747947e+01;9.56344588e+01;1.52924010e+02;4.07027583e+02;-3.97212346e+02;1.02696272e+03;6.38072935e+02;1.78271412e+03;-6.03607577e+02;2.09826920e+03;2.80441964e+02;1.65808020e+03;7.06651850e+00;8.53589433e+02;-6.48280703e+01;2.66262961e+02;1.97456966e+01;3.97393328e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.38414596e+00;1.34867795e-03;9.18164656e+00;1.68884702e+01;-9.30493884e+01;1.01065604e+02;2.32711210e+02;2.11031505e+02;-1.94976768e+00;3.82149948e+00;-1.80871208e+01;3.73168550e+01;1.21597763e+02;1.63376451e+02;-3.02803934e+02;3.77801001e+02;3.74369149e+02;4.65465713e+02;-1.32418573e+00;9.39797632e+01;-7.13085820e+02;9.53757654e+02;1.11060853e+03;1.57219310e+03;-8.42130930e+02;1.27915498e+03;3.32762530e+02;5.46913671e+02;-5.48607649e+01;9.82391367e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;4.38408204e+00;1.37344247e-03;6.25787170e+00;2.38280509e+01;-9.01214918e+01;1.23887789e+02;2.17341061e+02;2.71810533e+02;-2.61820690e+00;5.40564248e+00;-1.47008187e+01;4.86697742e+01;1.08078538e+02;2.12753567e+02;-2.67077113e+02;5.05539540e+02;3.15772725e+02;7.16293999e+02;-9.53750478e+00;9.86874799e+02;-4.02124120e+02;2.70984009e+03;3.14494317e+02;4.65460777e+03;2.20483471e+02;4.92983585e+03;-4.89785197e+02;3.26187075e+03;2.94918483e+02;1.24363607e+03;-6.34204437e+01;2.08922545e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;4.38412378e+00;1.37704067e-03;5.86004174e+00;3.48837860e+01;-8.58041861e+01;1.62719543e+02;2.06691163e+02;3.25880666e+02;-2.70732416e+00;7.93047419e+00;-1.34121611e+01;6.77469153e+01;1.01706507e+02;2.88625580e+02;-2.53250939e+02;7.22549346e+02;3.06393001e+02;1.27581487e+03;-3.65227740e+01;1.94525489e+03;-3.34657906e+02;3.22279919e+03;2.83147106e+02;4.41949042e+03;1.27702973e+02;4.09692601e+03;-3.05799411e+02;2.33163410e+03;1.42498068e+02;6.64175510e+02;-3.77389169e-02;3.80708155e+01;-1.08430054e+01;3.01208044e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;4.38405655e+00;1.26008484e-03;-3.10348909e+00;7.10636193e+00;-6.49582876e+01;3.58230216e+01;1.84083928e+02;9.69373899e+01;-4.75367575e+00;1.62701903e+00;-3.73918122e-01;1.26894279e+01;5.48231481e+01;5.70215817e+01;-1.27288627e+02;1.87566866e+02;1.73781154e+01;7.62509107e+02;4.71626910e+02;2.72156048e+03;-8.51541066e+02;6.49890147e+03;3.11073592e+02;1.03130785e+04;6.66843635e+02;1.20311242e+04;-6.13692959e+02;1.39139857e+04;-4.09190816e+02;1.48827447e+04;9.07709703e+02;1.05532092e+04;-5.27406032e+02;4.19920327e+03;1.08581774e+02;7.15930582e+02;;;;;;;;;;;;;;;;;;;;;;;;;;
15;4.38401487e+00;1.31328049e-03;-3.96210963e+00;1.76350079e+01;-6.92921968e+01;7.44410547e+01;1.92237296e+02;1.50929196e+02;-4.95072652e+00;4.01047125e+00;-5.37151935e-01;3.17010933e+01;5.80810539e+01;1.26104330e+02;-1.37336953e+02;2.92937039e+02;3.98782974e+01;6.25888023e+02;4.06763429e+02;2.16722427e+03;-6.92586564e+02;5.60596083e+03;1.44429390e+02;8.87657850e+03;5.47816701e+02;8.25285219e+03;-2.07198397e+02;1.60940999e+04;-4.61969499e+02;3.26031682e+04;1.82954651e+02;3.68542035e+04;4.29324738e+02;2.45542628e+04;-4.06622959e+02;9.11764367e+03;1.05861580e+02;1.46340560e+03;;;;;;;;;;;;;;;;;;;;;;;;
16;4.38401700e+00;1.39471518e-03;8.59445151e-01;5.87302666e+01;-8.55109460e+01;2.73512529e+02;2.13334193e+02;4.52543164e+02;-3.85133782e+00;1.33705928e+01;-8.64177462e+00;1.14932249e+02;8.91430363e+01;4.76551470e+02;-2.18917934e+02;1.24114529e+03;2.12873071e+02;2.49305683e+03;1.17781705e+02;4.24150496e+03;-3.80479771e+02;5.73456264e+03;5.33147984e+01;5.87298157e+03;3.39537672e+02;1.12155169e+04;-6.32998082e+01;1.69966737e+04;-2.59177263e+02;1.21018797e+04;8.92122193e-01;3.25090464e+02;1.80339009e+02;7.01105525e+03;3.78960943e+01;6.36763666e+03;-1.43444870e+02;2.83572947e+03;5.03286920e+01;5.46028151e+02;;;;;;;;;;;;;;;;;;;;;;
17;4.38398470e+00;1.23405144e-03;-1.37843379e+01;9.41270475e+00;-4.04387568e+01;4.91077241e+01;1.67975370e+02;1.04760910e+02;-7.19171412e+00;2.14582720e+00;1.50715608e+01;1.88999840e+01;2.05289829e+00;8.02249605e+01;8.86345000e+00;2.17856955e+02;-2.80290953e+02;5.86191488e+02;9.47304257e+02;1.67576709e+03;-1.19860065e+03;3.51716191e+03;7.73961008e+01;5.07888021e+03;1.10786591e+03;5.61151928e+03;-2.65749010e+02;1.07368695e+04;-1.06053800e+03;2.20482816e+04;2.27470434e+02;2.41071106e+04;1.00388017e+03;1.61556671e+04;-2.08358325e+02;2.32128599e+04;-9.60280252e+02;2.15208307e+04;7.79948648e+02;9.62002548e+03;-1.85145039e+02;1.72607129e+03;;;;;;;;;;;;;;;;;;;;
18;4.38359804e+00;1.21048479e-03;-3.03737793e+01;1.43528428e+01;1.29093269e+01;1.13434114e+02;1.59862778e+02;2.34924325e+02;-1.09825435e+01;3.25575774e+00;4.26196083e+01;3.84163457e+01;-9.07197122e+01;1.83309010e+02;2.45923278e+02;4.95929213e+02;-8.05982719e+02;1.00449056e+03;1.85084999e+03;1.80541035e+03;-1.97866537e+03;2.93495879e+03;-2.05614659e+02;3.83757824e+03;1.92866046e+03;4.93239137e+03;2.13223902e+02;6.78045364e+03;-2.04777401e+03;1.59902498e+04;-6.15025315e+02;2.95694983e+04;1.98455141e+03;3.89178415e+04;7.92138275e+02;3.31870644e+04;-1.13634110e+03;2.65546812e+04;-1.56611223e+03;2.74637612e+04;1.99371528e+03;1.48381756e+04;-5.89625593e+02;3.06827558e+03;;;;;;;;;;;;;;;;;;
19;4.38348902e+00;1.28731586e-03;-2.68588778e+01;2.71877411e+01;-1.51292301e+01;2.32375881e+02;2.16058756e+02;5.16585234e+02;-1.01848655e+01;6.18016033e+00;3.31439152e+01;7.72207001e+01;-4.58724857e+01;3.86984697e+02;1.26059200e+02;1.11535558e+03;-5.74118044e+02;2.57403543e+03;1.48742009e+03;5.56184869e+03;-1.53300776e+03;1.03202688e+04;-4.30301527e+02;1.21873641e+04;1.65368084e+03;7.98566762e+03;3.75912363e+02;1.54917797e+04;-1.39312307e+03;2.67784789e+04;-9.38804297e+02;3.66371132e+04;9.70476372e+02;3.84710525e+04;1.32108699e+03;4.20750202e+04;-3.55404579e+02;2.47794808e+04;-1.21689955e+03;1.75668436e+04;-1.21489450e+02;1.94635075e+04;1.07321907e+03;9.76172039e+03;-4.15694385e+02;2.04201143e+03;;;;;;;;;;;;;;;;
20;4.38358000e+00;1.25040392e-03;-2.71473425e+01;1.89242409e+01;-9.46030620e+00;1.62744245e+02;1.97202743e+02;3.63338531e+02;-1.02484848e+01;4.29788112e+00;3.46361878e+01;5.38074712e+01;-5.51697139e+01;2.68132228e+02;1.51605649e+02;7.54027556e+02;-6.20344199e+02;1.66637331e+03;1.56027027e+03;3.66709475e+03;-1.66412649e+03;7.88531199e+03;-2.66959286e+02;1.26443410e+04;1.63154149e+03;1.20088644e+04;2.41129203e+02;1.56197717e+04;-1.42880432e+03;3.24018754e+04;-7.47571459e+02;2.28909349e+04;1.08850921e+03;4.60691305e+04;1.03083755e+03;6.13785771e+04;-3.55648555e+02;2.60552754e+04;-1.15914752e+03;2.49018867e+04;2.21860746e-01;2.71731280e+01;1.03084304e+03;2.40068631e+04;-4.95575617e+02;1.71240361e+04;3.95639687e+01;3.84402290e+03;;;;;;;;;;;;;;
21;4.38375803e+00;1.23860946e-03;-2.76944629e+01;1.93616854e+01;-2.99007245e+00;1.70583716e+02;1.79428009e+02;3.89879944e+02;-1.03686648e+01;4.40226064e+00;3.64661216e+01;5.61697686e+01;-6.43123482e+01;2.85326112e+02;1.68394745e+02;8.28675938e+02;-6.11324537e+02;1.97548758e+03;1.43672910e+03;4.75473486e+03;-1.37557257e+03;1.05345272e+04;-5.68823074e+02;1.71223446e+04;1.68242123e+03;1.82149375e+04;3.82962736e+02;2.25265347e+04;-1.36176969e+03;5.02040380e+04;-9.45642355e+02;5.85579629e+04;8.73791792e+02;3.16174839e+04;1.28571779e+03;3.33395347e+04;-3.30778539e+00;2.15120976e+02;-1.23437219e+03;5.42211705e+04;-5.49707795e+02;4.77582599e+04;5.03719882e+02;6.13225822e+04;1.39732907e+03;8.44773568e+04;-1.39639938e+03;4.65584878e+04;3.59159299e+02;9.55578756e+03;;;;;;;;;;;;
