Segment;T_measured_K;R_measured_Ohm;T_fitted_K;Residual_K;Residual_mK
1;4.38474050;6.52067920;4.38468710;0.00005340;0.05340007
1;4.67216720;6.55865620;4.67224569;-0.00007849;-0.07848822
1;5.33170520;6.64001960;5.33165179;0.00005341;0.05341272
1;5.58776910;6.66975800;5.58774084;0.00002826;0.02826413
1;5.84352590;6.69855090;5.84354917;-0.00002327;-0.02327231
1;6.33566030;6.75163420;6.33570582;-0.00004552;-0.04551998
1;6.52725060;6.77156400;6.52740282;-0.00015222;-0.15221971
1;6.74604590;6.79384320;6.74616367;-0.00011777;-0.11777218
1;6.99955710;6.81905050;6.99931961;0.00023749;0.23748806
1;7.24999810;6.84343800;7.24986624;0.00013186;0.13185950
1;7.49396940;6.86674230;7.49434049;-0.00037109;-0.37109004
1;7.75554410;6.89115950;7.75562839;-0.00008429;-0.08429426
1;7.99458530;6.91311870;7.99492626;-0.00034096;-0.34095549
1;8.25960370;6.93697880;8.25932739;0.00027631;0.27631014
1;8.51393320;6.95958180;8.51373919;0.00019401;0.19400566
1;8.75579770;6.98073790;8.75505740;0.00074030;0.74029933
1;9.01802350;7.00346240;9.01736219;0.00066131;0.66131050
1;9.25787050;7.02414010;9.25850844;-0.00063794;-0.63794039
1;9.52684130;7.04691950;9.52653820;0.00030310;0.30310181
1;9.62138680;7.05526000;9.62140133;-0.00001453;-0.01452823
1;9.76129420;7.06700900;9.76124931;0.00004489;0.04489370
2;9.99755430;7.08682150;9.99745908;0.00009522;0.09521781
1;9.99755430;7.08682150;9.99804232;-0.00048802;-0.48801734
2;10.23554160;7.10665090;10.23594165;-0.00040005;-0.40004560
2;10.47847660;7.12674480;10.47807384;0.00040276;0.40275729
2;10.96151240;7.16685960;10.96192180;-0.00040940;-0.40940004
2;10.99268700;7.16937830;10.99228909;0.00039791;0.39791499
2;11.08077120;7.17675240;11.08117073;-0.00039953;-0.39953165
2;11.19392510;7.18611040;11.19389489;0.00003021;0.03020961
2;11.20928810;7.18736430;11.20899199;0.00029611;0.29610602
2;11.44578210;7.20703230;11.44552067;0.00026143;0.26143279
2;11.69099840;7.22753680;11.69140247;-0.00040407;-0.40407277
2;11.92748430;7.24730280;11.92754575;-0.00006145;-0.06144771
2;12.16953550;7.26762140;12.16923072;0.00030478;0.30478250
2;12.40430850;7.28747250;12.40433051;-0.00002201;-0.02201427
2;12.63944980;7.30747000;12.63943672;0.00001308;0.01307758
2;12.88357580;7.32850220;12.88374079;-0.00016499;-0.16498506
2;13.11651980;7.34862090;13.11607305;0.00044675;0.44674749
2;13.35163340;7.36921550;13.35190715;-0.00027375;-0.27375386
2;13.60313140;7.39138720;13.60323431;-0.00010291;-0.10291445
2;13.84437190;7.41287510;13.84408466;0.00028724;0.28724108
2;14.07419820;7.43362570;14.07398892;0.00020928;0.20927733
2;14.31053580;7.45526350;14.31080199;-0.00026619;-0.26619294
2;14.54376670;7.47687570;14.54426550;-0.00049880;-0.49880149
2;14.77738790;7.49875500;14.77741822;-0.00003032;-0.03032002
2;15.02398860;7.52221990;15.02384100;0.00014760;0.14759811
3;15.02398860;7.52221990;15.02400384;-0.00001524;-0.01523659
3;15.25718950;7.54460870;15.25728933;-0.00009983;-0.09982701
3;15.49137620;7.56752020;15.49125673;0.00011947;0.11947161
3;15.71762160;7.58997410;15.71755113;0.00007047;0.07046577
3;15.95198500;7.61356980;15.95200481;-0.00001981;-0.01980987
3;16.18559210;7.63743830;16.18566112;-0.00006902;-0.06902458
3;16.41680410;7.66147850;16.41745254;-0.00064844;-0.64843743
3;16.64774220;7.68573120;16.64773053;0.00001167;0.01167406
3;16.87871910;7.71044560;16.87877239;-0.00005329;-0.05328764
3;17.11103570;7.73562270;17.11045765;0.00057805;0.57804821
3;17.34484400;7.76144380;17.34429712;0.00054688;0.54687625
3;17.34500000;7.76155500;17.34529604;-0.00029604;-0.29604132
3;17.57658350;7.78750830;17.57656276;0.00002074;0.02074460
3;17.80648540;7.81378230;17.80694862;-0.00046322;-0.46321838
3;18.03792210;7.84054390;18.03779480;0.00012730;0.12730243
3;18.27117450;7.86787370;18.27119487;-0.00002037;-0.02036837
3;18.50473280;7.89590360;18.50442559;0.00030721;0.30720726
3;18.74087640;7.92470810;18.74110516;-0.00022876;-0.22875786
3;18.97831860;7.95404600;18.97827127;0.00004733;0.04732580
3;19.21677610;7.98404660;19.21683715;-0.00006105;-0.06104940
3;19.45548580;8.01446680;19.45479156;0.00069424;0.69423628
3;19.69390100;8.04549740;19.69357018;0.00033082;0.33082352
3;19.93150370;8.07700850;19.93211167;-0.00060797;-0.60797060
3;20.16915300;8.10882060;20.16905808;0.00009492;0.09491638
3;20.40957440;8.14162330;20.40945912;0.00011528;0.11528443
3;20.66085500;8.17640990;20.66021370;0.00064130;0.64130419
3;20.90927770;8.21152070;20.90910746;0.00017024;0.17024337
3;21.15245700;8.24639810;21.15233695;0.00012005;0.12005286
3;21.38921850;8.28090700;21.38921740;0.00000110;0.00110232
3;21.64419060;8.31867000;21.64429871;-0.00010811;-0.10810911
3;21.89999580;8.35716800;21.90007600;-0.00008020;-0.08020335
3;22.14616110;8.39481660;22.14621401;-0.00005291;-0.05291420
3;22.40628330;8.43523300;22.40623359;0.00004971;0.04971141
3;22.65763890;8.47496020;22.65774512;-0.00010622;-0.10621680
3;22.90477960;8.51457130;22.90466982;0.00010978;0.10978426
3;23.14101690;8.55303200;23.14089430;0.00012260;0.12260043
3;23.39808980;8.59554900;23.39815482;-0.00006502;-0.06501958
3;23.63408560;8.63510680;23.63400447;0.00008113;0.08113455
3;23.88889990;8.67847170;23.88883581;0.00006409;0.06409355
3;24.14073100;8.72198210;24.14078196;-0.00005096;-0.05095846
3;24.39515220;8.76653160;24.39503439;0.00011781;0.11780874
3;24.63927590;8.80988920;24.63903746;0.00023844;0.23844233
3;24.89682020;8.85634670;24.89688054;-0.00006034;-0.06033592
3;25.13817990;8.90043160;25.13825941;-0.00007951;-0.07951036
