m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;h1;h1_err;h2;h2_err;h3;h3_err
2;1.54825946e+01;5.27739542e-05;7.22033056e+01;9.74534657e+00;5.85603254e+01;8.77148953e+00;-6.61377968e-01;9.11756419e-01;9.53671771e-01;2.66140083e-01;3.96044359e+00;6.29595053e-01;1.18135083e+00;1.22622587e-01;;
3;1.54825981e+01;5.28881642e-05;7.46090099e+01;1.08831902e+01;6.14475779e+01;1.05504891e+01;1.28300165e-02;8.95708148e-01;1.08618388e+00;3.76182884e-01;4.11585520e+00;7.03093137e-01;1.25794305e+00;1.88883808e-01;2.36488561e-02;3.39796711e-02
