m;p0;p0_err;p1;p1_err;p2;p2_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err
2;6.01858570e+00;4.23277191e-05;2.66605412e+01;1.52885514e-03;9.36540805e+01;1.37914827e-02;1.99459210e+00;3.73551930e-04;2.16481712e+00;2.49494818e-04;;;;;;;;;;;;;;
3;5.98767494e+00;4.09269215e-05;1.44615442e+01;1.96939800e-03;3.46831542e+01;1.30830676e-02;-3.45786826e-01;4.15634465e-04;2.17579164e+00;2.09622495e-04;-5.86641262e-01;8.62755711e-05;;;;;;;;;;;;
4;5.97691746e+00;4.07642338e-05;6.90078101e+00;4.71510395e-03;1.33094210e+01;1.72494875e-02;-1.69768039e+00;8.74319457e-04;3.39730968e+00;7.12213100e-04;-2.27907246e+00;9.80304628e-04;6.46181220e-01;3.71670713e-04;;;;;;;;;;
5;5.97388026e+00;3.99055449e-05;-4.95461089e-01;1.06958337e-02;4.65994761e+00;1.89534415e-02;-2.96172222e+00;1.86188966e-03;5.88785113e+00;3.34744467e-03;-6.22979615e+00;5.30972815e-03;3.55805476e+00;3.85430548e-03;-8.41567475e-01;1.09932473e-03;;;;;;;;
6;5.97296155e+00;3.78162604e-05;-8.64514866e+00;1.85332251e-02;5.62813624e+00;1.35307473e-02;-4.33468722e+00;3.15117185e-03;1.01167115e+01;9.01474926e-03;-1.42424588e+01;1.69008914e-02;1.21906158e+01;1.78809834e-02;-5.77171707e+00;1.00544163e-02;1.16191369e+00;2.34058268e-03;;;;;;
7;5.96937517e+00;4.17886534e-05;-2.63976974e+01;9.52903303e-02;4.25275048e+01;2.85033001e-01;-7.33236968e+00;1.60875555e-02;2.52619514e+01;9.44032394e-02;-4.94614450e+01;2.28883816e-01;6.45100658e+01;3.57640620e-01;-5.22804020e+01;3.33235408e-01;2.39273715e+01;1.70352651e-01;-4.72527412e+00;3.68078916e-02;;;;
8;5.96791586e+00;4.55137363e-05;-1.18088817e+01;4.41018192e-01;5.14919372e+01;5.60490298e-01;-4.91075087e+00;7.35078342e-02;2.01158068e+01;2.18581064e-01;-4.47664016e+01;4.18775040e-01;7.42605080e+01;6.53537047e-01;-8.40187109e+01;9.81663993e-01;6.11888765e+01;9.87397541e-01;-2.57619873e+01;5.33576870e-01;4.75170743e+00;1.18589991e-01;;
9;5.96790444e+00;4.63886265e-05;-1.06564277e+01;1.02456072e+00;4.85420609e+01;2.43170701e+00;-4.71843975e+00;1.70936076e-01;1.90802252e+01;8.59363997e-01;-4.25258426e+01;1.84678055e+00;7.17387715e+01;2.13026882e+00;-8.40222933e+01;9.87811534e-01;6.49808993e+01;3.18531102e+00;-3.05873359e+01;3.89190233e+00;7.41471801e+00;2.13042672e+00;-5.74851812e-01;4.58975875e-01
