m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err
2;1.54825501e+01;4.94347831e-05;4.40415608e+01;1.04316655e+00;3.69360956e+01;1.36658683e+00;3.69300019e+00;1.00080376e-01;2.06475675e+00;6.74547918e-02;1.01376170e+00;3.47536494e-02;;;;
3;1.54825383e+01;5.10043271e-05;4.12110729e+01;3.29281342e+00;3.46476065e+01;2.85753134e+00;4.85571856e+00;1.29607625e+00;1.88186539e+00;2.12779775e-01;1.00987234e+00;3.42705572e-02;2.56739568e-02;2.85112014e-02;;
4;1.54825520e+01;5.04320838e-05;3.32929439e+01;1.87907207e+00;-1.48364949e+01;7.95430065e+00;-4.54920631e+01;8.24621375e+00;1.37059969e+00;1.21399788e-01;-1.79100024e+00;4.51007529e-01;-1.13530638e+00;1.91487438e-01;8.52308654e-02;1.42350869e-02
