m;p0;p0_err;p1;p1_err;p2;p2_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err;h25;h25_err;h26;h26_err;h27;h27_err;h28;h28_err
2;4.52979349e+00;8.65885124e-04;1.99889413e+01;9.80041759e-03;1.37106826e+02;2.37881008e-01;2.13385938e+00;5.03470037e-03;3.32637256e+00;4.62200429e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.44250356e+00;7.89762582e-04;1.18543933e+01;1.27245986e-02;4.72169104e+01;1.78397571e-01;-7.48026967e-01;4.22593682e-03;3.22909145e+00;3.54135447e-03;-9.58398186e-01;1.20812057e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.41384792e+00;7.67095106e-04;6.44721139e+00;2.66132749e-02;1.77399779e+01;1.99274883e-01;-2.26264556e+00;7.68477389e-03;4.90996204e+00;8.14740082e-03;-3.59143186e+00;1.20701889e-02;1.08267106e+00;4.94071081e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.40466007e+00;7.34953951e-04;7.77715529e-01;5.75895983e-02;5.11591050e+00;2.00860412e-01;-3.64320455e+00;1.45182026e-02;8.22703175e+00;3.21233754e-02;-9.56259685e+00;5.77410299e-02;5.84612004e+00;4.54833494e-02;-1.45781615e+00;1.37751997e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.40308766e+00;6.82158340e-04;-5.03690145e+00;1.02590146e-01;3.30885619e+00;1.44737714e-01;-4.98441669e+00;2.40289129e-02;1.31927417e+01;8.40547870e-02;-2.04015282e+01;1.81583589e-01;1.86264663e+01;2.10933085e-01;-9.26865399e+00;1.27300927e-01;1.94182304e+00;3.13343452e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.40128336e+00;6.27513751e-04;-1.41458986e+01;2.69303052e-01;1.37294256e+01;3.95806167e-01;-7.07466923e+00;6.19711420e-02;2.38350193e+01;3.27989391e-01;-4.83015453e+01;8.78027875e-01;6.22872793e+01;1.41036224e+00;-4.93404773e+01;1.33059220e+00;2.19623885e+01;6.83878882e-01;-4.20950943e+00;1.47967089e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.38678495e+00;9.25281360e-04;-2.08042459e+01;9.86809794e-01;5.38486973e+01;2.83739494e+00;-8.72025260e+00;2.22847328e-01;4.07819127e+01;1.25329866e+00;-1.09204158e+02;3.95302218e+00;1.98911734e+02;8.61443313e+00;-2.37614230e+02;1.23424987e+01;1.78830849e+02;1.10147584e+01;-7.68802059e+01;5.51533987e+00;1.43834479e+01;1.17965889e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.38548313e+00;1.02548684e-03;-1.49319442e+01;2.27267379e+00;3.90873962e+01;5.03854371e+00;-7.40594789e+00;5.09659502e-01;3.26580324e+01;2.90694903e+00;-8.84137207e+01;7.55422399e+00;1.73619331e+02;1.12216178e+01;-2.41299050e+02;1.27755313e+01;2.32108255e+02;2.11836339e+01;-1.46818862e+02;2.28224736e+01;5.48248409e+01;1.24091299e+01;-9.13753202e+00;2.71931291e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.38507056e+00;1.07399589e-03;-1.35943416e+01;2.41015583e+00;2.81861191e+01;8.41851103e+00;-7.11161363e+00;5.38100812e-01;2.92641272e+01;3.65487008e+00;-7.92918046e+01;9.43673618e+00;1.68626797e+02;1.05038954e+01;-2.83695890e+02;2.85977967e+01;3.69286078e+02;8.74347862e+01;-3.51183579e+02;1.26752020e+02;2.24916936e+02;1.02911483e+02;-8.55403095e+01;4.52675682e+01;1.44841709e+01;8.43844639e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.38518053e+00;1.06695239e-03;-1.30548493e+01;2.78621110e+00;2.99878858e+01;8.70623241e+00;-6.98541572e+00;6.24225347e-01;2.90795378e+01;4.09601103e+00;-7.82287856e+01;1.09141365e+01;1.59360099e+02;1.47337547e+01;-2.38946950e+02;1.68149398e+01;2.46315478e+02;4.51637019e+01;-1.42383612e+02;5.56122434e+01;-1.47327529e-01;4.10295427e+01;6.51196691e+01;3.63544545e+01;-4.28140512e+01;2.20031325e+01;9.47941232e+00;5.14908944e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;4.38493511e+00;1.08889640e-03;-1.40876301e+01;2.57205888e+00;2.28382749e+01;8.83955053e+00;-7.22827277e+00;5.78856158e-01;2.86283587e+01;3.67463725e+00;-7.73403713e+01;9.99568307e+00;1.70543989e+02;2.26222228e+01;-3.06678659e+02;8.84817757e+01;4.05084859e+02;2.40277549e+02;-3.01580583e+02;4.14807123e+02;-3.26593331e+01;4.94763810e+02;3.28022096e+02;4.29251078e+02;-3.31935122e+02;2.65144780e+02;1.52807958e+02;1.02033583e+02;-2.81423863e+01;1.78172257e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;4.38505215e+00;1.16623992e-03;-1.12052952e+01;7.69985583e+00;2.25133818e+01;1.23268309e+01;-6.56671742e+00;1.76360223e+00;2.57651497e+01;7.38084095e+00;-6.78892459e+01;2.21603652e+01;1.37076324e+02;6.95509636e+01;-1.95246312e+02;2.17497883e+02;1.54181344e+02;3.98135730e+02;7.49041761e+00;2.99964509e+02;-1.23235729e+02;7.19160967e+02;6.05000262e+01;1.04187389e+03;1.03664489e+01;9.36070024e+02;7.50608352e+01;2.08632608e+03;-1.59257492e+02;2.06908913e+03;1.06035133e+02;9.71874262e+02;-2.46559116e+01;1.82225654e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;4.38508808e+00;1.17197639e-03;-1.07939760e+01;7.89418038e+00;2.34348975e+01;1.68294509e+01;-6.47187676e+00;1.80743670e+00;2.55653995e+01;9.00241426e+00;-6.72902235e+01;2.90519228e+01;1.33863413e+02;9.35044326e+01;-1.82663269e+02;3.14900592e+02;1.30093809e+02;7.64007555e+02;2.09965943e+01;1.15924242e+03;-9.50878163e+01;9.43593701e+02;6.04105411e-01;8.06434971e+01;6.83734570e+01;8.62622610e+02;6.75841070e+00;9.59488649e+02;-5.65960883e+01;1.24991396e+03;6.69370339e+00;1.31302937e+03;2.46213192e+01;6.70734238e+02;-9.78364466e+00;1.34426222e+02;;;;;;;;;;;;;;;;;;;;;;;;;;
16;4.38508028e+00;1.14217805e-03;-1.13902881e+01;5.66571074e+00;2.14200205e+01;1.71217219e+01;-6.60869409e+00;1.29313789e+00;2.56855710e+01;6.97952345e+00;-6.73903894e+01;2.14800294e+01;1.36015076e+02;5.86648646e+01;-1.93976641e+02;1.85118202e+02;1.50095750e+02;4.25821204e+02;1.61677464e+01;6.07934826e+02;-1.14764952e+02;4.90706604e+02;-6.14461500e-05;8.28420484e-03;1.01355726e+02;6.31907647e+02;1.49820262e+01;8.87654433e+02;-1.08334324e+02;7.34686145e+02;-4.77431079e+00;1.24742017e+03;1.10851278e+02;1.36812159e+03;-7.60448361e+01;7.18016783e+02;1.63144569e+01;1.48627322e+02;;;;;;;;;;;;;;;;;;;;;;;;
17;4.38496455e+00;1.14892495e-03;-1.04645236e+01;1.35494254e+01;1.60320866e+01;1.72707465e+01;-6.40022323e+00;3.09786852e+00;2.36815229e+01;1.55770075e+01;-6.10887563e+01;4.82623106e+01;1.23586449e+02;1.33584187e+02;-1.75008510e+02;3.53709000e+02;1.18969863e+02;7.04631557e+02;5.20184124e+01;1.10906676e+03;-1.06125992e+02;1.67193721e+03;-6.15672590e+01;1.63552922e+03;1.06275987e+02;2.89048465e+03;8.35015817e+01;3.74240891e+03;-7.42990973e+01;2.80450010e+03;-1.20793535e+02;3.21360776e+03;4.33132518e+01;3.09942601e+03;1.72888079e+02;3.29864052e+03;-1.62192589e+02;1.86273732e+03;4.26367302e+01;3.95100793e+02;;;;;;;;;;;;;;;;;;;;;;
18;4.38499689e+00;1.20305171e-03;-9.13431048e+00;1.81972340e+01;1.62155277e+01;3.88536724e+01;-6.09573975e+00;4.16349774e+00;2.24662748e+01;2.30939147e+01;-5.75032904e+01;7.64525440e+01;1.12965322e+02;2.26102278e+02;-1.45846622e+02;6.48678150e+02;7.01588733e+01;1.44924187e+03;7.94458212e+01;2.22751560e+03;-7.85138052e+01;3.78245244e+03;-7.56861674e+01;6.88295385e+03;5.09792973e+01;6.98274353e+03;9.68972423e+01;3.96941909e+03;-7.89394292e+00;5.65433711e+02;-9.50606421e+01;7.31135037e+03;-5.15649618e+01;9.46941798e+03;9.17902010e+01;7.60201678e+03;7.11653918e+01;8.67803102e+03;-1.13661505e+02;4.88583246e+03;3.54143837e+01;1.01354720e+03;;;;;;;;;;;;;;;;;;;;
