m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err
2;4.38531501e+00;1.01391143e-03;-4.30572967e+00;2.86938879e-01;-2.29247690e+00;1.22563040e-01;1.21159016e+00;2.55498359e-01;1.44643716e+00;8.33995359e-02;-1.93355239e+00;6.61432338e-02;9.78076657e-01;6.63313186e-02;;;;;;
3;4.38630402e+00;1.45209255e-03;-1.08495486e+02;1.24652843e+02;2.38102478e+02;3.58199174e+02;3.54441284e+02;5.09660466e+02;2.49596330e+02;3.58336716e+02;-2.56465109e+01;2.83650763e+01;7.74428070e+01;1.07382393e+02;2.09882276e+01;3.11204954e+01;;;;
4;4.38476604e+00;1.45209390e-03;3.94630238e+02;2.06909468e+04;-3.16304093e+02;1.64485589e+04;-1.79905048e+02;9.42776180e+03;1.04985561e+02;5.43626936e+03;8.90716189e+01;4.72018530e+03;-1.58098819e+02;8.28878565e+03;8.44287662e+01;4.41033719e+03;-1.56222368e+01;8.16653482e+02;;
5;4.38472141e+00;1.45165953e-03;2.45263861e+02;2.72381167e+04;-3.80959057e+02;4.09856514e+04;4.14848186e+00;1.06882039e+02;1.35651968e+02;1.45753367e+04;5.49779104e+01;6.21184116e+03;-1.39721496e+02;1.52820992e+04;1.16907753e+02;1.26457211e+04;-3.85769441e+01;4.15589033e+03;6.26196129e+00;6.71780104e+02
