m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;p17;p17_err;p18;p18_err;p19;p19_err;p20;p20_err;p21;p21_err;p22;p22_err;p23;p23_err;p24;p24_err;p25;p25_err;p26;p26_err;p27;p27_err;h1;h1_err;h2;h2_err;h3;h3_err
2;4.67218091e+00;8.42590447e-04;-2.66154522e+01;1.96972941e+00;-3.54146980e+01;8.96823179e+00;4.79465569e+01;1.71660301e+02;2.31062647e+03;2.16065003e+03;-1.34274125e+04;1.63786384e+04;5.91996231e+04;8.23421680e+04;-1.39703754e+05;2.80381734e+05;1.38357949e+05;6.51188600e+05;3.42526428e+04;1.00448543e+06;-1.37083561e+05;8.96416198e+05;-3.53463817e+04;7.34672005e+05;1.03326269e+05;1.91139490e+06;9.42821009e+04;2.17640383e+06;-5.32455112e+04;1.74730926e+06;-9.98048946e+04;2.06434044e+06;-4.57019610e+04;1.56554065e+06;2.83171446e+04;7.06135234e+05;1.20085320e+05;1.82819460e+06;6.14823882e+04;2.16629004e+06;-7.92234760e+04;1.32178019e+06;-1.15550928e+05;1.78554507e+06;1.08542375e+04;3.12119319e+05;8.14677132e+04;1.43350297e+06;-1.34139256e+04;3.77111176e+05;6.39733050e+04;1.41485296e+06;-1.00305273e+05;1.31401631e+06;3.52695218e+04;3.64292463e+05;-9.55360165e+00;4.11590734e-01;2.29680110e+01;1.99429831e+00;;
3;4.67211436e+00;8.42603692e-04;-1.09161947e+01;9.83180641e+00;-3.62902932e+01;1.72917728e+01;1.94605074e+02;1.74128046e+02;-5.52846081e+02;2.13733959e+03;2.99592020e+03;1.35464913e+04;-4.20649738e+03;5.74366988e+04;-8.20144998e+02;1.52233106e+05;4.70122437e+03;2.42203621e+05;1.24092269e+03;2.64053530e+05;-3.24490344e+03;3.72288413e+05;-3.65398020e+03;4.19870667e+05;9.12347527e+02;3.42019860e+05;3.04543345e+03;6.05507727e+05;2.62833281e+03;5.17448423e+05;1.13310929e+02;3.77422463e+04;-2.50973173e+03;2.90084991e+05;-2.82815792e+03;4.14106735e+05;-9.62312001e+02;2.54700380e+05;1.82873805e+03;4.87879025e+05;1.90153957e+03;5.44464610e+05;2.37915594e+03;7.30884646e+05;-2.33733317e+03;5.81940524e+05;1.93468057e+02;5.78333989e+04;-2.11767820e+03;3.96536669e+05;-2.68976473e+02;5.48117814e+04;2.67964302e+03;2.73554319e+05;-1.08204665e+03;1.08351332e+05;-6.24825609e+00;2.07988130e+00;1.27003753e+01;7.57200631e+00;6.61572453e-03;6.62023879e+00
